I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-990.0180606031444,-1125.8868089785326,-1040.2097235981892,-1009.3264079154733,-1155.8784109841713,-1041.6599325658945,-1015.3223155099412,-1154.9236857816593,I,H,high
-989.7271625240577,-1059.478852641888,-1058.9891656800621,-1037.7911733027656,-1005.2752654296927,-1058.659399111851,-1039.680534599768,-1009.142939763319,I,H,low
-990.8603906064795,-1011.4119687139888,-986.8195425876941,-1003.0032548408693,-1015.0660245139296,-988.1638026077696,-1002.4577105730535,-1014.2962807661277,C,C,high
-992.5118192624199,-994.2181363813754,-986.5115981557183,-997.2316182088791,-996.6994339262533,-986.5450808860927,-996.133371478112,-995.7628379713823,C,C,high
-999.3594904041322,-983.8439000059986,-991.5033743289097,-991.3422474399996,-991.1046095602863,-987.3437834575863,-987.2249833470628,-987.0160501682612,G,G,high
-998.0678475513745,-989.795822935116,-993.6469263724564,-999.012694421177,-997.279442423983,-988.7778580503767,-994.0647888494713,-992.3927360052795,H,C,high
-990.5882981546969,-980.3017436365542,-986.836103382507,-987.4472187318476,-987.0825324078666,-983.5690627584103,-984.1638439021144,-983.7255083404649,G,G,high
-993.9245882136878,-1033.5738258425258,-987.6918437485841,-1028.9328926487697,-1023.6335061756979,-988.2265583905768,-1026.6049036627185,-1021.3464457953654,H,C,low
-990.7233768718083,-1009.9486840338541,-1006.4163378709655,-994.140998053989,-1001.666370451273,-1006.3093205041741,-994.203745414862,-1000.8779644368857,I,I,high
-996.929420054422,-1001.0427412139444,-988.6739694568377,-1002.9960194044318,-999.6480085527883,-991.8912379219207,-1003.5117287570694,-1000.0827107657415,C,C,low
-995.194049993412,-989.319955099486,-989.1715737753033,-993.6973673430118,-1004.6471104265613,-986.7926546774206,-991.7208828858892,-1002.4278225119418,H,H,low
-990.7161615314208,-982.2906130959116,-988.2843547857678,-988.8383623922432,-989.7369739772291,-984.0296922716204,-984.9476425003083,-985.6707923234416,H,H,low
