I,G,C,H
0.7749999999594709,0.075,0.07500000004052795,0.075
0.7749998653691678,0.075,0.07500013463083403,0.075
0.12947689426456999,0.075,0.7205231057354278,0.075
0.12947016867438504,0.075,0.7205298313256125,0.075
0.07703482389010342,0.6607080920676298,0.1484286699316245,0.11382841411064232
0.07834546850969425,0.6198835964044436,0.17204252231392364,0.1297284127719422
0.07715003587885964,0.656585577382919,0.15105087615453638,0.1152135105836827
0.10980330009025854,0.07545162209431473,0.4995106191303694,0.3152344586850552
0.7749999999912908,0.075,0.07500000000870971,0.075
0.12947694154019002,0.075,0.7205230584598108,0.075
0.12779197448336396,0.07500000274208929,0.7216586494219361,0.07554937335260879
0.12502172989526214,0.07500213084205334,0.516236343713469,0.2837397955492177
0.2040728659576307,0.075,0.6459271340423703,0.075
0.1337695120399244,0.07500032757015297,0.6708065043311005,0.12042365605882038
0.09469599947769358,0.2640775233921896,0.3897280134583917,0.2514984636717248
0.15342951897083656,0.075,0.6965704810291657,0.075
0.7749997822411882,0.075,0.0750002177588095,0.075
0.10687942860984119,0.1079274468124875,0.5063505029343547,0.2788426216433152
0.17498822776287104,0.07504947515947906,0.4822076394800875,0.26775465759756306
0.07703476426634386,0.6607093278305542,0.14842762606727664,0.11382828183582519
0.07670384395261651,0.6754488419922781,0.13764769686973355,0.11019961718537377
0.07741209155232716,0.6473307601339277,0.1569304829048278,0.11832666540891904
0.25630372984187094,0.075,0.5936962701581285,0.07500000000000011
0.07651027016134124,0.6829467343995552,0.13299484839278977,0.10754814704630904
0.07673124228393115,0.6743860501170158,0.13830740086328908,0.1105753067357669
0.07831067811335009,0.6209668269270923,0.17137304124135755,0.12934945371819534
0.12227482351775004,0.07500146275737903,0.49195332017478455,0.3107703935500839
0.12800022522156423,0.075,0.7219997747784382,0.075
0.14507522310865495,0.075,0.7049247768913447,0.075
0.10310980295897659,0.15918111453200873,0.4740585041796669,0.2636505783293492
0.07703498135682851,0.6607101674312462,0.14842828337583341,0.1138265678360912
0.129465271437672,0.07500000000000002,0.7205347285569762,0.0750000000053531
0.10978434933133613,0.07548970825395351,0.4994995558505201,0.3152263865641911
0.07791887444372575,0.6313225290155352,0.16501834546333283,0.1257402510774107
0.77499346282517,0.075,0.07500653717482869,0.075
0.0790745157751532,0.5909578966214679,0.19007950083662,0.1398880867667583
0.7749999999996617,0.075,0.07500000000033659,0.075
0.12842504130775553,0.075,0.721574958692245,0.075
0.07651031164868459,0.6829224815862005,0.133009569173139,0.10755763759197132
0.14077984141367816,0.07500000000023875,0.7092201177141544,0.07500004087192898
0.08465246544976428,0.4711484374029515,0.26723886249788503,0.17696023464939475
0.2403785770128095,0.075,0.6096214229871908,0.075
0.12947249744127431,0.075,0.720527502558685,0.07500000000004084
0.12947638274588183,0.075,0.720523617254117,0.075
0.07693840626280005,0.667773205840963,0.14457785348422966,0.11071053441200338
0.7749999999351267,0.075,0.0750000000648754,0.075
0.10589867246613584,0.07500873357525958,0.5077705289645841,0.31132206499402193
0.7749999999905248,0.075,0.07500000000947418,0.075
0.16819911117320835,0.07500004864654074,0.6753837437550176,0.081417096425232
0.7748524054549303,0.075,0.07514759454506717,0.075
0.07703494343596998,0.6607115251172905,0.1484273410993608,0.11382619034737737
0.08926293371033706,0.3482053665767145,0.3437654225151026,0.21876627719784492
0.12798985149584235,0.075,0.7220101485041595,0.075
0.12695828088470085,0.07500121014242415,0.5588755946684172,0.23916491430445624
0.11023027588340427,0.07500229658629066,0.4995322526212915,0.31523517490901526
0.11327781214428435,0.07500257558981206,0.5320565096813045,0.2796631025846005
0.11267555754814834,0.07501142915529574,0.5245734360909058,0.2877395772056478
0.07703493725762864,0.6607116295492562,0.14842723581198364,0.11382619738113083
0.12947616356289735,0.075,0.7205238364371017,0.075
0.2559442956849727,0.075,0.5940557043150286,0.0750000000000001
0.15611901018638213,0.07500051920279237,0.6466863111665409,0.12219415944428302
0.07703503375715678,0.6607074490465544,0.14843018806875777,0.11382732912753071
0.774999999990582,0.075,0.07500000000941845,0.075
0.15600863161346334,0.0750000000021289,0.6939909912782456,0.07500037710616299
0.08917710159625108,0.3408031195188344,0.3481093288558862,0.2219104500290273
0.7749999999216676,0.075,0.0750000000783333,0.075
0.12947648957347768,0.075,0.7205235104265231,0.075
0.14069394835666238,0.07500000000028806,0.7093060023740427,0.07500004926900623
0.14198371355656747,0.07500000000000073,0.7080162863166442,0.07500000012678908
0.15571896210653746,0.07500000000269248,0.6942805619243889,0.07500047596638258
0.09585162714252837,0.26333392362970387,0.40769198828069086,0.23312246094707437
0.07703484601555968,0.6607148199013447,0.148425175452016,0.11382515863108064
0.12800005323811842,0.075,0.721999946761881,0.075
0.7749999999308691,0.075,0.07500000006913213,0.075
0.7749998229340955,0.075,0.07500017706590391,0.075
0.08922188780086394,0.34908248905440503,0.34322709328885465,0.21846852985587645
0.7749999999848348,0.075,0.07500000001516731,0.075
0.07703497841600516,0.6607104128363017,0.14842810437943077,0.1138265043682615
0.07725812180361898,0.6527478752551642,0.1534847241822434,0.11650927875897363
0.1520237994491398,0.075,0.6979762005508595,0.075
0.15218145532478244,0.075,0.6978185446752181,0.075
0.774847549197766,0.075,0.075152450802236,0.075
0.127419251685857,0.07500117714133527,0.5632734002440488,0.23430617092876055
0.7749999999996617,0.075,0.07500000000033816,0.075
0.12790665961567357,0.07500025868250716,0.6915812669468808,0.10551181475493604
0.0872318585320501,0.39982007185497304,0.31179714135785724,0.20115092825511616
0.774998084476773,0.075,0.07500191552322753,0.075
0.774999999987849,0.075,0.07500000001215029,0.075
0.7749999999945337,0.075,0.07500000000546524,0.075
0.1584484010331994,0.07500000000001893,0.6915515955971091,0.07500000336967125
0.17736080273310284,0.07500037955395225,0.630462242029474,0.11717657568347005
0.09035782798949493,0.3536696539407794,0.3493831265159394,0.20658939155378633
0.7749999999283822,0.075,0.07500000007161856,0.075
0.09383117098869449,0.28712857924681,0.39271495196070605,0.22632529780378702
0.7749999951643928,0.075,0.07500000483560462,0.075
0.7749999999996617,0.075,0.07500000000033667,0.075
0.18005844019763106,0.075,0.6699415598023665,0.075
0.13325777266685515,0.0750003503739694,0.6683420719386622,0.12339980502051187
0.07651008690793408,0.6829303252781965,0.1330044668361841,0.10755512097768619
0.09449990255687477,0.32607724981916275,0.3654575816599826,0.21396526596397786
0.13591462100587764,0.07500000000000001,0.71408537899187,0.07500000000225343
0.09494346347718889,0.25912110536089417,0.39274509121940493,0.25319033994251317
0.7749999999898012,0.075,0.07500000001019966,0.075
0.7749999978259423,0.075,0.0750000021740575,0.075
0.17550028212247054,0.075,0.6744997178775276,0.075
0.7749999999341319,0.075,0.07500000006586985,0.075
0.12160346468465259,0.07504806876312828,0.501476296915399,0.30187216963681834
0.08705735140302365,0.40327120494125157,0.30967685922057503,0.19999458443515258
0.14317599630053318,0.07500007806345232,0.6964378781482776,0.08538604748773511
0.1510291086920279,0.0750719405663619,0.4780796659084081,0.29581928483320286
0.07703490516753794,0.6607088667029497,0.1484289594525422,0.1138272686769707
0.1898113013137871,0.0750000164679962,0.6552477323563609,0.07994094986185322
0.1359825609696152,0.07500000000000001,0.7140174390282699,0.07500000000211467
0.7749999999996617,0.075,0.07500000000033669,0.075
0.07703484019838189,0.6607106170940207,0.14842777794122408,0.11382676476637121
0.7749998181138389,0.075,0.07500018188615917,0.075
0.7749999999213641,0.075,0.07500000007863769,0.075
0.12542485063525172,0.07500000028295083,0.7244999038233062,0.07507524525849013
0.12948296421254168,0.075,0.7205170357874144,0.0750000000000442
0.07697009322842593,0.666628735936865,0.14532251492067658,0.1110786559140359
0.08851995353894465,0.3899056090375867,0.3257545790775655,0.19581985834590537
0.7749999868142919,0.075,0.07500001318570917,0.075
0.08591190029951307,0.415275235026369,0.3019111046304253,0.19690176004369103
0.7749963365824621,0.075,0.07500366341753728,0.075
0.07703487708357319,0.6607107036365125,0.14842788928733738,0.11382652999257484
0.7749309777630401,0.075,0.07506902223696178,0.075
0.0765102379483055,0.6829261373548354,0.13300722130336926,0.10755640339348632
0.10111728431089233,0.16407884502331035,0.44936837438630306,0.2854354962794951
0.08763882574612995,0.377007767537085,0.3256111400165746,0.20974226670020601
0.7749999999976522,0.075,0.07500000000234548,0.075
0.0770348827767473,0.6607108329913212,0.1484278004774876,0.11382648375444473
0.1294764772887224,0.075,0.7205235227112786,0.075
0.1137402308981781,0.07500353329309929,0.5382167241377679,0.27303951167095697
0.07703486613597244,0.6607113348421326,0.14842742232849496,0.11382637669340168
0.7749999915619,0.075,0.07500000843809772,0.075
0.1075136326958583,0.0883417333926885,0.4930136079746664,0.3111310259367843
0.10989355170156923,0.08534263123974171,0.5195399383160253,0.2852238787426653
0.07792146325640385,0.6312352162246969,0.16507224572168733,0.12577107479721372
0.07707535221736975,0.6593909713479996,0.1490364669231782,0.11449720951145337
