I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-195.26005952104876,-181.3324954679324,-184.81170808819144,-192.1118689334003,-189.11940611095142,-180.2275952052499,-186.55132349794852,-183.76577457616446,H,G,low
-188.83420461069554,-261.69976206005686,-245.93317134666162,-229.00971262010341,-217.71712990650562,-244.5090666086085,-229.84595502342606,-218.75217239110037,I,I,low
-199.1534381848003,-181.0899781617297,-186.11774949891065,-190.45205513355896,-196.43070485171603,-179.7385061416505,-183.7687748319272,-189.57547830720318,H,G,low
-193.4901917743062,-304.14558641299897,-180.14154704326464,-278.5198092099789,-286.9807240775811,-182.1426290855023,-277.75835895898075,-285.6912122292251,C,H,low
-196.5767004085208,-316.31752840280075,-182.42244437144956,-281.5145806536684,-296.56844489962435,-187.50419459810297,-280.18361365449465,-295.4347466676453,C,C,high
-193.41288805939485,-208.15405916250947,-180.2248865245234,-216.59093285967995,-204.8472560451161,-181.01899138814844,-213.97829167898905,-202.6135392629573,C,C,low
-190.68357269099133,-399.77639292257345,-180.80207601235918,-358.207338391177,-358.4065346080593,-189.5377559937854,-358.5649750815564,-359.1014688973435,C,C,high
-188.84387140599867,-214.64908056375484,-178.66041225492071,-213.625288374185,-211.7704168913242,-177.60088789501802,-210.3629954926971,-208.3467334677166,H,C,low
-191.69291233455948,-384.8968216325211,-229.28838454797952,-286.32878084597525,-359.93325275603826,-237.01349868099297,-289.47943079216435,-360.49189369288814,I,C,low
-195.76662165380182,-170.25107826259458,-182.62593470105602,-186.50303252123342,-185.06384609921906,-177.29577362116484,-180.98784068322055,-179.91114124123877,G,G,high
-190.74808577122357,-169.15514705432076,-180.97555168712333,-181.00326939815244,-181.04444986271997,-175.89680056868426,-175.886801259274,-175.93949365021194,G,G,high
-193.13795358970665,-313.26655010388464,-296.01661903650063,-275.2938026648838,-199.70301220628045,-293.61798008865605,-275.6557969538529,-203.38859508434481,I,C,low
-190.68806665357462,-399.764529379955,-180.80623510751147,-358.2006980623468,-358.39572124546333,-189.53782786165866,-358.55652461506367,-359.0888729556195,C,C,high
-188.39478437159255,-274.2167012746987,-222.02509766699856,-246.51045364206678,-224.90850463916397,-223.71612130494978,-247.47195544218164,-226.44700508936077,I,H,low
-193.95837543932592,-196.15801605456608,-183.5469463796468,-206.10586077023754,-211.0721003069037,-178.6787043384078,-200.9228742704933,-205.67960748591767,H,C,high
-187.10111805737645,-188.78105079995038,-178.93388081967376,-193.3837603027905,-195.64576132293766,-175.7954071371127,-189.63602945962435,-191.6479551733059,H,C,low
-193.49085777257562,-304.1486768719376,-180.14409817806077,-278.52360606001434,-286.98258911429843,-182.14272656281105,-277.76170655599094,-285.6924528766476,C,C,low
-188.80407821353057,-170.63269302267727,-179.10647732796684,-180.0903120776282,-181.0279917275446,-174.7986114316068,-175.76934364020678,-176.73795359057883,G,C,high
-199.67521514274952,-548.9540459342842,-362.83765001527036,-546.3448038956874,-255.14414972172563,-371.3174296457331,-549.3926394077864,-272.8797018079655,I,I,high
-194.4959655417937,-177.30365005336043,-181.6020094912763,-185.68630936212614,-190.79336716639003,-177.8347408115141,-180.85631681818919,-185.84871913941595,C,C,high
-192.12960791947984,-335.0235298663404,-183.0109576557037,-283.7289371618803,-330.2271189918465,-190.02150337070248,-284.2934438181045,-329.725744168875,C,C,high
-194.66931656936686,-432.32405243610634,-183.64332432545964,-377.6259053112441,-378.6394112648532,-193.889797381438,-376.8382679365638,-377.9919287397975,C,C,high
-206.59973268229535,-195.44781562007822,-190.00759394654898,-198.83412179724607,-207.34322723076215,-182.7960378383377,-191.52738184294165,-199.8494545798315,H,C,high
-187.87189501571697,-191.66185117837992,-177.747286579542,-202.67681596272791,-197.64601356103645,-176.24309862348858,-199.97056371361546,-194.9346470914667,C,H,high
-199.70763741244463,-176.57342206976173,-187.91118512668953,-190.70682563279365,-190.52979700963888,-180.8115665942746,-183.89571382328688,-183.40457614101143,G,G,low
-193.14585596344185,-455.5777146917424,-318.09656122819894,-354.1360336054554,-304.07958031059775,-324.06653251936945,-357.1123774790812,-309.72388838405914,I,I,high
-187.26969636018208,-287.17309636864616,-264.85644333597685,-268.8838150713085,-200.74045026324757,-263.67196099936643,-269.428844920231,-202.85110316083177,I,I,high
-192.47981239519203,-171.82328819361305,-183.06099467713122,-184.97177334014353,-184.10946360817525,-176.83061016248348,-178.5560438930563,-177.6582863279138,G,G,high
-190.26988587322546,-225.54748653131347,-177.60658633582813,-218.55929240244126,-219.98486197885532,-179.23569359583095,-217.70007948073777,-219.08936544624717,C,H,high
-193.42086501819284,-208.1546570779383,-180.22742770151956,-216.59530697789617,-204.84831331145955,-181.02324308727884,-213.98401535113152,-202.61548906580992,C,C,high
-204.61230100667493,-496.4977421223487,-191.4812812477117,-425.7934564321837,-447.2921372471441,-201.08677968821095,-424.1700589239152,-445.2873229722184,C,C,high
-189.2510731003382,-367.58467353755185,-333.41501440304194,-208.26109775819174,-344.19026612645183,-333.322376964104,-213.93529075315794,-346.3515217752744,I,C,high
-190.06195094987007,-236.68610434119338,-182.15912559886024,-218.57178182435035,-232.64756870959164,-185.32813068842478,-218.16551129403777,-231.48960406014,C,C,high
-194.04443214386816,-253.40705999796512,-181.92360609009478,-252.69384017534946,-243.08642408139272,-186.88042993319715,-251.018873551284,-241.50511582989145,C,H,high
-195.25924177234145,-181.32908348529676,-184.81028597782532,-192.10937150782522,-189.11721813063403,-180.2252870289508,-186.5482190795616,-183.7629143277979,H,C,high
-192.4821205793714,-171.82498827956172,-183.06488658566096,-184.97592006603105,-184.113446926608,-176.83176162919165,-178.55764202427073,-177.65973716597958,G,G,high
-193.48732322003104,-338.3131212502493,-301.6913653080351,-242.9948646663103,-281.0204571076254,-301.80377427040276,-249.64804255245022,-282.54568317833986,I,I,high
-187.93148573879947,-201.64995168405648,-179.98054499464075,-204.95976600363966,-207.2455542224852,-176.3243306725957,-201.8589795693988,-203.63317851954432,H,G,high
-186.2489547829761,-167.87512905675015,-178.6021092964346,-181.79121255380178,-180.90303956041552,-175.4592968040789,-178.33568987116183,-178.18294260070374,G,H,high
-194.33775238817014,-234.2658230898924,-182.48352144197193,-229.21927191645085,-231.63684402801374,-186.71628172101282,-227.3228822846868,-230.26746167336634,C,H,high
-200.96772658624872,-171.84774881565014,-188.1493750947282,-188.3994126128503,-190.81780988868493,-178.6935176802797,-179.10864209886478,-181.36588786875532,G,G,high
-192.5375888965809,-413.59758652622327,-238.35108480067598,-297.5831379074715,-373.1959066279375,-246.01936682703322,-301.61741003550395,-374.1708676985947,I,I,high
-185.8789077156388,-227.812687939359,-178.04925391494697,-217.56581536354207,-220.57709783891627,-179.30194513116962,-215.88697117746787,-218.72382116137138,C,C,high
-198.1958703823126,-210.60271249721612,-187.00236854803185,-217.51453141540654,-219.33306187959494,-183.5853212837188,-212.75498451746222,-214.45402315737758,H,I,low
-191.95722302187454,-388.1825327230794,-270.4904060112704,-245.82889002728115,-370.4293574374926,-277.7152945991054,-255.64200518080813,-374.5018081519223,I,I,high
-190.10177717670783,-372.4064239115848,-302.58620241225583,-241.18640659305032,-365.22225853857753,-304.7305849264984,-249.08590806588816,-370.4969151729827,I,I,low
-189.75969475267354,-282.75267389547236,-182.50400108038104,-252.3701643843595,-278.42034754912714,-185.85912405073782,-252.23545878591523,-277.0186511828875,C,H,low
-193.6989771053375,-170.68713990004886,-182.66242072723938,-183.60310782152294,-183.39158840113967,-176.85736541519105,-177.64954369540715,-177.38917908968185,G,G,high
-187.26939181505165,-287.1607811102879,-264.85113835759665,-268.8689868177035,-200.73693729439375,-263.66553012865785,-269.41537990881926,-202.8443989764516,I,C,high
-193.31641688087694,-171.006164562977,-184.6994035773164,-185.7089369745076,-185.1075547679353,-178.5499201548371,-179.3060200344924,-179.16604873394994,G,C,high
-188.95289789679384,-348.1391435857084,-205.1246440608328,-334.9104366154389,-274.9537304075578,-210.44743079386615,-333.55379374299827,-277.535347160208,I,I,high
-199.6674424183459,-549.0319393110664,-362.8114945590513,-546.4516096673381,-255.2184545716875,-371.2906704598257,-549.5025073003754,-272.94418649872125,I,I,high
-189.84083365514778,-184.67540158172025,-180.33509357691327,-189.61483449286405,-196.71638491927885,-177.2959508752031,-185.9550881040994,-192.85043237331504,H,G,low
-191.57887819391655,-286.74053387818833,-275.0410699493375,-271.6126536062821,-207.5681607980831,-271.8896826078438,-272.54203549173997,-215.94497543714917,I,H,low
-194.97809923364952,-305.7919246028526,-186.84330770238012,-270.0934561974484,-319.31156990909227,-193.30403645781502,-270.7912021293309,-318.5639806777907,C,H,high
-194.81209184112333,-446.0168723034459,-346.73668222363415,-393.13573912480723,-233.53198344883893,-350.2642050109739,-391.5997460643288,-242.0091483898904,I,I,high
-189.75565647009967,-282.7696039099181,-182.50229882551304,-252.37843845293852,-278.4317800565789,-185.86276387784244,-252.24688413780643,-277.0327021934942,C,H,high
-188.95392965900044,-348.1555578829957,-205.12126813663716,-334.92208284184164,-274.9579592520567,-210.44781959868777,-333.56667521307014,-277.54195883293784,I,C,high
-191.5829155870394,-286.6868203540141,-275.0004823680834,-271.5673928246826,-207.56886107094542,-271.84856121208963,-272.4960793167792,-215.93859651728033,I,I,low
