C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-733.5841276221872,-797.902640663164,-786.1149017175541,-733.2393910696225,-797.0402272996981,-785.1575767442481,0.20,H,high
-734.8292369777308,-832.0395952683576,-889.4197548633396,-742.1467354751221,-834.1927914722911,-889.962914039286,0.00,C,high
-734.313215922632,-766.8276511636542,-760.9481751024841,-734.1639932477115,-765.2548499188573,-759.387092745575,0.55,C,high
-736.4199808962347,-759.0460014171134,-751.454266965816,-735.030624357059,-756.7864448423411,-749.9117074958021,0.55,C,high
-733.5340835604222,-850.0827310234513,-849.4265777833438,-734.3663938377601,-850.5675862395965,-849.7244570292221,0.35,C,high
-732.1290724913597,-746.6593532901455,-756.1463649591599,-730.8631011652384,-745.2990518165609,-754.4621673715367,0.75,H,high
-740.5068872118329,-774.9516499575866,-790.7617989952731,-741.6099103972722,-772.4355688024588,-787.7611069197596,0.00,H,low
-737.6313410061593,-753.692119994574,-761.3295294141448,-735.0674777476319,-750.2825171134836,-757.7502399283035,0.20,H,high
-735.687393343821,-747.1657802064102,-750.9940746288686,-734.100337462366,-744.2345066872357,-748.1630569053642,0.75,H,high
-735.9513339615191,-760.6444583859533,-748.6291302522898,-733.8574217600965,-758.1105758613229,-746.5562804518052,0.75,C,high
-735.634475290079,-802.2591888130913,-802.545391015301,-739.9924150414535,-801.2496307409697,-801.9847473710901,0.55,C,high
-734.8067489923088,-763.8699468855286,-753.8052062708929,-733.2382274715138,-762.0249635426641,-752.1667715175765,0.00,C,high
-741.8759523872103,-796.715575508608,-755.819011597161,-736.3621214479577,-790.3609955478079,-750.455538699074,0.75,H,high
-737.0241284179992,-887.7705282159712,-883.5644626074602,-741.9963552533831,-888.329632025929,-884.1954498343824,0.20,C,high
-734.3035668534272,-797.8631999452945,-858.5016493651606,-737.2234009725745,-798.4253648740436,-857.4854611798002,0.35,C,high
-742.2466572056807,-775.2726824652005,-775.3044835549324,-739.3128964516732,-771.1071146900288,-770.5841884555589,0.55,H,high
-735.5597130535791,-736.6924913974483,-741.4738948672253,-734.1359032320972,-734.8136946381144,-739.5557954919548,0.35,H,high
-738.4121280117758,-794.7514468919682,-812.8813004713352,-738.5342884966938,-789.7587475863995,-807.3829588480934,0.20,C,high
-735.1314384477649,-746.1369738764038,-745.8045131038709,-733.7240351681986,-743.8997236447291,-743.5984433247296,0.55,C,high
-733.9757856929751,-745.1345877632062,-755.2698484156651,-731.5389206063934,-742.0202561952099,-751.8758945159664,0.75,H,high
-735.0830851757956,-766.9873039830455,-750.1107249328377,-734.7263778922345,-764.3747370532203,-748.0673897151331,0.35,H,low
-731.9769788385344,-739.5099646987127,-737.0529176389937,-731.4380818140421,-737.9612406576284,-735.6902567369868,0.00,H,high
-734.7387095479666,-750.1738046372355,-745.5956602751833,-735.4278461625861,-748.5733102212981,-743.8725722864692,0.20,H,high
-737.8106137410413,-742.6372923692995,-739.6770211929793,-733.8750794039057,-738.6907744010427,-735.8689060101473,0.75,H,high
-733.6081389440039,-744.1266162010248,-755.801327741729,-733.2502459125498,-742.7585147660204,-754.1665240166622,0.00,C,high
-734.985456640698,-787.2222881062831,-772.5324408501982,-735.7303216446787,-785.2628215842494,-771.0098426601022,0.20,C,high
-735.1173890479387,-769.1220976403475,-764.055077853768,-737.8168702017006,-768.1442839634874,-763.035622985412,0.20,C,high
-734.913033142187,-793.0888184194184,-804.5615247530359,-736.8095399642116,-792.3393469152456,-803.3684636373663,0.20,C,high
-739.7445515342699,-789.2863897814432,-794.1308981669495,-743.1592193408562,-786.2852125959581,-790.8975633502611,0.35,C,high
-739.6274175858351,-764.0715143091669,-752.9382143756458,-737.9017547299305,-759.1650112150091,-748.7735279189078,0.55,H,high
-738.6858559264315,-792.2405129676049,-807.4528001455146,-741.3635312870064,-791.8832614067193,-806.2804358744204,0.20,C,high
-736.7690091840228,-748.9961688428097,-750.2182652516383,-734.9713043860946,-745.9692601154042,-747.175383320398,0.20,H,high
-733.2923374049218,-744.0095570804236,-740.1658742480515,-732.8696191501148,-742.5891449563046,-738.9901800845241,0.35,C,high
-738.6128670087929,-769.9558962423181,-772.9232521756663,-737.3463211093188,-767.8441599897876,-770.3541669149421,0.35,C,high
-739.7965611521963,-746.5854057504323,-744.4792015461074,-734.7209383521217,-741.165548704824,-739.2247231552909,0.75,H,high
-736.0269251189983,-743.7810710029861,-741.5658675140583,-733.7606475649992,-740.651195649439,-738.7685914001353,0.00,H,high
-739.2844108942359,-864.3068400978113,-871.8945660560437,-753.5869386848574,-866.7021157436423,-873.6538077663458,0.00,C,high
-734.0587022589501,-774.7681870805582,-771.6055101908795,-733.3676253809908,-773.5224001500832,-770.2532905178095,0.20,C,low
-735.8739686340482,-756.3989371097591,-764.9556034072301,-735.4209231454429,-754.235196381664,-762.6762735846017,0.55,C,high
-735.0106287509748,-747.4775625547218,-750.1809331308182,-734.4479350114731,-746.5602275554494,-748.9556667408252,0.35,C,low
-732.3976125523586,-749.4058136765385,-750.6331800031589,-734.6712538638675,-751.0936151239038,-752.2928247434699,0.00,C,high
-734.5744027016772,-741.0264987673395,-749.5121565884106,-731.978867295476,-738.1834007490023,-746.5458115223773,0.75,H,high
-737.2221689964844,-805.9690430941928,-839.2842079433699,-742.8698286385287,-805.8152396158996,-838.1299313746831,0.20,C,high
-733.4339415832187,-784.223581377202,-767.0630372812894,-736.2032822022859,-784.630515585754,-767.5317116773692,0.00,C,high
-732.0304756942985,-737.965520496305,-746.7150077564926,-730.8418620293603,-736.3945579750724,-745.0968591149584,0.75,H,low
-739.189662894879,-748.5745467154192,-746.4658674125016,-734.9484460262004,-743.5330842276205,-741.3141821484849,0.75,H,high
-734.0764057091453,-739.4156122361741,-733.6985630572959,-731.5337155848408,-736.7167428922169,-731.3903643327815,0.75,H,high
-736.6499058665528,-742.9311781218166,-749.5527974245935,-733.3289400860486,-740.0233562451679,-746.2798524356025,0.55,H,high
-739.0796075674817,-749.692425971328,-750.0766746434161,-737.8486182016094,-747.5049628276834,-748.0298545008154,0.00,H,high
-734.6501482278248,-756.6077722804973,-754.9973755417922,-733.5978347046507,-755.0580357622933,-753.4243512133683,0.35,C,high
-737.0307519788242,-763.6454426114238,-766.3674760033168,-737.1598103139622,-761.7427315087791,-764.2765105645847,0.35,C,high
-732.3339025037516,-736.7205534568847,-738.0874495357107,-731.8897620775292,-735.180520344424,-736.7538873422666,0.20,H,low
-735.6069211947279,-741.0189466415866,-744.4737968544177,-732.9468976044016,-737.7542980255992,-741.0579601282361,0.55,C,low
-735.2929503089624,-807.9721941817972,-805.7238507965865,-741.1475806328193,-807.7455826004781,-805.5777508943173,0.20,C,high
-734.6718973302513,-774.2792000401025,-781.0768855346237,-736.5156746932547,-773.0442190950105,-779.469487735652,0.00,C,high
-736.0156165921662,-756.1966497436332,-753.8843559836754,-734.4865467028169,-753.6222979994936,-751.4903084102956,0.75,C,high
-736.8222895021659,-789.9272837791442,-815.6702881528756,-734.8062567593415,-788.7798156396062,-813.8792012587354,0.35,C,high
-734.7473201737076,-752.5896428698463,-743.3173649766385,-733.9309471230563,-750.7225691867725,-742.0199577344481,0.00,C,high
-734.3546771012853,-767.4698827471035,-761.4375261189659,-735.2302949448969,-766.3668094723957,-760.819819174034,0.00,H,low
-733.4709399519326,-749.2224133029795,-743.6539745029658,-732.6065448125315,-747.7347067464085,-742.4013281039769,0.55,H,low
-734.0104785613636,-786.7089811864579,-760.6959165309878,-733.6721645887244,-784.7912000199278,-759.3399963526236,0.55,H,high
-733.7492020392305,-767.4784083303814,-762.2199706983683,-734.7576228583929,-766.1337595573932,-761.1227204459472,0.00,C,high
-740.0995845008898,-744.8720958498155,-743.7008103642165,-731.8060951005134,-736.2096958092676,-735.0088462027484,0.75,H,high
-732.9642554121596,-743.1985593713562,-757.4590715200101,-731.2078640546821,-742.5501320512479,-756.3851546387673,0.55,H,low
-734.2678708608714,-742.0851410169288,-741.7325330748813,-733.2329074559412,-739.9313089838072,-739.5866487229873,0.75,H,high
-734.8561916421972,-765.6175761679565,-768.2861760686858,-731.9203698376969,-762.6605284334992,-765.3989904759995,0.55,C,high
-732.9320158910209,-739.8583313834762,-746.3310449935989,-731.500414651091,-738.3083382931547,-744.3662403063429,0.75,H,high
