I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-739.3477957752199,-726.8759536340501,-734.0957171973541,-733.7530600508043,-733.8067056960109,-730.710583032667,-730.4654139460424,-730.5561709630994,G,G,high
-749.5820337056539,-736.3778421536972,-744.4844046627902,-751.2281053440067,-747.7170315123076,-734.4155776221436,-741.8889279442504,-738.751046074935,H,G,low
-742.0213006601625,-954.392810452137,-895.2651450144067,-904.0753920611199,-760.2881521984277,-896.3158331267557,-905.3039534201992,-766.4828086747137,I,C,low
-749.1589153960821,-732.4375358091856,-742.2222694162887,-742.4429122155359,-742.802737623974,-736.8634601858695,-737.201024393196,-737.7697508065577,G,G,high
-747.525500682497,-892.53048460707,-855.5812522504834,-860.2231564410467,-767.072219905871,-855.7003685454808,-862.6888351243873,-774.7618106007683,I,I,low
-741.362524427212,-728.2025268464871,-737.2178463568014,-737.9591202297472,-738.2596030802177,-733.5675604372918,-734.67493208716,-735.0806921750848,G,G,low
-748.7967652251527,-850.3760463082008,-738.1366912641776,-837.1217300380296,-852.3298150061056,-746.0486568986745,-837.7139250482256,-852.8338543940288,C,H,low
-741.1990897543897,-727.8134740372928,-734.0054484302161,-734.9960637448721,-735.078026353037,-731.6557929662956,-732.6096010983722,-732.818472180934,G,G,low
-741.8398072519649,-776.1793217126366,-734.5594238546038,-770.6859077061996,-770.6776958466583,-738.8361951743815,-770.7663661965478,-770.9735339312293,C,C,low
-742.9630078666977,-729.9072483803019,-737.1124335284198,-742.8515224259681,-739.0218324394468,-733.6960530854191,-739.2744809259507,-736.1072804533333,G,H,low
-746.1607252059184,-878.3915169788892,-733.605351998119,-815.5710360045236,-873.9635315312797,-737.7018219077886,-817.4238225258252,-874.9856155382715,C,H,low
-739.5213857847173,-905.690908253033,-760.9726897971286,-917.7038147346533,-823.5172862521603,-764.0692886092496,-918.3595654866846,-827.6805584232463,I,C,low
-740.0349607815675,-842.2571944444833,-733.1509791670045,-826.0568370414092,-837.628003969818,-734.5493663841733,-827.0562902420963,-838.539731017777,C,C,low
-738.4790326847252,-817.8964693378747,-751.9644995083057,-807.1229228477351,-793.0639710659402,-753.6740829090771,-808.208395724627,-793.4829592321078,I,I,low
-750.6756424326861,-757.8559899701359,-734.9449628236058,-752.4609429133345,-755.1334824128652,-738.2588312249663,-753.8244197122176,-756.1961285294873,C,H,low
-742.0336388609077,-799.0945245784444,-758.71036028534,-783.071145085314,-780.530017006823,-762.354148108645,-782.5406700340059,-782.2338401651712,I,I,low
-741.1464935038617,-765.8339255359556,-735.1684148970843,-774.3128854301636,-769.8995277323525,-733.4647909266096,-772.0106075820843,-767.9870494763188,H,G,high
-742.5086878052598,-730.2225244032737,-735.6856085149087,-736.2469071174297,-736.7156638728377,-732.8238627812239,-733.2946649721414,-733.748057051013,G,G,low
-742.0221788731211,-954.3811357787935,-895.2555478407238,-904.0684110929351,-760.2892158405051,-896.3065988734193,-905.296395630739,-766.4840158734488,I,C,high
-741.8456260131522,-824.7823663056068,-778.6162894888797,-773.1205091286023,-804.7675702142533,-779.1758373347917,-774.6634292356784,-804.1668538285077,I,I,high
-742.0257142538823,-799.095781151631,-758.7126126561849,-783.0721115580156,-780.5157386055587,-762.3583931830004,-782.5434330466641,-782.2250579875422,I,I,high
-740.2625245939012,-759.9367939976439,-733.5800961713023,-761.9202368146885,-752.8227535767679,-733.9405934940859,-760.8906692345071,-752.3018967496405,C,C,low
-749.1454897260181,-732.427962382595,-742.2125250381795,-742.4332995857375,-742.7931359334916,-736.8531892901545,-737.1907856967829,-737.7598016827434,G,H,high
-741.1733196849186,-728.4970054215693,-734.1772362157546,-739.7010246200623,-734.5156603942664,-731.3714425529618,-736.9183214162306,-731.9453475796041,G,G,high
-741.8311994831703,-776.1697475530929,-734.5577181845497,-770.6774299654733,-770.6686165342079,-738.8253858306383,-770.7563174071797,-770.96307621182,C,C,high
