I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-63.24955373416404,-39.95086010121614,-53.47301484486196,-52.47587619623363,-52.53573275369809,-47.09896755463604,-46.07460942065802,-46.362389915988786,G,G,high
-73.96364158077819,-64.72557950464642,-63.493494053733116,-82.71142756272214,-76.89394948474374,-51.42877732895088,-71.5263386916792,-65.92137467158466,H,G,low
-65.48354479806022,-359.48298116960643,-281.54942513953563,-263.2302561698593,-114.30895901156268,-283.1725566957403,-267.139635745151,-122.22769118067728,I,C,low
-80.41590467158683,-47.76660472221874,-65.33283117837261,-66.65223194487419,-66.36278718120428,-55.158536173643796,-56.4669088107253,-56.38336454936616,G,G,high
-73.82451960740669,-383.1559667757728,-298.9306800383372,-252.25557857633856,-158.5772369957705,-303.65110395044144,-259.24778399746435,-169.61180394565608,I,I,low
-66.3729835893999,-42.08668900139486,-57.36278410362489,-58.70144862525096,-58.28354185170241,-50.52235705823032,-52.511605072886695,-52.09571619212519,G,G,low
-74.43084167325452,-367.6954533318383,-57.27979116842806,-315.43960876053916,-335.3636515671598,-67.02389337925045,-315.8307069566444,-335.22966543340294,C,H,low
-66.80602476738272,-42.30458985829332,-55.23792243518073,-55.96791377815844,-56.19845841427964,-49.653261618952676,-50.339712539146866,-50.77679901871087,G,G,low
-62.627917116993515,-216.64726224527735,-51.88391663476924,-185.66425055751793,-180.54494726566875,-58.76809736542472,-185.74010608058973,-180.7564586239827,C,C,low
-69.88873413074312,-45.59140102326967,-58.484956491778476,-66.7285600057844,-61.567583453109705,-51.29316934157904,-59.499640673101126,-55.08408441853005,G,H,low
-69.70339290658954,-261.88358016306563,-51.65357788114216,-176.8775001011121,-252.63424626189234,-56.01643751105624,-177.54432231877254,-252.30814624675347,C,H,low
-62.22305190848304,-280.9222818845401,-103.72699583054315,-265.15811435458886,-183.83357837855812,-106.78450545280225,-266.37024878918277,-188.1842840900006,I,C,low
-61.24547841107114,-203.65512402401978,-51.29214736927406,-180.87238059298937,-195.44605234684255,-52.928050613938524,-180.82253862216692,-195.66379929917989,C,C,low
-60.96225965441293,-193.4603311315923,-101.58354766858432,-140.26200461048745,-164.11644756520178,-104.39712320329126,-141.95047602991727,-164.7556723271186,I,I,low
-72.49048233378315,-171.61910798384528,-52.47286428636797,-136.462006177529,-148.48710004580815,-56.51695269141463,-137.1272238421819,-149.26559972088103,C,H,low
-67.65645483841634,-236.83946087900247,-110.73763395794876,-220.66708042030703,-145.45839977725643,-116.00306405289403,-220.93689994000226,-149.58317688576113,I,I,low
-64.21886139685638,-111.33073025770493,-54.10951863212651,-121.20931680528956,-113.91923328251974,-51.63843919608261,-117.35861623493057,-110.49105508204082,H,G,high
-66.54111471495786,-44.24780022893557,-55.01944642716077,-56.24288259208862,-56.40971279789913,-49.27447236820537,-50.53681508018353,-50.6092221702168,G,G,low
-65.48216963612148,-359.4800264099463,-281.53825541376204,-263.23937906637,-114.31089276458383,-283.1613433062746,-267.1487019532169,-122.22857829862676,I,C,high
-65.51834494053263,-209.19912181071524,-141.46351943846014,-100.15036774968247,-181.33298959183153,-143.2742266742963,-104.18705374282797,-180.02544582471052,I,I,high
-67.6225554270183,-236.85743636827036,-110.75375698572444,-220.6974639044375,-145.39207357835312,-116.01865238422444,-220.97292974569385,-149.52795363562691,I,I,high
-63.25477826399501,-130.60531096618973,-51.88925487098848,-127.75711668819932,-107.83675503273663,-55.158003405151874,-126.18136413333366,-106.968407267524,C,C,low
-80.36065721498163,-47.73810873168849,-65.29046674017505,-66.61154512436354,-66.32073961226936,-55.126514392711776,-56.435457377218384,-56.35129933238061,G,H,high
-64.48607803678989,-42.79007862502664,-52.44246149522173,-58.976727447309415,-54.98824351904582,-47.170043579139,-53.65919735235371,-49.9295136180607,G,G,high
-62.58980561525018,-216.44058226837723,-51.862149846794104,-185.5014342146505,-180.37735262989784,-58.73154971177146,-185.5749010352519,-180.5869792625076,C,C,high
-63.17206420412608,-40.011198547468254,-54.79287396231034,-56.55855975177492,-54.78408630219029,-47.006844995533974,-48.75229557655834,-46.839325379994946,G,G,high
-61.87069543266617,-234.5077592625936,-162.2107029720673,-188.73499576246778,-131.31283609668745,-163.78606540299273,-190.26179845384922,-136.18507656033142,I,H,low
-68.16726887412278,-49.79159311552737,-57.296250350084,-62.090528234070554,-65.41251762797883,-50.97354689755226,-55.93209892039792,-58.92701869928382,H,G,high
-61.91735507048584,-41.660112919409144,-53.31460016575151,-54.45794169636495,-57.89337633547706,-45.938496199449474,-46.832092731562874,-50.37700103988755,G,G,low
-67.36199559759322,-85.45716641356307,-55.1475047146888,-95.09344468035695,-96.17978740622726,-49.779641743462435,-90.13839809777605,-91.26691426657487,H,C,low
-63.18990715556148,-41.737417593362245,-52.9645940606164,-58.72683833958225,-55.333099494855524,-47.02448803156946,-52.54762451430771,-49.1479920452983,G,G,high
-63.24814368824974,-39.95970333532461,-53.474358728847555,-52.47605283753021,-52.53688426992588,-47.10696804356862,-46.08172449085835,-46.37026071956156,G,H,low
-61.56606258590407,-227.53107089301704,-110.91104688084553,-226.75421229526947,-113.93020233744096,-113.61557530868028,-225.47260367692792,-116.15701873503646,I,I,high
-67.17310169203343,-39.46237666468431,-56.10334187694095,-56.27234110357451,-56.34316281284939,-46.47062728901338,-46.63573091012859,-46.69640177168422,G,G,high
-61.831212961885875,-234.6201088204992,-162.29279886110052,-188.85339004594348,-131.2484190462307,-163.87055238368157,-190.39022547896528,-136.15380908074553,I,C,high
-65.67076461678383,-41.139137269135944,-53.00491509624527,-55.756307784409714,-57.92410171967253,-46.99309724093804,-49.92482115814698,-51.92928774196859,G,H,low
-61.223907949686506,-203.8260482350143,-51.27008938564467,-181.00418312689172,-195.57601140236028,-52.92129629844882,-180.95779858894596,-195.79822047375728,C,C,high
-77.84837688297019,-42.55184930330846,-57.50105776524801,-56.40123564142441,-56.84671867152868,-49.83200009977853,-48.72607118654939,-49.22699577712496,G,G,high
-65.57566007997725,-219.57074260139063,-107.32006514882006,-96.31555092428643,-248.2208508119498,-112.91839025951255,-101.75695311388775,-245.6307852997539,I,C,low
-70.78694089919867,-42.24743226840237,-57.622275779605296,-57.72015854222479,-57.28714654977426,-49.66825705436658,-50.13560479908396,-49.560923839739864,G,H,low
-60.159843446640494,-62.834329401457246,-48.92613865253364,-75.9517487625656,-67.4360915258444,-47.62212120087524,-72.91624278900908,-64.25434207701785,H,C,low
-64.71590695817206,-70.90649569828474,-53.371108828805546,-76.12836191111684,-80.57705189201866,-49.69409531336487,-71.54903911257558,-75.89527476844398,H,H,low
-62.04160746049252,-39.50109012824766,-50.69335022927763,-51.39322016221449,-53.43292578004637,-45.93561083245901,-46.942218008484794,-48.817944384092826,G,G,high
-66.4882585578062,-39.30090001236497,-53.126717107997266,-53.05248024295418,-55.7181852114461,-46.42795865428496,-46.94703561017618,-49.38397972230233,G,G,high
-61.63543513411086,-39.24372582311417,-49.85680306374949,-59.76375635662154,-51.32425404107122,-45.41672282605423,-55.37458177406682,-47.31272178710583,G,H,high
-66.12746109044551,-42.91611510308454,-56.36768039033894,-56.989194444957015,-61.95684601136267,-50.18699161499143,-51.52219130978154,-55.78923676855911,G,G,high
-60.16373178463126,-62.79791646920899,-48.92962791501311,-75.95445373249986,-67.40556675284489,-47.62034720964929,-72.91497401330207,-64.22108651409935,H,H,low
-68.20404972475703,-49.73952690228336,-57.31009760284657,-62.05011394855948,-65.34348904602894,-50.99369810249287,-55.898287753747816,-58.86761154510047,H,G,high
-62.96726018681666,-41.09928458465208,-53.668433643982155,-53.49539041402478,-52.4913034043723,-48.142287746441404,-47.95248034064416,-47.08790663060121,G,G,high
-67.33420549514904,-85.41464431764452,-55.14055749585136,-95.04066083694549,-96.12861369235766,-49.78077584712709,-90.09866767276705,-91.22962227110595,H,H,low
-74.43151061570629,-366.94658063655226,-57.32464198870524,-314.85831482284635,-334.77639471904035,-67.0054661671285,-315.25092320021247,-334.6457273171665,C,H,low
-64.73928016391038,-70.95163759829542,-53.393529536932114,-76.16278550416193,-80.61709664137653,-49.72213112393424,-71.58468116973307,-75.93658736196122,H,H,high
-62.05902759209792,-156.6678422181794,-133.48928281117404,-91.027873348248,-105.16966547683936,-133.30577696868062,-91.39814300967913,-106.37657283731505,I,I,low
-66.50358138559395,-39.32794660478507,-53.14372328640777,-53.068280622200604,-55.73433671887011,-46.45699314123423,-46.97491405597441,-49.412003750537735,G,G,high
-68.8544662621383,-283.08894260833006,-57.628060088568056,-233.07973953750374,-272.5349768188641,-70.7889319992815,-235.45514358344698,-273.89100117806674,C,H,low
-66.5422969516218,-42.475416455837625,-56.264752360905526,-54.85313090529541,-56.91093164381653,-48.7861181233761,-47.58409070835924,-49.573577193529346,G,H,low
-71.62708853435775,-178.94680237848422,-56.20534643551971,-161.00672034585713,-160.98304194285356,-58.43877895050871,-156.83264261224082,-156.48226548083449,C,H,high
-63.194246916341854,-41.742692968198426,-52.97642259072593,-58.73137269261926,-55.34258679289975,-47.0337293212937,-52.54996570693917,-49.15523647232524,G,G,high
-65.0500592875995,-40.45438293042973,-53.51669537013338,-53.53242705959431,-55.72324737369832,-48.02686071805124,-48.320355259059745,-50.27328760231047,G,H,low
-69.71674720802245,-45.49968484071482,-58.3011710494802,-66.50283224953154,-61.36464204021039,-51.21875617043345,-59.380640818954575,-54.978292832219,G,H,low
-64.2106649327385,-239.8417262092637,-194.09123257065437,-196.619203140732,-64.91140082221229,-194.1554084621704,-195.92311979970674,-70.79302985485246,I,C,low
-59.79419416116976,-78.27249053844248,-49.94720280892436,-80.2004087242673,-85.96233159125913,-48.15697200302704,-77.38703759388272,-83.02042207648829,H,C,low
-60.64814059891682,-41.75161141359348,-53.12955814768719,-54.20571695902187,-51.6804974786514,-48.33524875547275,-49.2497831275305,-46.995514319001295,G,G,high
-62.53531761669026,-39.74516296144288,-52.41622122327076,-52.227775242585565,-54.096456897873054,-46.96260698852463,-47.289815559964964,-48.599505870326205,G,G,high
-67.31352399155686,-190.17957569033905,-86.12641314077409,-178.03246274602307,-126.18340153344332,-94.3077780004764,-179.15459473800195,-130.16656415739976,I,C,low
-68.83263045625998,-282.96200310193086,-57.62033354456166,-232.97314508321918,-272.4183321152297,-70.76962423732802,-235.35171625615655,-273.7783816039296,C,H,low
-65.53379565709174,-63.37787157626541,-56.397248565865915,-72.34491325280389,-68.33074006325545,-51.64418180074596,-66.88933749239051,-63.19331440521203,H,C,low
-66.50975848345678,-267.2643907167771,-214.05083081330105,-144.14788971622352,-159.62789656882745,-214.36178606226449,-149.33942909342636,-166.00456796390927,I,I,high
-61.10865595407623,-154.8302750261055,-52.976044913374864,-140.90446223366138,-131.75555174983495,-55.20765790255233,-138.46834769000398,-129.67763106922146,C,C,high
-63.735869733656145,-63.18066569751092,-53.10281594379032,-68.03305957873049,-71.56030125698223,-49.4959039647647,-63.16816126927206,-66.60560657943589,H,C,low
-69.74719533157852,-262.7282555420156,-51.61284611402578,-177.31548456790256,-253.45888431293253,-56.00629028722464,-177.99574186199538,-253.13545893925652,C,H,low
-61.899782073753926,-41.814339795391696,-51.16478446617727,-53.913239863726474,-56.85958189264635,-46.86995650016497,-50.11882766585455,-52.73111348545055,G,G,low
-74.40285622102633,-186.76643797102773,-51.432409881709226,-155.83678063170524,-171.40477825198843,-54.21486131563862,-154.24264369889323,-169.16692554942495,C,C,high
-63.26413346599002,-130.6510139467554,-51.89237370375807,-127.79856592879442,-107.8708654476031,-55.15889255626344,-126.22073138758488,-106.99990727825,C,H,high
-61.64333159616763,-39.266010395182356,-49.867841661534065,-59.796152671004016,-51.33960032124599,-45.43296137991364,-55.41142850902749,-47.333427035879886,G,G,high
-65.04787615929243,-40.39879540413522,-53.45863182013589,-53.48227642641668,-55.676176651223585,-47.95125997582031,-48.25447397428606,-50.208810282116914,G,G,high
-66.59358617251779,-44.2597525642874,-55.048817788530535,-56.27230513282441,-56.44262303142695,-49.29020602690594,-50.55196085814086,-50.62798228067237,G,C,low
-67.30275928702531,-190.18125554330152,-86.15062361009663,-178.025646845949,-126.1698654820048,-94.33999571960976,-179.15707153652068,-130.16630153846825,I,I,low
-66.7968821646811,-42.30191099455173,-55.23092862981381,-55.96192176202314,-56.19229145892422,-49.64945962640807,-50.337074184534586,-50.77422092419224,G,G,high
-85.19692899178546,-48.98666110673225,-69.03567515355554,-69.23192521993514,-69.09120635233543,-56.50451636955325,-56.85070089361371,-56.69972927956291,G,G,high
-65.64821334068654,-41.14517069914977,-52.99483200826558,-55.735470937152726,-57.90522541450463,-47.00005890916802,-49.92152977991242,-51.92633773439862,G,H,high
-74.3756555220262,-186.52785567684862,-51.45156915115659,-155.6689195938216,-171.20537663493965,-54.211585026522606,-154.0723559480343,-168.96672672774278,C,C,high
-70.53491015160077,-65.37194840501962,-57.58504973516413,-71.83770829100195,-78.1908913176018,-56.0951537040941,-66.7003895311443,-73.07818139400587,C,H,high
-62.43537797457636,-137.24470837846732,-51.30478188468291,-138.8531044132251,-125.17635237997801,-51.37122337815527,-135.87385821475237,-122.53204503014858,C,C,high
-65.2078803532103,-136.08760342700245,-96.30658357539184,-93.82267489585627,-111.58478022003989,-97.76527813028949,-94.75819170999803,-112.33722162439486,I,C,low
-65.48392279925616,-209.1419919318686,-141.45485701791696,-100.10326838334305,-181.24526170642898,-143.2710334907888,-104.14617658421062,-179.94385251498795,I,I,high
