C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-896.3517501170562,-913.5817637708216,-901.7067077984143,-892.2835485874939,-909.3255748445226,-897.9098361995552,0.75,H,high
-890.0765336540571,-903.5838589947716,-918.9922516906233,-891.3698190947711,-904.1943018923397,-919.2499823903756,0.00,H,high
-892.0551571023634,-993.7808640207987,-967.2940804737783,-895.4532456074517,-993.6687807069669,-967.2576849609153,0.00,C,high
-891.8484841591345,-935.9853981357238,-953.8013818181264,-894.6086409010995,-935.6413517878091,-953.3973324819465,0.20,C,high
-891.7414641490153,-905.0846705412076,-908.0049875473834,-889.5770773917994,-903.5706166540326,-906.3060493726691,0.75,C,low
-895.5337689887214,-948.5340593892188,-944.4317455690194,-896.5625090547345,-946.1066268892871,-942.6272806428653,0.55,H,low
-890.8321242544388,-901.1255554674913,-896.9110216005276,-889.7924539223325,-899.1905136566337,-895.1551565264,0.20,C,low
-890.0759361791235,-957.7911098916103,-956.2291474227071,-890.331015294474,-958.3250800696638,-956.9735822858191,0.55,H,low
-892.6224160317806,-979.3256452249784,-966.8983777732859,-897.2348834610224,-979.5480631005998,-966.9433382343191,0.00,C,high
-891.0558333484132,-898.07929704789,-902.4822041016827,-890.7062960101171,-896.4009030929592,-900.8026125383539,0.75,C,high
-894.5125731196997,-949.3863949257249,-926.7574784417853,-897.2294134913784,-946.9431693383987,-924.5322327609744,0.20,H,low
-893.1519190503554,-965.6196987882269,-991.979745014364,-896.5785664218013,-965.7292718074126,-991.2840200297666,0.20,C,high
-890.3562988014052,-944.4822322040841,-926.5051612523436,-888.5918820075466,-942.5843881962085,-925.3056225668347,0.75,H,high
-892.7884010301941,-897.5628030810757,-898.9222649358016,-891.8870984772961,-895.5792211759309,-897.058132027165,0.35,C,high
-891.7704419433464,-899.0096450743895,-907.6977487627289,-891.178051148002,-897.003861816576,-905.5125505583364,0.35,H,low
-893.369426668445,-924.0415753442219,-930.9287211786994,-894.7095074711872,-921.9413659259402,-928.6519005862378,0.35,C,high
-893.627336821055,-904.5920560907306,-912.485835488839,-893.1884837402173,-902.6260315512508,-910.4675043397197,0.20,C,high
-890.9402460897402,-902.1051782909594,-899.4495122462819,-891.919751410877,-901.4046339694542,-899.2491943674406,0.00,H,low
-892.1224050725854,-895.2266603735515,-895.7315527111815,-889.3664487442193,-892.1061175968838,-892.7119791438104,0.75,H,high
-896.1134596775705,-939.4721258685445,-945.5042115719403,-896.5216984765955,-936.5670054598675,-941.801070271569,0.35,C,high
-891.8789326428271,-897.8465499973636,-898.1472703523921,-890.8231809982243,-895.6616105664215,-895.9588348771226,0.00,H,high
-891.5267632234418,-968.0338293385163,-1008.176459112819,-893.9074750156403,-968.052648300049,-1007.2465004402527,0.00,H,high
-892.8695798591558,-904.9820122296551,-902.9378820649817,-891.7388413406545,-902.9992195005252,-901.2625991446131,0.00,H,high
-893.0028168268236,-902.0226549660861,-899.8042360146864,-891.5410199659361,-900.3993396336568,-898.4437400736784,0.20,C,high
-890.5627083174626,-924.8535202466171,-925.3220071758248,-890.8268492237165,-923.7451080645485,-924.1216723813122,0.55,H,high
-891.3510704548305,-900.9199458334895,-901.2272507095742,-889.9801149065778,-899.6006122345565,-899.659104781452,0.75,H,high
-892.2397889813598,-900.1203204032255,-896.5399883938798,-889.8157495959302,-896.739676695143,-893.2722167896504,0.75,H,high
