I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-64.0322818493968,-85.3397295734302,-54.865516151234615,-89.22393690227837,-81.97660275023836,-52.28070814448009,-84.55300100832699,-77.77647805456861,H,C,low
-60.50613851683035,-105.50185379371977,-51.63489881522504,-96.54668821574319,-102.02402406206546,-50.40686868470701,-92.90900340898695,-97.85024397998515,H,C,high
-69.99547081026184,-112.90821073668236,-57.98604767288993,-119.93973518371817,-112.58751630237005,-53.25441668665291,-114.80498415904246,-107.58534426408335,H,H,low
-77.47575545798169,-98.40456272075,-63.21879406242742,-124.11287425272694,-101.40243915267904,-54.20341581407874,-115.37462440280142,-93.23423091586866,H,H,high
-63.08779458455629,-128.1926996121631,-52.572940149259345,-127.97937591290804,-114.35694229407741,-54.980006879465066,-126.02348840993668,-112.6814907649399,C,H,low
-63.132160782732825,-150.63243043667399,-84.5736548847736,-122.66187391981698,-116.8097841317524,-89.31032595289085,-123.34411685761283,-119.62318201512144,I,I,low
-61.24974088493524,-210.63242085506923,-53.799183630748715,-155.45898818519322,-216.58285453684547,-60.28510663631335,-156.20043974329081,-215.25760429770372,C,C,high
-62.60548002844151,-123.57822741205318,-52.00053354437551,-123.43958886106482,-118.41575751278705,-54.366176758132085,-121.84140626969933,-117.08432763602887,C,C,low
-58.70605826715516,-162.28930196307053,-93.84722082889799,-115.24439540813499,-139.2842539407505,-93.82335663233009,-116.9900962245311,-139.8162645636357,I,I,low
-67.62687757095667,-71.64921746202847,-56.50471412316315,-88.38484372137998,-69.22902027130496,-51.048013172052485,-82.88311852685985,-64.1533561920099,H,G,low
-63.53179041602327,-220.092658476136,-153.96581421811592,-187.21278821280964,-88.60193509963106,-154.43836614987646,-189.14309361709624,-92.99365945707592,I,C,high
-59.42145159311865,-115.02865708018243,-92.94142834555252,-75.0025943411056,-122.55667888699251,-91.06950981492886,-76.94740905805422,-119.99079397566366,I,C,low
-63.53117630043545,-220.107544780554,-153.98364744805295,-187.21760347226376,-88.60414099793276,-154.45682377115327,-189.14757622123432,-92.9967044478009,I,C,low
-71.82318885241654,-354.12396934163013,-57.638110504218055,-288.2396895463143,-294.3798590172719,-74.71452828564652,-288.5201859117122,-294.74790664057787,C,C,high
-64.71899190869897,-109.04607237393928,-51.05126065472566,-90.058135392087,-119.06724294794374,-52.258052988969716,-88.36154299335729,-117.05419896382877,C,H,low
-62.946479846436006,-105.7803945505392,-51.41008939048616,-94.1513870660564,-108.49753159039247,-54.61262446677863,-93.66450820002832,-107.36270484665522,C,C,high
-62.95026788268629,-105.78092619737328,-51.41420980440998,-94.1530560484572,-108.49793815182764,-54.617408377266905,-93.666341710678,-107.36309168162494,C,C,high
-64.2346202599442,-101.553928895827,-56.06039139211572,-112.41116128388362,-96.97326933544613,-53.0278851789221,-109.00478007012885,-93.47657333456746,C,H,high
-68.94157048380588,-92.83395537027512,-53.01679475098392,-86.5050891572183,-94.45030376384297,-48.53922545552019,-82.87170356579423,-90.3612896081396,H,H,high
