I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-595.1077109150847,-611.0915099088298,-586.3458055484059,-613.8805426315627,-619.4629046962161,-583.4425185428397,-609.8904171059376,-615.503549776142,H,C,high
-589.5557593595724,-728.4187454871376,-613.8350195880997,-701.1608488743807,-668.3200478280799,-620.9350678713503,-701.7377601748777,-670.1853811629521,I,H,low
-595.0784611219339,-591.5294536716292,-586.1389046238893,-598.5331673882118,-605.6190857192241,-582.460386866611,-594.0978121376853,-600.954637134456,H,H,low
-590.8044365750793,-753.6512126164212,-611.2154855444273,-675.5189551316776,-738.8681944299129,-613.0792227100869,-676.8602283068327,-737.6023164423102,I,H,low
-596.1458270758991,-578.0859289246291,-586.41825859324,-589.050371181897,-586.256494332174,-581.7527602534728,-584.2440490613347,-581.4211547932779,H,H,low
-585.4731994469311,-606.7101272912167,-579.3773642960809,-611.5952277210644,-617.1751763571423,-580.0676353884212,-611.3296428130429,-616.8190757524517,C,C,high
-592.7265549496268,-576.2752359664787,-585.1568217597578,-585.3416221648007,-585.8752576422761,-580.4151575351493,-580.6504281672451,-581.153893796629,G,G,low
-596.5222628410285,-648.3506300126585,-580.7129109145818,-633.1689289550682,-648.3757470768927,-579.2138420248777,-630.575808265849,-645.4239823390446,H,C,high
-594.7645251642252,-575.4427146490146,-580.9868133618908,-583.1331929058159,-583.7179215541446,-577.5668666779077,-579.9914115755911,-580.4905857451872,G,H,low
-586.0375915120247,-651.3452458346792,-580.1413637836372,-644.6978898477234,-635.3248986009953,-581.385516463309,-644.0083541895915,-634.585946092301,C,C,low
-592.0206127993345,-576.6028001912983,-584.891021835073,-584.573732582032,-583.0756583197631,-581.3862696457378,-581.1568005584758,-579.7199585215789,G,G,high
-589.0060775303054,-628.7312702075695,-579.6016214648158,-629.2558251846973,-611.0559020121822,-580.5297996218529,-628.4977629474397,-610.7465731118733,C,C,low
-591.9182479167806,-673.686359323468,-671.1534720937015,-641.8459471337144,-623.8127183270443,-670.0971009498226,-645.06746094677,-625.8639192850067,I,I,high
-587.4083036988827,-679.318158655998,-664.6401977972207,-594.5239532514868,-646.4567713038402,-663.9808082357582,-598.1497962353194,-646.6881872018064,I,I,high
-592.985204119195,-575.1214315180017,-584.193078090705,-584.0736721285318,-585.5517560808349,-579.0902041010496,-579.0638703543176,-580.3256660971042,G,G,high
-586.2908848139505,-572.8682516798839,-579.5157953006723,-580.4028508359212,-580.0053344847006,-576.8744525428209,-577.7059050694209,-577.3724211189332,G,G,high
-587.4766266818554,-592.1635008128719,-589.9628744842194,-589.9604676850863,-596.9939598383701,-588.5179628156271,-588.0059289527119,-594.6341202973108,I,H,low
-590.0710237071232,-674.4282668645062,-582.598771044468,-661.6087609177395,-652.4916741977169,-587.6204337589369,-660.3998345126197,-651.6900142940702,C,I,low
-593.7573675593225,-576.3061684528822,-589.6367922711994,-590.9060576109765,-590.6597390641588,-580.4878456312114,-581.7192779610707,-581.4779357406429,G,G,high
-586.5872719882631,-627.581967136274,-622.1561572136837,-618.1808031859616,-585.8343174743018,-620.6277607073074,-617.44877336074,-586.9379066059697,I,I,low
-590.2810032692365,-574.7104725279048,-583.3883714192997,-584.5570610321448,-583.9684149705071,-578.9569098593724,-580.1235581686001,-579.5783992851027,G,G,high
-586.7730823336126,-628.2327405492254,-581.0663292350354,-635.6375696317702,-609.8754466578692,-582.7547611312575,-634.1180058883658,-608.7441862646674,C,C,low
-587.8785697705628,-575.1911417503383,-582.8379470831591,-581.4204969688078,-581.6221911722821,-579.5498079441663,-578.0571223930071,-578.3970391641674,G,G,high
-590.6525961504639,-671.9351865788019,-641.6686779807576,-617.7684449795197,-641.6918100294779,-641.4311926096154,-618.283154878484,-641.7993321440292,I,I,low
-587.3217772181099,-672.7249504831476,-599.8850692335106,-679.2544625976814,-654.5345369554076,-599.4195832214546,-679.6306428535004,-655.4620420235053,I,H,low
-589.7847675143718,-642.2079949509972,-581.4896337217486,-630.1531837610996,-630.5667896232424,-583.7153258099462,-628.3638692344522,-628.7638214748933,C,C,high
-591.5646050366694,-738.6337587996247,-673.940969406813,-746.7621849423001,-612.3930554232247,-675.5291596584624,-745.8015525799784,-616.2004208913529,I,I,low
-591.6663104620402,-610.7881185122329,-581.623983632488,-612.5163511725393,-604.7861293927219,-580.3791366052121,-609.9011817576655,-602.4499750754012,C,H,low
