I,G,C,H
0.04556787914612512,0.14282273779781074,0.10635127019391434,0.7052581128621411
0.035064132096835406,0.8320182841037136,0.038341164784732394,0.09457641901472896
0.057176350093878545,0.035007963577660534,0.26532899681339855,0.6424866895150863
0.2287041242849595,0.035,0.6462133771623285,0.09008249855269755
0.041992855054420665,0.035,0.8723670779848389,0.050640066960725046
0.059553196134078085,0.03500000007862133,0.5381313303074732,0.3673154734798359
0.8949977584997867,0.03500000000000425,0.03500174640319276,0.03500049509699253
0.03523433014147657,0.7420162340542209,0.050067435531048594,0.17268200027323174
0.03515531425786266,0.7340416049888757,0.05065707888824244,0.18014600186500163
0.06888843020567978,0.039324400648485476,0.343255978213228,0.5485311909326004
0.054894521712280195,0.035,0.7116130106958312,0.19849246759188616
0.8949882448996098,0.035,0.03500937452492523,0.03500238057545558
0.035232059250484775,0.7779530591558236,0.042651648631153144,0.14416323296252342
0.036046103605750494,0.7548511948483215,0.05303096101229086,0.15607174053365008
0.895,0.035,0.03500000000000094,0.0350000000000002
0.8949987373609797,0.035,0.03500089420181743,0.03500036843719348
0.048347633339338766,0.036663997875194525,0.6277591532957014,0.28722921548976843
0.04396956360355379,0.035000007117736626,0.14919302145622482,0.771837407822488
0.8949999726546166,0.035,0.035000018153831886,0.035000009191566886
0.035158177762094935,0.8150264985395216,0.03898253802156836,0.11083278567683306
0.035465563436499814,0.7055802277816389,0.05896320090625612,0.19999100787560414
0.035762693237584436,0.7934335846176498,0.049313196702214235,0.12149052544255307
0.03536617071638679,0.7615395398754814,0.040402407788305124,0.16269188161981282
0.046962483992318046,0.03501018706388947,0.34850512246051546,0.5695222064832799
0.035107883283338207,0.7232430270519599,0.04216908979907851,0.19947999986564563
0.8940926514885172,0.035000000000002425,0.035738585237064885,0.035168763274425016
0.035407687235902076,0.7904174139768366,0.04160538610854719,0.1325695126787343
0.04077589403315597,0.035000000000258,0.24019001215935915,0.6840340938072222
0.07285833671653244,0.03500000010717803,0.8334730012991148,0.05866866187719795
0.8949998832271069,0.035,0.03500007131530302,0.03500004545757639
0.04868944396593905,0.03500000000001723,0.7821612271951781,0.1341493288388823
0.04869853672024733,0.03500000000001711,0.7822480733162948,0.13405338996345992
0.03679440482425264,0.03581795945425733,0.05604246665835389,0.8713451690631547
0.0610118969440127,0.035,0.6228524631796847,0.28113563987629003
0.0367561380148996,0.6881530815163877,0.08114589705916792,0.19394488340953372
0.0355763115083899,0.7481038140431786,0.0609851990984606,0.15533467534995518
0.03523022205813846,0.7811507001998048,0.04809050474639126,0.13552857299566073
0.03518139549417972,0.7960572960807196,0.04109902108122722,0.12766228734386573
0.035155424892145806,0.7340085795388483,0.050663900419587446,0.1801720951494357
0.06234659153251743,0.03500000000111353,0.6571622697729468,0.24549113869341577
0.035525288946077566,0.7588285144885755,0.05667075771533858,0.14897543885000417
0.039232758009836145,0.3310211915323942,0.23460778685761666,0.3951382636001397
0.07207577701249249,0.035090842570425496,0.38318697557433046,0.5096464048427483
0.03548136259626269,0.7200490721489706,0.0454611412344218,0.1990084240203258
0.03703816958946651,0.035,0.8062359260189547,0.12172590439159434
0.8926669436171607,0.035,0.03714103625385639,0.03519202012900317
0.8845256604835031,0.035,0.045108397359138394,0.03536594215737046
0.03532569109718014,0.7655316415474365,0.0537102489744691,0.1454324183808976
0.803390788939106,0.035379584086813076,0.06737206001186093,0.09385756696224372
0.8949999445952149,0.035,0.035000046696915116,0.035000008707854566
0.058025598295896874,0.09117479443559018,0.34738577304185164,0.5034138342266745
0.05642439468803449,0.03500712037297941,0.2635690214621309,0.6449994634768628
0.03680097225395631,0.035818902944562386,0.05611678492158074,0.8712633398798769
