I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-865.3074582763911,-872.2207191752176,-856.3695516889113,-876.91947064231,-874.9687508170811,-857.7754093032504,-875.9884218304735,-873.8568935631523,C,C,high
-861.466908827833,-869.4598370717201,-861.4458897987873,-867.9141322483482,-866.9958381044213,-860.8746205142079,-867.5248245276246,-866.7337490684062,I,I,high
-864.5720125799777,-874.3443630450885,-858.9310815859985,-885.967455648257,-877.96022836835,-856.6052548681986,-883.9632109829419,-876.1326603570728,H,H,high
-861.7431566626072,-946.3532547494412,-856.0237362447014,-927.7302335305768,-943.1247900160793,-859.7711914656196,-928.6725983866528,-943.9320635440489,C,C,high
-859.6117479352877,-886.7987795460069,-886.6602908049667,-865.3559792435493,-865.8746096341608,-888.1323186278357,-869.2948777973353,-869.603801309294,I,I,high
-860.623113020686,-896.4338172977131,-859.9841887709738,-885.9960036890365,-892.0260153740307,-861.1896392247066,-885.6485311283948,-891.7060677515435,I,I,high
-860.7924480272933,-964.7370280932879,-963.5453610037586,-887.6405363172945,-909.8300162235021,-962.4281109871798,-887.8973581561936,-913.2507034391949,I,I,high
-860.601394940657,-905.3563030137425,-862.3884131554322,-913.5226417008139,-880.1135737339677,-862.8839262850389,-911.1264932273045,-878.0166208026824,I,C,high
-882.0938980323286,-852.5423256303504,-877.0769579661514,-877.3871380132941,-876.9806809765562,-855.9946817680136,-856.604855188511,-855.8287524194499,G,H,high
-865.7837508599738,-938.221295888404,-858.0742870677749,-913.3210673403881,-920.0469861962403,-861.5512440743414,-914.0392557470672,-920.8126118956626,C,C,high
-863.3228275645135,-855.3396911606634,-856.2103739605287,-861.2403563067464,-862.550531930899,-853.5143294863502,-858.4361441085221,-859.7245080229607,H,G,high
-861.6840073927308,-887.3113506021541,-877.7877727829708,-866.8332635241986,-878.0774392809425,-878.2321520377109,-868.635240052438,-879.0568990589403,I,I,high
-863.6399188289249,-862.342348880621,-858.1311593464856,-860.4594427467973,-872.1156524100758,-854.9966545233342,-857.1823991887,-868.6102752522185,H,G,high
-862.3445278321401,-853.1743428972336,-856.9261346003842,-862.0781253697781,-859.1124348916434,-854.4520541744259,-859.067877765003,-856.1627094128513,H,G,high
-865.4764120320982,-998.8724372892166,-876.0306830663643,-977.3131762168522,-949.9636970766672,-883.4336065068483,-979.9564886901484,-951.9314222455806,I,I,high
-862.3632738980626,-911.9161631975466,-904.4208205597764,-886.2597737536128,-870.7007862446613,-905.5440957545725,-888.2619416895607,-870.8658144263469,I,I,high
-863.045443075187,-852.8768196546157,-857.8039661049552,-861.2490143067895,-864.426438264433,-854.7981309306799,-857.8024520314437,-860.549708854848,H,H,high
-861.7733558133287,-900.2727115190954,-889.5749617296639,-884.5287632033101,-871.6969748055985,-889.1207850087906,-885.6446107826043,-871.6574697958165,I,I,high
-864.2559980943545,-930.151490337151,-922.0114188031824,-881.0768926457544,-894.1142441433584,-921.8894431311511,-885.3363259956035,-894.7216949160983,I,I,high
-859.9426125591328,-974.5637904651552,-958.28795874121,-894.5287743453356,-936.7064193804024,-958.4009704200322,-901.6820276166451,-938.2771840683066,I,I,high
