I,G,C,H
0.045480720049716865,0.03500005632445643,0.8233997542849089,0.0961194693409145
0.8932445739290167,0.03500043167129345,0.03619443746991178,0.035560556929796344
0.09124164609486053,0.03500276467950263,0.30365288518140787,0.5701027040442442
0.154393567614191,0.035,0.7675000300686979,0.043106402317101736
0.8949380272123445,0.03500000000000621,0.03506126874844805,0.03500070403919886
0.87836615354789,0.035,0.04980002837734681,0.03683381807475425
0.8949999999894408,0.035,0.0350000000082575,0.03500000000229833
0.8874893214320293,0.03500000000000001,0.041344632803177184,0.036166045764803915
0.03500000009867461,0.8759434417245943,0.03500000125599721,0.05405655692071451
0.07575580397359044,0.035,0.8418238149257256,0.047420381100682064
0.04272967733105097,0.4084899076609092,0.17175634605604015,0.37702406895197776
0.8949030201891578,0.03500000000174695,0.035091810510356716,0.03500516929873052
0.059814730610694825,0.04377377514431786,0.17919112400902362,0.7172203702359623
0.042110953705155496,0.7862778533806632,0.06455332486542109,0.1070578680487422
0.8949998735835949,0.035,0.03500012638837883,0.03500000002801685
0.8949999217553013,0.035,0.03500006622772803,0.035000012016952894
0.03864425629805157,0.7995395451598443,0.053666318021567586,0.10814988052055313
0.8949977040040686,0.035,0.03500194677837607,0.03500034921757725
0.8949999995000986,0.035,0.03500000049674035,0.03500000000316321
0.8949999999998534,0.035,0.035000000000155865,0.035000000000000184
0.04477306473261022,0.40661278260292955,0.2630578083241828,0.28555634434026955
0.03707411978505574,0.8667301426644315,0.04502810396293023,0.05116763358758346
0.8783840244549307,0.035,0.04978259816710987,0.03683337737795251
0.26185021484763316,0.03500000010570299,0.5304349656210507,0.17271481942559916
0.21635024465136599,0.035000000048073486,0.6858461081716113,0.06280364712893041
0.09878829119260879,0.035,0.8311218554498928,0.035089853357517346
0.03516356204588247,0.03972252901215934,0.11133021272536697,0.813783696216614
0.1750505647378915,0.04041445394275687,0.39983212493958414,0.3847028563797544
0.04547536492326312,0.03500005630446293,0.8233643592995612,0.09616021947270445
0.8831466866992483,0.0350000000000001,0.044805913710620836,0.03704739959014684
0.05124374518105773,0.042045819682254605,0.19000430411522215,0.7167061310214463
0.06976715637580702,0.04584712586930391,0.5710831359202453,0.31330258183463977
0.8949999999998534,0.035,0.035000000000155455,0.03500000000000018
0.8949999218064842,0.035,0.035000066186872854,0.035000012006659066
0.09876983132247069,0.035,0.8311403810256558,0.03508978765185413
0.8949999937956682,0.03500000000000024,0.035000006043576254,0.03500000016075508
0.03507107159352956,0.8607556856833115,0.037963054327064386,0.06621018839611009
0.051952612586328065,0.5085993319803918,0.08210888338681034,0.3573391720464642
0.11411412466807806,0.03500000003342418,0.7395506232728677,0.11133525202565336
0.046600871342456524,0.0351422248740001,0.36172103866754646,0.5565358651159864
0.055907015599689525,0.035004347944800555,0.8578786807978084,0.051209955657709354
0.05193165718164157,0.508776197488785,0.08216076366061158,0.35713138166895747
0.5336345499062117,0.03500000000672502,0.38356449543868437,0.04780095464838108
0.08786092020914346,0.5256636083010582,0.0875431644615192,0.2989323070282937
0.05793318048452327,0.05158505297703779,0.21283381795489673,0.6776479485835633
0.8912906826872006,0.03500000000130564,0.03830496614947525,0.03540435116202942
0.06172225489821975,0.035000000000027405,0.8449229741743102,0.058354770927422854
0.8930183577783459,0.035,0.03672290503449008,0.03525873718716234
0.03565347732249894,0.8677976688600764,0.035471617281898876,0.061077236535508034
0.8949999998512909,0.035,0.035000000146743156,0.03500000000196143
0.03501954008620976,0.87274600991192,0.037545018763573544,0.054689431238274556
0.8269654801877028,0.035000000471830044,0.09564752771809937,0.04238699162237544
0.3384581661709377,0.03500000815238869,0.36721397813725154,0.25932784753943494
