I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-787.7538058009687,-796.448341081763,-778.1961374544977,-800.8013973506706,-798.9535497843488,-779.7612403249416,-799.8529075472042,-797.791721098865,C,C,high
-783.6408871063702,-794.175881661965,-784.9443635637932,-791.2962945534109,-790.6093008830318,-784.3039375945064,-790.9801871597739,-790.3527149322097,I,I,high
-786.980401851341,-796.8635750944587,-780.9770826204299,-808.8129588553746,-800.9024209825135,-778.4921078512933,-806.5977410787779,-798.8440062729806,H,H,high
-784.1191151205088,-877.0030839662609,-777.9234537214464,-856.4647441070668,-872.7648163938825,-781.9659818600111,-857.3233344200385,-873.5076463236206,C,C,high
-781.7032024096117,-813.5185059505486,-813.3203475324693,-788.7669296696171,-789.0808558250783,-814.7437306832942,-792.9948322892112,-792.9647518698856,I,I,high
-782.7799419542295,-824.7820185060169,-782.6278129128783,-812.9638108111443,-818.2487616641429,-783.8274994026112,-812.6389509236296,-817.9211929084703,I,I,high
-782.8875700203682,-888.9399843166434,-887.1109608922114,-811.0843764600718,-832.9019374227948,-885.9464007480966,-811.2572516398967,-836.4134274534177,I,I,high
-782.8986610381202,-828.5870522076,-784.6408893252095,-837.0153329773933,-802.7911296861229,-785.103568976962,-834.5332864035321,-800.6101311861153,I,C,high
-805.1896921316685,-774.1627974256537,-799.6228500056186,-799.976864885402,-799.6272375398219,-777.7739732452262,-778.4176251105099,-777.6930544172808,G,H,high
-787.8769756314657,-863.0817707690344,-779.815151557916,-838.001458189158,-844.401637948485,-783.528881310502,-838.5968538930666,-845.071302509682,C,C,high
-785.3729182332019,-776.8338982610493,-777.867455875786,-783.1052502248773,-784.4316065633609,-775.0779158293691,-780.1560943231038,-781.4624042362428,H,G,high
-783.9229952953991,-812.0205703494993,-802.2263439056825,-790.0223683233102,-801.1737227308465,-802.6219593895636,-791.9709334486936,-802.2415057132054,I,I,high
-785.8551431598058,-783.9172051885002,-779.935739533604,-782.4463391409535,-794.1604390820733,-776.5900751889425,-778.9626822294373,-790.4472951052295,H,G,high
-784.4179128513704,-774.7314209016974,-778.713289645376,-784.3385706457524,-781.0087631882201,-776.0753563089328,-781.1267917092337,-777.8642879345605,H,G,high
-788.0852020377571,-931.1674277895069,-800.8844133917258,-904.4335119328556,-881.1277865398126,-809.1302462698479,-907.4115484087782,-883.2404219532971,I,I,high
-784.8522141148421,-838.166143955185,-828.367972660168,-810.247193513427,-796.039202895063,-829.7881716049508,-812.5227764984476,-796.2975634735149,I,I,high
-785.7133881201555,-775.0885819918506,-779.9735386204266,-783.9787999301299,-787.5901192530368,-776.7367473183488,-780.2057592877919,-783.3379604182371,H,H,high
-784.0053179213372,-828.691188225056,-815.7602728941536,-810.9276230661111,-795.0102302091341,-815.2957866361265,-812.3535789342799,-795.1896014463823,I,I,high
-786.4682004171792,-863.3531807812703,-851.4017950060334,-805.8597404331666,-823.146145569817,-851.3901589932083,-810.5119284882121,-823.7937765249338,I,I,high
-782.1900647068327,-904.7752239653164,-885.5612932712097,-817.4736117016719,-867.097826224438,-885.5612064984435,-824.8133585343314,-868.6116473197212,I,I,high
-787.3754593521446,-777.5468321576777,-779.1419075069452,-781.169423642193,-789.2406192045157,-777.1433358343609,-778.3752692868843,-786.3057528360644,H,H,low
-782.5061789133581,-771.9149932607413,-777.6884132689371,-780.8232954665759,-777.6263397889187,-775.5545583696781,-778.7506377059715,-775.8154214765858,G,G,high
-782.7776059597236,-824.792389129619,-782.6264639645422,-812.9671559490495,-818.2600573062077,-783.8254875002227,-812.6426290760363,-817.9324622785567,I,I,high
-781.3194157939437,-804.4884621025224,-776.2274939652708,-799.6978893191024,-803.042145782413,-776.4549188227986,-798.5020182611613,-801.6801991119255,C,C,high
-784.2761137513118,-802.5241239896317,-778.696050764417,-804.9017115058087,-797.3350742375545,-780.8800411957804,-803.6951998708522,-796.0547844638838,C,C,high
-787.428075476978,-902.9123219375438,-780.1234008197275,-1009.1470290217346,-1014.6991037504984,-790.5308330970927,-1011.1223247356129,-1017.0238208496971,C,C,high
-792.8378840337193,-785.6745526706004,-780.8771070920263,-787.0261827957692,-794.0008391205317,-776.3320897456646,-782.3302583039451,-789.1152151152752,H,H,high
-780.6684777281681,-782.0968484493029,-775.4716698901568,-787.7778366228137,-780.135751112723,-773.917300200807,-786.0093818027784,-778.5110140376914,H,H,low
-787.7542399862864,-796.4499210018763,-778.1961788586366,-800.8030059543353,-798.9547893605738,-779.7608147597464,-799.8545146008087,-797.7930024625146,C,C,high
-782.8938424416953,-828.5891838951917,-784.6384957003437,-837.0185919581334,-802.787166012046,-785.101869647646,-834.5364791846351,-800.6062994164356,I,I,high
-785.5275277852757,-780.974386334587,-778.6884345945216,-792.5129173033322,-792.3388544136758,-775.1234922598633,-788.8636881273868,-788.7468168825058,H,G,high
-788.9777272852514,-784.2409065834089,-781.67990077275,-786.7883404712295,-791.8038942315642,-780.4949995146079,-784.3445091122718,-789.1716011074013,C,H,high
-782.188899926738,-904.7809086912853,-885.5652767216276,-817.4751196672607,-867.1001893952891,-885.5654576960344,-824.8159023370383,-868.614734434505,I,I,high
-784.8530013573495,-838.1705188494586,-828.3721811129797,-810.2487493876845,-796.0402837475067,-829.7927476190807,-812.5246261366415,-796.2986069072111,I,I,high
-787.4351086589321,-902.8800871999924,-780.1301763317832,-1009.0741974247911,-1014.6245548544432,-790.5370899232787,-1011.048587646492,-1016.9483495252058,C,C,high
-782.1421147231802,-817.2469057892894,-802.0902954487598,-811.5265651992619,-799.2460246130394,-802.856282280797,-810.6542946203529,-803.042460902596,I,I,high
