C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-927.0249669630005,-967.0366267847174,-954.4128920830511,-929.9465916441469,-966.6120533044101,-954.7165478862634,0.00,H,low
-923.974541462726,-939.3563477855229,-940.501606607842,-924.0803838479102,-937.8729833389293,-939.059391573477,0.00,C,high
-926.5071435834822,-959.921770723508,-972.6563640652797,-926.9354310065032,-960.4647733824181,-972.4762049139623,0.00,H,low
-923.1508053284975,-960.750380647017,-985.942771058283,-924.2562706046883,-961.1233931826104,-985.7976465344028,0.00,C,low
-923.5655293884301,-936.474066925327,-929.5495178503942,-923.2355364792681,-935.5001677697036,-928.8638503653264,0.00,H,low
-923.8923066269091,-928.8769380914804,-927.6692680088632,-923.5316353777189,-927.79827935212,-926.456085923978,0.00,H,low
-926.7237406260703,-937.4860446283833,-938.2068112191811,-924.7165410992262,-934.4308935144903,-935.1461356087503,0.20,H,high
-925.130693968117,-929.974814129731,-925.9987617696933,-923.2641801880036,-927.7134660332617,-923.6142038890579,0.75,H,high
-927.1231095118815,-933.5477408669312,-942.3703649887952,-924.8470833752102,-930.0798717245782,-938.6380711700891,0.55,H,low
-925.3555541636305,-971.5591857048097,-973.9126655206655,-928.0444656845432,-971.1093212381218,-973.250802917298,0.35,C,high
-925.3716777512136,-948.3631283526465,-942.6695442543768,-923.3358305031941,-945.533027717704,-939.943304354861,0.75,H,high
-927.2471830620909,-949.9824787646768,-947.8752800954237,-927.7140467908762,-948.4491182016721,-946.6193472389925,0.20,C,low
-924.158511844478,-933.257118721953,-929.8576460776419,-924.8897902643849,-932.2373720577096,-929.1230650056212,0.00,C,low
-936.581953883983,-939.7036053459769,-939.2752960947281,-930.7474945503524,-933.2572616606243,-932.6957407115018,0.75,H,high
-923.7704429619954,-940.7777676667292,-956.2791357148583,-924.2548910515093,-939.5894549433102,-954.9407230307037,0.35,C,high
-929.3499500499304,-1064.9047606434358,-1070.8040424688709,-933.7325118857414,-1064.4002153948811,-1069.8062402819785,0.00,C,high
-923.9998091782352,-924.1169013725306,-925.2270530572579,-922.7145027783856,-922.671339592784,-923.6977523151278,0.55,H,low
-925.148161109515,-928.5800203435838,-925.3288437900309,-923.2494714095805,-926.4125890041655,-923.1944648930963,0.55,H,low
-927.3964727987366,-961.650067984888,-949.0728763897758,-925.9803021214844,-959.9238086632986,-948.1178582951226,0.35,C,high
-927.8036795091386,-927.8078867927809,-929.2758629770416,-924.6956298185901,-924.8667266695297,-926.2756982695258,0.75,H,high
-928.8244875292447,-950.756053776083,-960.1422789905097,-927.3646892859787,-948.2865953474189,-957.5845498653731,0.75,H,low
-925.9674339178124,-936.5558753913798,-938.6490925529358,-924.7690381452857,-934.1449721774326,-936.4198500774315,0.55,H,low
-928.9087851769351,-1036.8669860885518,-1034.844341614946,-934.4636132067818,-1035.880605395348,-1033.5342397976144,0.20,H,low
-927.0594889738193,-933.1450494293973,-931.0190985247632,-924.0725373640639,-929.6088902394675,-927.537648924491,0.20,C,low
-924.3583970293072,-926.7173437669726,-935.0158169865977,-923.3564659768125,-925.2637911787432,-933.4297067458615,0.55,C,low
-924.1087180430095,-925.19466957792,-929.3968102964925,-923.519120121911,-924.0151885392838,-928.3160917010317,0.00,H,low
-926.51999227409,-963.7818812309525,-960.9608064782125,-929.4243496265909,-962.6563297756924,-960.3860528313432,0.00,C,low
-923.9437166775613,-930.259224845806,-932.3409091364118,-923.3864593900416,-929.0953350670871,-931.1856290313311,0.35,H,low
-928.0997818734962,-960.8597301105236,-952.6359438049939,-929.2913627344782,-959.621637610354,-952.3620501674567,0.00,C,low
-924.486601146906,-930.6597518225007,-934.4303382392444,-923.18779070469,-928.9820029625752,-932.6404309672413,0.75,C,high
-924.0650326018134,-924.9201176081015,-932.0501819141458,-922.4044353786585,-922.9421793823135,-930.0144506273283,0.20,H,low
-924.4970190765039,-939.1166368366538,-962.4548465989988,-923.5330995820124,-938.6800227842983,-961.3692922440453,0.35,H,low
-925.2639116101194,-943.9372290752018,-959.3621805777672,-926.5993939654467,-942.8193086812331,-957.8288944098899,0.20,C,high
-923.8067420230642,-962.9321529698293,-948.4335135045402,-924.3370515334718,-961.6084598876646,-947.7576065774111,0.35,C,high
-924.8822275746536,-973.9814258630317,-964.3152758114796,-922.9447744715194,-972.8552790378158,-963.4092908082802,0.75,C,low
-925.7359390989484,-990.6111446971705,-1000.1655851860221,-927.5281466779414,-991.3867439042486,-1000.4795971719212,0.55,H,low
-926.7974022070008,-972.6459688136632,-950.954896817891,-925.4846029010582,-969.3287912467082,-947.8469505056804,0.35,C,high
-926.425243788833,-928.4880629173904,-928.953417621045,-924.2818647074923,-925.8547972463105,-926.2599186400386,0.75,H,low
-925.6121788523617,-943.5014113516727,-934.4109723871843,-924.5592141523282,-941.8679595701376,-933.1170159998385,0.35,C,high
-926.4541003745327,-983.1501447153489,-975.9149633550247,-928.6788722523561,-982.0960978589045,-974.9084822606229,0.20,C,high
-927.6543320871945,-991.9153292301165,-1009.652668628121,-925.4026451304902,-989.8710413157764,-1007.2876575029303,0.55,C,high
-924.3267309121095,-934.6069380571441,-931.67954793888,-923.9048699931259,-933.2707936786019,-930.6001352202545,0.20,C,low
-925.218781307836,-945.688551370502,-941.2353493714411,-925.4459509315315,-944.5676845440612,-940.187305683353,0.00,C,low
-925.7817205583494,-1000.791248489858,-978.0352277548951,-929.8983144549645,-1000.1721021269324,-977.9588813180023,0.35,H,low
-925.1934871912323,-933.1959889162689,-931.144100244301,-924.681163356139,-932.4872481625068,-930.6188977490946,0.55,H,low
-925.7802267175873,-978.4192970903467,-961.3199906160639,-927.0779071772466,-978.3141943607916,-961.733984066886,0.35,H,low
-927.2014600382412,-931.8885226499794,-930.8221901122556,-924.2452008864914,-928.6141966068083,-927.7109051984971,0.75,H,low
-925.8450555887867,-937.4922132555562,-949.8098485485535,-924.8286632971963,-935.2195948225789,-947.3413779852489,0.35,C,high
-926.4519098014736,-942.9098252301626,-948.5366807609741,-926.386177022776,-942.9685464469425,-948.6945676650541,0.35,C,high
-926.8796655150837,-931.9830237949051,-930.5360999685807,-925.0208946014158,-929.5437249834712,-928.158124759697,0.55,H,high
-924.3274098120461,-945.3691145166813,-955.5711316071621,-924.5085436815162,-944.4728779659757,-954.278174272678,0.35,C,low
-928.6817963979385,-959.5502680396877,-956.6707192077946,-922.8442679226672,-955.92770611898,-952.9489132391155,0.75,H,high
-929.9504660984134,-940.5775431617564,-952.2824686234418,-927.0290987258142,-937.4990316704813,-949.1245489215801,0.75,C,low
-925.1741019312653,-927.4622041822149,-930.199199529956,-923.6130988025066,-926.113697828965,-928.8827066631646,0.55,C,low
-925.4573444391717,-944.3892163456969,-941.4337132681427,-925.4009401988801,-943.0447970303912,-940.1121354438426,0.20,C,low
-925.3324692885612,-925.5553399739271,-926.0178481820312,-922.9835122170285,-923.3458526464655,-923.7213902980614,0.55,H,low
-924.0750477724041,-970.6593805568291,-984.2284852618026,-924.5163074297961,-969.7071859656855,-983.0712301493978,0.20,C,high
-925.9872685836046,-929.3896949915745,-936.1106394710678,-923.1330152713889,-927.2235271361369,-933.2924644041699,0.35,C,low
-926.5077911770754,-975.0120360522635,-989.1953968462965,-925.2419070713449,-974.0441400378434,-987.8339252235531,0.35,C,high
-925.0946491442563,-953.7583516165797,-966.4468379278239,-926.5995979158048,-953.038400051683,-965.5153887808992,0.00,C,low
-925.0727256497048,-946.1994039445942,-946.9683954510369,-925.8829954466977,-945.3291885511605,-946.2085135291792,0.35,C,low
-927.6304716681262,-945.3649738550611,-938.3934516776039,-927.0720509126304,-943.4226697853538,-936.5209198234465,0.35,C,low
-925.8534570805344,-952.5936972153382,-941.2553722603727,-927.8711580028289,-951.5488975539149,-940.1345055383762,0.20,H,low
-926.5117279937205,-942.681419302558,-941.6356819363896,-925.4442846927767,-940.5075096362684,-939.6068351911686,0.20,C,high
-927.3263513906902,-968.5090050502256,-966.9597933207621,-928.1955715522407,-966.6905610921334,-965.318871574434,0.20,C,high
-925.2459666136696,-931.4936813944756,-926.6949848538711,-922.2941430640846,-928.8965107832065,-924.2896611520185,0.55,H,low
-925.9699429188795,-933.3622364195112,-938.5244741546885,-924.2109879956625,-931.3018699624828,-936.2737281378055,0.55,C,high
-926.0097425646662,-984.6478693736115,-963.4291748279605,-924.4301338826715,-982.9484249370718,-962.3119683774047,0.55,H,low
-924.3169487777942,-975.8508131659436,-987.3271298394267,-927.5811077028881,-977.5222714259866,-988.720880018354,0.00,H,low
-924.4775140103815,-933.2633080997241,-929.9637555946596,-922.7320585153378,-931.4196612834094,-928.2629498713737,0.75,H,low
-928.3882939007469,-937.3595470226455,-944.6063799444066,-929.6484432224834,-936.1546118238854,-942.6956844253644,0.35,C,high
-925.1027116588875,-938.4177235955417,-938.1448985388458,-924.127946382904,-936.2225819645239,-935.9946915716945,0.55,C,low
-926.2516695126681,-934.3621236172471,-942.7219334140923,-924.7307393866747,-932.5723305668957,-940.5794534328054,0.55,H,low
-926.9697617499123,-951.4133356017786,-954.8201497925246,-925.2262520344274,-949.033951686612,-952.3405619392782,0.75,C,high
-925.0012395128356,-934.6511859477614,-931.5523337162518,-923.5118757388459,-932.6655081914311,-929.3986783091418,0.75,C,high
-924.3171394734999,-940.3280354013655,-944.3627370065255,-925.2979703725933,-939.7957338937869,-943.5380659092344,0.00,H,low
-924.3876984766246,-944.4413100386099,-966.9558469340947,-925.0618720277091,-943.023075400181,-965.0958963885735,0.20,C,low
-923.3555411011032,-927.3725836711588,-927.6747694583878,-922.3635916734158,-925.8676270743049,-926.2273981294667,0.75,C,low
-926.132596648143,-938.6589725162718,-950.1857796243077,-926.849008599314,-939.3383233613457,-949.928355338988,0.20,H,high
-925.3496485134743,-966.2426306614332,-969.3415463358943,-926.8948419515292,-964.7454010487045,-968.1641962837833,0.55,C,high
-926.2374724865972,-931.870363129736,-944.955282199315,-924.8399155118019,-930.0331202707056,-942.6202512684121,0.55,C,high
-929.1668470337016,-930.3557474929436,-929.5971955052552,-924.969416237887,-925.9892861865312,-925.3331513181048,0.55,H,high
-926.9551939036063,-945.1434879121371,-936.7524096367753,-925.4088461581176,-942.7373845605574,-934.7090188312251,0.35,H,high
-924.8312174311927,-967.6965968450437,-949.5098427906621,-926.0666898894765,-967.233207799107,-949.5396116924028,0.20,H,high
-928.743174979288,-1007.8349633628276,-1034.3622780393014,-934.919255622385,-1006.9878883179044,-1032.948066962583,0.00,C,high
-923.9488026120489,-984.7482292165733,-988.1891864183518,-925.8354946043082,-984.7748416827179,-988.3899650268885,0.00,C,low
-926.5487699306262,-954.6141275723339,-942.762138480172,-927.186591072416,-953.0099668137524,-941.622305804634,0.00,C,high
-924.104165227811,-925.377331793843,-926.6599217619157,-922.5175732224637,-923.7297545834274,-924.9700562519284,0.00,H,low
-928.0387355956806,-1161.5560809754677,-1141.5332450384035,-937.0812475147075,-1164.791328826314,-1145.722194448617,0.20,H,high
-931.6391924820075,-939.31141149298,-937.7211924139797,-927.5080444389241,-934.5647711295799,-933.1534225918178,0.75,H,low
-925.6200184929602,-933.5938518047242,-933.6472441702056,-926.6820475816226,-932.909072110525,-932.6383470912995,0.00,H,low
-928.4637694508444,-931.5392047877563,-934.9942434698227,-924.0403984676303,-926.4220847247631,-929.7744565851247,0.75,H,low
-925.4047636427874,-987.7206396043983,-974.5822561374122,-927.4258430158256,-986.3341657817518,-973.2706684727078,0.20,C,high
-926.6715800798893,-940.431722533144,-934.1646282270824,-924.7437742718047,-937.668483960139,-931.5729881167998,0.55,C,low
-925.9728095601496,-938.9998103920906,-937.8031589404329,-926.5626011704607,-937.0917066187253,-935.9119293200389,0.20,C,low
-926.5001503907458,-1003.0254403277002,-995.1662552033663,-929.114138066563,-1001.9526021169386,-994.4847229395139,0.20,C,high
-924.4448729646334,-928.9091128770489,-926.7516340450346,-923.7320786245579,-927.2502679122413,-925.193303357992,0.35,C,low
-926.8916137264091,-937.5472881468775,-933.3654834906386,-924.3972123252163,-934.7155190068343,-930.8401828196403,0.75,H,low
-925.5784336673036,-949.290790967973,-944.5492046123693,-924.2018015379494,-946.8464598013468,-942.3554663993148,0.75,H,low
-923.8719732418899,-949.0864753343742,-941.1464404309509,-922.9423297492591,-948.2081309061299,-940.4306838558023,0.75,C,low
