C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-691.2885249293489,-752.2505168419323,-733.780093002114,-694.7560164739862,-751.8894510478651,-734.0188903567216,0.00,H,low
-686.4696189436917,-709.4426553846997,-709.0140594831172,-686.7052835408995,-707.6419704897356,-707.2731489016345,0.00,C,high
-689.9696806716427,-741.5004135466124,-759.1217618396798,-690.1761696493179,-741.8098596698215,-758.7594047888133,0.00,H,low
-685.7067796295829,-727.185089538268,-753.7963569656257,-687.2561050450523,-727.5044072748618,-753.6039743445612,0.00,C,low
-686.2409028559543,-701.7304480425088,-694.8281799011888,-686.2921711871007,-700.5726048849929,-694.0161293749254,0.00,H,low
-686.3393299626636,-693.3285608002442,-693.4788003944984,-686.0924918967102,-691.8677026143157,-691.8121430094291,0.00,H,low
-689.5102626511898,-705.8354056377432,-707.015544342815,-687.0421883755619,-702.2592494266097,-703.4095291041631,0.20,H,high
-687.8937307174716,-693.0876030359491,-689.1050263340733,-685.5253275559394,-690.3064951642673,-686.1179217291208,0.75,H,high
-689.770849829813,-701.5550006649805,-712.9001232339014,-687.431299152409,-697.5987462116503,-708.7191455296663,0.55,H,low
-688.2035997783418,-750.82448687012,-754.1052809857645,-691.0323963183547,-750.0598743630607,-753.0821241002224,0.35,C,high
-687.8248534414912,-717.7804106605208,-709.9825231269164,-685.477233520687,-714.5854316436346,-706.9197945524562,0.75,H,high
-690.5942663924967,-727.5589648215575,-724.0586700438321,-691.1888651307473,-725.6752178234925,-722.5467609348041,0.20,C,low
-686.7072493604757,-704.2366154849044,-698.9491326979735,-688.0018144887534,-702.9998928661488,-698.1054525489891,0.00,C,low
-699.9935311251019,-703.6200669789215,-704.258267881981,-693.3655108419364,-696.2492029344796,-696.6654746084854,0.75,H,high
-686.0705089928691,-707.1070378904385,-725.6977562290575,-686.3628169572517,-705.5812425320554,-724.0221473107464,0.35,C,high
-692.7596926364859,-846.2390901684313,-851.3997511691791,-698.2032420387446,-845.6259268354281,-850.3171159882842,0.00,C,high
-687.0473060880428,-687.7995893094952,-689.0966034657707,-685.5727865221791,-685.9310872208205,-687.1001764876883,0.55,H,low
-688.5003701984914,-693.0784571911732,-688.9267042249744,-685.9473882696473,-690.0763802284267,-685.9725332819144,0.55,H,low
-690.6383580963567,-727.9420091902722,-714.5514672118104,-689.3492769388595,-725.8232197697046,-713.1794736162446,0.35,C,high
-691.0825722349219,-691.6781244622047,-693.3468993498223,-687.3311135701684,-688.0085642040987,-689.6277624220539,0.75,H,high
-692.5139626852269,-720.5206182669647,-729.2962856639249,-690.8757956113127,-717.142370917153,-725.9021082203941,0.75,H,low
-688.9032902180179,-702.6856659425463,-703.9923936984344,-687.3398716746489,-699.5155822219789,-701.0535991711887,0.55,H,low
-692.2307789479869,-820.9363510012554,-823.0264465919843,-697.8903315287426,-819.5044756937788,-821.2997464887959,0.20,H,low
-689.7167627190166,-697.3428347106383,-695.0552026131696,-686.6409541416423,-693.4721672561176,-691.2360914505786,0.20,C,low
-686.7347531731152,-691.3338116493944,-699.3259338998625,-685.446981407278,-689.546236387463,-697.3894647119488,0.55,C,low
-686.8060743578202,-689.8161997427884,-694.8727027139904,-686.4082809457868,-688.4769587977556,-693.6090035323622,0.00,H,low
-689.3222267843788,-748.9602455690707,-743.3228652726148,-692.5948316201742,-747.4935488754495,-742.4732782414827,0.00,C,low
-686.6406144123684,-697.4844579458353,-698.6481778791032,-686.2817895869333,-696.0640094401904,-697.2626326171019,0.35,H,low
-691.4833378041608,-748.3021885453609,-732.1318544331453,-692.7840418328445,-746.7061095541455,-731.7392335647787,0.00,C,low
-687.5457049512485,-694.5871513271507,-698.5487349457868,-685.7991081869061,-692.1415572816142,-695.9971846009054,0.75,C,high
-686.4883020047545,-688.0536074488384,-695.972580038649,-684.361561121855,-685.5241540152322,-693.4020665236476,0.20,H,low
-687.5085300684478,-704.6577022900585,-732.1743506154174,-686.5470816356521,-703.7235323848563,-730.5077416831681,0.35,H,low
-687.821046135037,-715.2548278587107,-731.8643135049251,-690.51113184708,-714.2356413002791,-730.3346988252348,0.20,C,high
