C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-182.43253017165696,-245.60246457751256,-245.85276130806193,-180.79229134709382,-240.87632743876983,-241.078314897693,0.55,H,low
-184.54841775037644,-299.9549094672232,-330.7056307560211,-182.8376780935584,-298.7921401460745,-329.02680447581673,0.35,C,high
-181.83231223685425,-322.9598943863101,-300.41339419315227,-185.8736013909697,-320.5158005254294,-298.51062199489286,0.35,C,high
-178.8016089518294,-193.6322060200275,-195.72987287214343,-177.70614057007612,-190.92702280480964,-193.1604245821211,0.20,C,high
-185.71471625675954,-248.82991562662187,-247.26038602620613,-185.43687165989073,-244.82183036034357,-243.31777018201802,0.55,C,high
-183.35263840931196,-198.98184953506887,-196.83576321294126,-180.13242647980493,-194.42408068450172,-192.41848132193667,0.35,H,high
-182.59729488885284,-247.0281996233215,-286.25635353360167,-181.91108268110963,-245.37819019106195,-283.23231182878766,0.35,C,high
-181.1568722364708,-207.56277808607132,-206.6320463544717,-180.53154834880667,-204.52051863758427,-203.72129666055238,0.20,H,high
-180.71070311787497,-240.07254715826932,-221.12127954746214,-175.68907955159207,-237.33234112517047,-218.73131419714164,0.75,H,low
-178.9967797668737,-221.7740544972983,-212.85006254422925,-177.66331847991393,-218.8188403211936,-210.60739118566528,0.35,H,high
-179.7693104331912,-195.08378375043003,-194.52398719022247,-176.98293628158333,-190.7372714440598,-190.1860199188293,0.55,H,high
-179.71053529522146,-318.1140398484656,-332.3841410719347,-186.09932806082713,-318.30445811665794,-331.62720470408726,0.20,C,low
-182.31230098156595,-314.79937338349015,-322.3218505677056,-184.08224114225803,-313.4028649384817,-320.98424979383526,0.35,C,high
-180.75805574612065,-192.920297256187,-196.90683463421414,-177.860765902241,-187.89358213342226,-191.90341555183036,0.75,H,high
-183.7901684264386,-192.11965476175195,-197.7960259975399,-179.94750956258179,-186.79337818284256,-192.45529612104136,0.55,C,low
-187.5029912831078,-304.9762178637284,-296.9256128079493,-186.98929701847595,-302.14705471094294,-294.0691517115461,0.55,C,high
-180.29932510319662,-242.88900813135507,-249.75782511703207,-179.48038871832298,-240.65058848896192,-247.4079395088159,0.00,C,high
-183.28355139592975,-245.77793129215726,-265.4092432028837,-184.74012989873086,-242.6116786737199,-261.3575835666114,0.55,C,high
-182.295733929751,-219.57418926052085,-216.99078345583519,-179.58769453556408,-215.15927801211149,-212.56867428368693,0.55,C,high
