C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-451.7503193941565,-678.5174688704033,-740.347899575803,-457.39707297542367,-683.5665042360216,-743.6916014484716,0.00,C,low
-455.43595196164455,-526.9394647477776,-526.4156313989811,-466.38430170699905,-529.4414397339943,-528.12266632375,0.00,C,low
-451.0484558645512,-458.25724985266874,-466.48444188386276,-448.155832692339,-455.86900914123345,-463.8021274849242,0.75,H,high
-454.183071593073,-498.3145251390882,-502.9434074398863,-456.1045086613059,-497.1375323845536,-501.9091413751535,0.00,H,high
-452.31328303089384,-507.11293703753773,-500.491311097829,-452.9749559981888,-504.7119960794706,-498.19484024033767,0.20,C,low
-452.01858772808623,-491.30323337438006,-468.60946046904894,-448.8992077242735,-488.2751627553637,-465.90632633080605,0.55,H,low
-453.87792563249167,-522.6451578107311,-513.8850201842531,-455.372466375082,-520.1534883136436,-511.8981211425213,0.20,C,high
-454.7729565401633,-494.7990466921536,-492.05102137911405,-459.1611155516489,-493.0737400817924,-490.2031942269403,0.20,C,low
-450.8066679128147,-463.0215723234843,-456.98960459621225,-449.7393965366258,-460.8400704830571,-455.1732377612146,0.00,H,high
-449.01765455805474,-495.7334175960574,-489.30725362518587,-446.7751867108801,-494.1261954270429,-487.7693054789143,0.55,C,high
-451.24681592911134,-460.1466814492677,-463.09092187303156,-448.4936696782199,-456.7347412629167,-459.57304634424094,0.55,H,high
-453.38628804646123,-531.9488501668164,-542.0725962525485,-453.8152658713171,-531.8241866373485,-541.7979509627282,0.35,C,high
-453.51672117890695,-506.93425654857805,-496.7532053606333,-454.83192458245065,-504.56426298627014,-494.97213519160977,0.55,C,low
-453.06083150345347,-586.2908527683298,-584.0720283046722,-454.2359134469775,-583.9706454672441,-582.118798953102,0.75,C,high
-454.0181934046649,-716.337479760622,-698.3234334295778,-466.2539445900151,-717.2084717214121,-699.6848130861595,0.00,H,low
-453.3269298968499,-553.7999306369722,-550.1010284739956,-455.70250548681923,-551.5466797982243,-547.6645485559293,0.55,C,high
-450.9886975980611,-472.1124598573136,-473.48127566045525,-453.81985462552507,-471.3942900903369,-472.5723117300828,0.00,H,low
-449.8633984090673,-455.44408970300157,-455.17968016159875,-447.82125543264107,-452.51973070594374,-452.24305905237617,0.75,H,high
-450.8803672865068,-492.56198336053586,-494.8171704731498,-453.29096522655266,-491.6110727206657,-493.95043738514835,0.20,C,high
-451.21183649406396,-493.6712839831037,-478.23694133396623,-451.53572149888294,-492.05094656357505,-477.3323974851264,0.20,C,low
-450.78947776605867,-463.5347787696558,-460.4036605842291,-447.9235013904258,-460.45836039013284,-457.26253510226195,0.75,C,low
-450.8249782656801,-482.3518290864039,-472.2435002716903,-449.8986148868253,-479.5992380036482,-469.7237241969777,0.35,H,high
-456.9946660416277,-513.8860110736673,-523.4803370830869,-458.6819626224317,-511.7371023443738,-521.0537436520104,0.20,C,low
-452.73076416803247,-474.0802796367152,-458.23307515197314,-449.2039175142504,-470.3741923000021,-454.7905525195119,0.55,H,high
-449.9629080923456,-483.4408018203952,-470.9829820167756,-449.1720986671099,-481.2060471436118,-469.0887483399138,0.75,C,low
-455.92006577096316,-502.21487143790443,-502.95683307059176,-462.38098466562946,-501.42967436513834,-502.06712223630205,0.00,C,low
-453.9437799122143,-500.2007552629382,-501.54273130786356,-453.2354370836426,-496.87376467341403,-498.08514781941295,0.55,C,high
-452.92290874667304,-494.5734741269008,-507.1380867586049,-452.86782216068985,-493.75457561147044,-505.5752196821788,0.35,H,high
