C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1224.9593155390405,-1282.3922748610014,-1303.9998676695193,-1229.9886558862763,-1282.121911638297,-1304.2885330277575,0.00,C,low
-1227.771569998403,-1239.3017076355832,-1241.3665957197452,-1232.5445119095964,-1241.164104427404,-1243.0721472724672,0.00,C,low
-1225.585356270824,-1227.9142513967493,-1232.945955502482,-1223.6744240102576,-1226.5630785670255,-1231.4063107617185,0.75,H,high
-1226.7424388605275,-1233.5425144586936,-1239.921220925036,-1227.4518219400225,-1233.2146485144688,-1239.4542001196605,0.00,H,high
-1225.8339883839074,-1244.5906614142946,-1247.116796859427,-1226.5874854349315,-1243.1737213599818,-1245.8644689396692,0.20,C,low
-1225.8243761198194,-1252.1108766601265,-1238.223507498903,-1224.7399861431363,-1251.1123965033003,-1237.4457380076021,0.55,H,low
-1227.3497602435755,-1240.4969859139562,-1251.7006153441446,-1228.144538257207,-1239.3522218671712,-1250.882381951753,0.20,C,high
-1226.9381671588692,-1241.8298341552513,-1240.7435095099822,-1227.7016540548602,-1241.0840099980144,-1239.9166756511584,0.20,C,low
-1225.489458037835,-1225.7912441961155,-1225.2273788437194,-1224.8621515406555,-1224.764970677453,-1224.2928049089192,0.00,H,high
-1224.4508342860092,-1260.5657729139184,-1255.8152646967749,-1223.4868748176102,-1260.1179887744302,-1255.6129102915643,0.55,C,high
-1225.829139976044,-1226.6501949784154,-1227.6434756918713,-1223.888497464589,-1224.5772550816355,-1225.3948709252377,0.55,H,high
-1225.5648218422377,-1282.9466359631667,-1287.508453984911,-1226.3380519325995,-1283.5040276438676,-1288.3947666183612,0.35,C,high
-1226.2544343845134,-1238.87243439291,-1240.0772363532503,-1227.2968964255856,-1237.8543042573594,-1239.362715479369,0.55,C,low
-1227.7603617666095,-1309.878693183625,-1311.1598466312682,-1228.9977740237637,-1308.1104719968118,-1310.0062146921778,0.75,C,high
-1228.9262866866782,-1298.0785194281925,-1291.4315340589885,-1239.234730159039,-1277.9848287189225,-1287.4854923922328,0.00,H,low
-1226.8730941071803,-1301.0422143050469,-1296.6214536586397,-1229.4707387241883,-1300.748014640694,-1296.2241329826547,0.55,C,high
-1224.5088073927188,-1234.2699459056576,-1235.180144979157,-1224.969524454383,-1233.704220519956,-1234.594921740351,0.00,H,low
-1224.2610446531246,-1226.056108865635,-1226.0209830281867,-1223.0669543488966,-1224.6412378210064,-1224.610956428743,0.75,H,high
-1225.2564690639306,-1236.9047083117919,-1235.2254141266924,-1225.3185548552592,-1235.7463091068596,-1234.117422541318,0.20,C,high
-1225.2749553715646,-1233.855580429723,-1230.392316184683,-1225.1287435567858,-1233.0382746989958,-1230.0663977186694,0.20,C,low
-1226.0959354876277,-1232.370816586783,-1230.190766272986,-1224.0071523111458,-1230.68214064628,-1228.4146307547708,0.75,C,low
-1225.2328286136903,-1245.6449662175162,-1238.836414095389,-1224.9898541912855,-1244.2286188011942,-1237.6646104111446,0.35,H,high
-1230.0780041054122,-1255.13870166937,-1259.4180629985021,-1230.4316193660316,-1253.8308586132262,-1257.8856085024966,0.20,C,low
-1226.09707376066,-1237.0752422553378,-1228.6677134815927,-1224.3295946668568,-1235.197317294945,-1227.0689206946533,0.55,H,high
-1224.3719609461164,-1233.2913822679566,-1229.4848343562855,-1224.317080359428,-1232.333575966888,-1228.8444719604386,0.75,C,low
-1227.4267853969088,-1236.097932084007,-1235.9145073460518,-1227.4774905663085,-1234.9133909080263,-1234.7303316476875,0.00,C,low
-1226.8221348490692,-1238.9046463991576,-1238.1769393319948,-1227.065877142459,-1237.3989661406895,-1236.6154009628965,0.55,C,high
-1224.5676884951324,-1242.2480409580508,-1245.6717667892788,-1224.1387997430534,-1242.2074021664062,-1245.222397012592,0.35,H,high
-1229.47877133426,-1236.3254050938237,-1235.9793290519829,-1226.512754776377,-1233.6340591957264,-1233.3419227980808,0.75,H,high
-1226.8456057310698,-1257.8847294600578,-1238.814195741294,-1225.5934034058619,-1256.1876785096113,-1237.6265514448821,0.35,C,high
-1226.4847947529627,-1259.369680536745,-1285.4489003038366,-1229.8647174199707,-1266.9957025521744,-1286.706763000202,0.00,C,low
-1225.7202142145259,-1279.8051346974303,-1287.8396891298498,-1228.657874415818,-1282.6793280029067,-1290.7094398269628,0.20,C,low
