I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-693.3425846565718,-680.2217911053325,-686.7036558615807,-687.1893807796,-689.981346028071,-684.0862450438391,-684.5047444671046,-687.3530567135068,G,G,high
-693.301162670482,-722.9381610671406,-687.4323340525633,-723.4275760716297,-717.1938802058745,-687.3161641901107,-721.7143970743326,-715.4371403832773,H,C,high
-697.148216899628,-742.4444783799945,-689.9290132260354,-729.9500035874863,-737.2145313279855,-696.1326768078036,-730.3930087379437,-736.8861754816024,C,H,high
-699.0070075016572,-683.1664282519989,-690.9860229000959,-690.1710705321349,-689.9562341236948,-686.8594393130824,-686.0376236868038,-685.9052961203136,G,G,high
-701.7287977170447,-884.5826465031882,-785.044122358596,-865.0047787833767,-725.8366040967297,-791.8685272732612,-865.7933467411196,-738.0140516565281,I,I,high
-696.1285529331784,-680.8309614247305,-689.4708055712887,-689.6550876317757,-689.6919061191757,-685.7116982747268,-685.8334342527365,-686.0706648029096,G,G,high
-694.8254583350823,-719.315417076665,-698.1812820368532,-719.2339193334254,-710.9903287329013,-697.3516443492373,-719.0580821254975,-709.8456835281436,I,C,low
-693.5563534077556,-715.6952692237365,-700.1231053722975,-704.5973740609635,-709.7638125747916,-700.2463031917158,-703.3434523825448,-708.3984041576152,I,I,low
-694.3752161685582,-844.4817938537211,-738.6682927480317,-807.0973055307459,-790.8350088800387,-745.1426873728866,-809.3296687118493,-796.6245647408592,I,I,high
-699.3434096835929,-682.8453722880677,-691.2673280738795,-692.431877329733,-692.6763011883086,-686.8535217553316,-687.8685148000924,-688.3382764241737,G,G,high
-692.9685236039325,-706.7317315424693,-693.4892005232582,-724.6514797154499,-698.264446231781,-692.0317064593547,-721.223026435658,-695.6820420872157,I,H,low
-704.899042887141,-684.9343918414221,-695.9533544380329,-696.1868781513747,-696.0710606721798,-689.3197827171275,-689.5475694019175,-689.4190101497077,G,G,low
-692.4083478481132,-712.5747150473661,-686.4626825970468,-706.6469108604551,-711.9628679827287,-686.3396700773674,-705.5569470121188,-710.4027395919267,C,H,low
-691.5000221769735,-680.8870884193444,-686.7310297970661,-686.9353597438882,-688.3709800204001,-683.9553135004196,-684.1960580796324,-685.5716408900068,G,G,high
-703.667864772359,-683.3203645644953,-692.5005391832726,-691.733951809013,-693.366249057044,-686.9435034107503,-686.4889649247242,-688.0202241817624,G,G,low
-698.5045866712173,-821.3389980017357,-690.6650473872321,-813.477723043955,-788.3738427268795,-697.747497549932,-813.0696169589149,-789.1231713658008,C,C,high
-694.3673650413261,-711.4558069690257,-687.5225706935022,-703.6646014914319,-714.8470988443461,-685.9683728981428,-701.7399950393014,-712.9166842572005,H,H,low
-697.3990564873616,-697.0844938058042,-691.3476500586771,-717.2361728322725,-710.8467455256817,-685.9850804238899,-711.815591550691,-705.7266886848611,H,I,low
-697.9236666480067,-722.7517372663643,-687.4156972471519,-721.4591975546474,-718.2177424471296,-691.7486665929549,-720.7820273829982,-717.679460582322,C,C,low
-690.33184251689,-690.6862277092451,-688.4371758936849,-692.9052860120463,-695.5147297830667,-688.0888011263329,-690.9518173547375,-693.9755905041754,I,I,high
-694.9998334036762,-695.1708137316986,-697.1438270377456,-696.8294828333975,-697.8142481231854,-695.9162619614391,-695.1925518349644,-696.3182499644681,I,I,high
-699.1087695940819,-692.9264656596259,-690.2999473709892,-694.7639368865233,-696.2751163264902,-688.4680256055682,-692.2594730704986,-693.5839608773158,H,H,high
-690.9243098067585,-679.1684607554955,-686.8469165728113,-686.7304963189616,-687.3122225311826,-683.5024649383067,-683.26389576375,-683.9301500802229,G,G,high
-699.1092491433471,-692.9272062804333,-690.3009318760096,-694.7648772633664,-696.2761493733443,-688.468388029266,-692.2598980361415,-693.5844914226693,H,G,low
-694.8271481609822,-684.1430344153432,-687.8566407314154,-692.237660918882,-690.7386476819709,-684.094642178315,-688.1774240573276,-686.7263824491095,H,G,high
-699.0437487004071,-776.5638840974717,-690.1971306697054,-782.5584586002647,-748.4467254947942,-692.5755891430033,-782.4697156524022,-749.1814147344228,C,C,low
-696.5281563413573,-899.8088230646503,-768.9587532809078,-767.2477425236976,-874.2015989813403,-776.2950246638023,-777.8304415956659,-876.2692912092223,I,I,high
-697.4517847345985,-835.5618759570257,-688.1931843174091,-813.9966685685636,-800.760662038039,-691.8900384096283,-813.5192879693114,-800.4563040068268,C,C,high
-696.9975535036338,-680.0044010416428,-689.4304477581366,-690.5847389738271,-695.8350515167689,-684.8890459574624,-686.5355766840065,-691.53032609656,G,G,high
-695.176299637332,-685.0739696771618,-688.7045022705452,-689.9149592237889,-698.010336227924,-685.0067882549426,-686.7352404447629,-694.3512795040456,H,G,high
-696.7245852237596,-730.2112281139136,-686.5776404452655,-724.9872775840921,-722.1308843024807,-687.2824424535897,-723.5435281996407,-720.626945535885,C,C,high
-697.3266845410803,-800.0972286127928,-769.4092033473106,-698.9514797649531,-784.3325846847101,-771.5880053260662,-705.6809774317225,-782.9730284394888,I,I,high
-695.7381935059741,-685.4907257812883,-689.5624357380335,-691.6572330104798,-691.4919833083356,-687.4572655792211,-688.7507146872148,-688.5894280705293,H,H,high
-697.7027339464892,-704.787129481908,-689.4630606962777,-702.6583883451167,-706.2869143955967,-689.2712110357214,-699.9390858933293,-703.6374933989813,H,H,low
-693.1885538276523,-732.2654151811048,-688.0514715299488,-728.7431232297685,-727.4529701327639,-688.9824063810955,-727.3940926905151,-726.4179918422403,C,H,low
-696.9665428502433,-721.2887131426953,-724.3763983874635,-703.199853175414,-701.8604396073299,-722.7721335794622,-702.8966789425675,-701.6777312697133,I,C,low
-696.9958283800898,-680.005047094338,-689.4297776016559,-690.5828367435375,-695.8317471462004,-684.890348596308,-686.5355746030095,-691.5289109722748,G,G,high
-694.7206528011413,-787.1276431111042,-702.6585451034134,-781.9218079451333,-751.8389806269013,-704.7128201303107,-781.7281252268226,-752.0275632866593,I,I,low
-690.9296604575181,-679.1710101738272,-686.8518940534108,-686.7354771357237,-687.3168679254181,-683.5060422003141,-683.2675172583885,-683.9334715329051,G,G,high
-696.7251155029065,-730.2188802153689,-686.5757165293318,-724.9926455654025,-722.1345792572527,-687.2823083520985,-723.5496383239165,-720.6312855467642,C,H,high
-705.8590470150449,-960.8993190840243,-693.9955822782921,-901.72956423082,-900.1739519454003,-707.5990230426689,-901.7586966757425,-900.3547457407078,C,H,low
-695.7890928246641,-837.0043706287034,-772.2377474901526,-725.3490213055123,-810.331009470051,-777.5250636399574,-727.0793961571284,-812.5991302269514,I,I,high
-697.147606276254,-742.444587432268,-689.9265195585365,-729.9484123659022,-737.2130904332207,-696.1341698172255,-730.3930356064603,-736.886058558527,C,H,low
-691.9004673178991,-706.5459436518623,-685.7864149018959,-711.341474532246,-706.1285941083006,-684.4917684695237,-709.1043361174164,-704.0379357652923,H,H,low
-694.8205381989692,-759.0580940339668,-688.8591521645366,-756.7790522327796,-745.4504231710885,-692.0123273455042,-756.0779022094898,-744.9648010440471,C,C,low
-695.7386018318789,-746.1918456697837,-734.0697584707353,-708.2409921239504,-736.6268506687593,-729.3666050258045,-708.7890127864173,-735.8427483431994,I,H,low
-696.0140870358476,-686.5150719706436,-686.1720000243439,-687.5222219032007,-692.6330577709981,-684.9307052463723,-685.8105707845101,-690.7284188934486,C,G,low
-694.3692860073664,-711.4432616202043,-687.5262102359865,-703.6643419830638,-714.834121066396,-685.9700117743956,-701.7382418813734,-712.9027020703398,H,C,low
-693.9721613932181,-796.327240460989,-740.9635572630701,-817.7921950734504,-702.0812596535425,-741.8370915344656,-815.9640957348241,-704.9844803837703,I,I,high
-694.3662794401065,-723.2502640563557,-686.9531454162073,-711.7083954037215,-735.8303864629166,-686.5216282567948,-710.3645316111823,-733.9284430075262,C,G,high
-696.3537870021987,-811.1144161585877,-703.7272273741404,-799.7056331221595,-781.7584278734278,-709.3159257808677,-799.886896382244,-781.7208969929886,I,I,high
-693.1697140600418,-733.6502147707437,-689.9451019524064,-726.7753881553998,-721.0124538895228,-691.0386704176021,-725.1670384030411,-719.9687564822325,I,G,low
-693.1659306863327,-723.4590305006857,-720.8647024321656,-706.847496622628,-701.720622402514,-719.897114151998,-709.6151719006173,-704.5402954756945,I,C,low
-692.7326444414693,-709.6997609384381,-708.7075340243914,-695.4483352113094,-712.8583942741851,-707.249411013293,-694.9158217069003,-711.8980433851262,I,H,low
-696.2629923282612,-705.974985782642,-690.6875553212639,-707.1214627319879,-723.1112542208049,-687.9184986986745,-703.8312345643188,-719.447697383227,H,G,low
-696.5273924345984,-899.8326731330102,-768.9771236628957,-767.2549182342244,-874.2140962678526,-776.3153868874019,-777.8403740593545,-876.282175526432,I,I,low
-697.4402702283307,-835.6109680300808,-688.1767237276399,-814.0366865938678,-800.7866646556827,-691.8768634306756,-813.5625542148146,-800.4861020996666,C,C,high
-696.8744227253112,-917.6378337509875,-690.5731798268803,-868.9660459119899,-866.7801129808284,-701.7230482380751,-869.8609985933165,-867.8122540455742,C,C,high
-698.1558952455222,-687.8940041598389,-688.0474146217763,-695.2323218503369,-693.5409802062298,-684.8174958656548,-691.2772915095687,-689.5933657923161,H,G,high
-695.1244143851746,-711.3864959536508,-689.0372531186173,-707.6173982228175,-711.2962806684667,-692.8909250857048,-708.3727150809406,-711.8541562093869,C,C,low
-697.870599841679,-680.8389022624747,-687.3589155703817,-689.2695193966076,-687.1430689755011,-684.1959862909408,-686.3390397477461,-684.3887461073581,G,G,high
-699.4624631615698,-744.2123680034687,-689.4284518722538,-733.040398171575,-740.928219214071,-689.2457390618091,-730.7871213473854,-738.1845360240206,H,H,low
-703.0125735574551,-681.9137337788097,-692.7660813185803,-694.1586326747188,-693.313790335576,-686.1034957014651,-687.3565226816214,-686.5153150949362,G,G,high
-692.2661747972078,-713.6766927798855,-686.3714647763687,-721.3982244610472,-709.6369406339327,-685.3510189280245,-719.6879700283731,-708.1667426014023,H,C,high
-691.3124322973787,-680.2643425076062,-686.5982785741718,-687.0970323308961,-686.2519386872596,-684.0175712331468,-684.4213839063206,-683.7230529226723,G,G,high
-693.725456463013,-914.4392786587807,-903.1043387641256,-817.2083071195851,-778.897331755341,-903.0493250906906,-824.7659626275513,-785.2596505276819,I,I,high
-691.8977229881158,-706.5422394133408,-685.784064089221,-711.3375322883694,-706.1248357726244,-684.4896034964207,-709.1007019209146,-704.0344426256062,H,G,low
-696.2630690158752,-705.9716881271468,-690.6879150674632,-707.120213489371,-723.1075963013365,-687.9188837319032,-703.8295211783237,-719.4436654068729,H,G,high
