C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-581.5025673761623,-730.1376350301457,-709.2767859960899,-583.1139129024606,-732.3911454100676,-711.5968388535356,0.55,H,low
-583.319116233885,-650.0234392434189,-650.6220079752707,-580.8194280516734,-649.3498080831913,-649.8669326358677,0.20,H,high
-586.7394552692667,-649.76086056492,-671.8623795458107,-589.1152472522039,-650.4110105490721,-671.1102544825114,0.20,C,low
-585.7560324139152,-604.4148650157557,-606.822913801317,-579.6456056911601,-596.1411096976271,-598.456439753313,0.75,C,high
-581.702041234586,-613.06679937979,-610.6185508959369,-584.5978413164518,-611.9864164928457,-609.4128704922982,0.00,C,high
-583.4290450735206,-618.3420599512887,-630.4337334280536,-584.4374564053008,-616.7380842380029,-628.0624985053229,0.55,H,low
-580.2838928875403,-624.9645904144714,-616.5595696318416,-581.8748757957436,-623.7796733529684,-615.5797398114794,0.00,H,low
-582.8632463324554,-682.7587403576962,-705.2236057305234,-586.8766347338399,-684.2288158252493,-706.5693943567487,0.20,H,high
-585.9824783359296,-612.0515168455921,-617.0904893064828,-582.0213878724611,-608.2110852848645,-612.6348505679142,0.55,C,low
-587.1936047577269,-601.4252813569982,-601.3276411023081,-582.3959989573182,-594.4581201487526,-594.2114402311668,0.55,H,low
-580.6663218756582,-588.5604032661676,-587.7018106025213,-579.0132269355704,-585.8460627205474,-585.3247968914493,0.20,C,low
-584.6677955056873,-692.5680703128662,-659.2766571241825,-588.4432740680027,-690.397858647717,-658.0074599526133,0.00,C,high
-582.4112897503743,-599.24914566662,-609.6106349716166,-580.5193256253566,-596.5669322855891,-606.5856952266669,0.35,C,high
-581.3886185297534,-602.8388878862042,-593.1728368908456,-581.7729796068072,-601.2279365385828,-591.9796849548454,0.20,C,low
-584.9670021228657,-606.4567339362289,-602.2921436526343,-582.4956890285639,-602.2782428862434,-597.8629033938697,0.55,H,high
-581.822367347665,-611.106897074044,-612.6126322004667,-580.2042914855447,-608.1042044444052,-609.7754201577075,0.75,C,high
-581.9173862063216,-637.3072875166499,-633.7291820830409,-585.9188674342887,-636.8446057454521,-633.6190146348999,0.00,C,high
-580.620739873396,-624.1265446668118,-637.096297912127,-581.1421529200825,-624.6081304360853,-637.0709353886457,0.35,C,high
-583.29840448073,-585.9583012326683,-587.8550561779241,-580.6973699918378,-582.4125173752979,-584.2453875525928,0.35,H,high
-584.8447932458129,-661.8385191379297,-654.8352123094816,-585.4294492719982,-660.3174921950883,-653.458357875001,0.35,C,high
-581.9568651323672,-582.8727385591336,-585.5708473880027,-579.5940439526277,-579.9050046615396,-582.3428707275183,0.75,C,low
-582.9325212823685,-612.9934906711015,-617.0510653990204,-581.852309397895,-610.6885542604801,-614.5887588495968,0.55,C,high
-580.6620467127696,-638.1265305445764,-644.8210279209275,-583.2220835430477,-637.5109655711761,-644.2538357606196,0.35,C,high
-584.2293088696682,-661.89892679021,-673.1054871699039,-582.7335877566156,-660.5717565674944,-671.6229631187305,0.35,C,high
-584.7729655724936,-620.0050498069656,-613.9408811269496,-586.8188623042466,-618.1066746167916,-612.7344803129248,0.35,H,high
-585.4390723092097,-719.2896221081061,-719.6106896881527,-588.8123424196646,-718.2034073802836,-718.3948577880869,0.00,H,high
-583.0505462641696,-600.1538961501294,-593.4825596337822,-581.2368027452841,-596.2690255404708,-589.8849235516398,0.55,C,high
-583.1528085538226,-616.9792415720182,-622.1401931610416,-581.1817176904034,-614.0903481712909,-619.2023911127341,0.55,C,high
-580.5079076570318,-602.9254001835404,-612.1955925938483,-579.8721012148179,-601.6251142739786,-610.7055076640085,0.00,C,high
-580.2148590899849,-598.5183866585932,-596.0134707264574,-577.6371016069675,-596.0013494798039,-593.5869582388073,0.75,H,high
-584.1624499331053,-628.5367900317692,-619.4138213235833,-581.0067957438772,-624.057725520183,-615.1930064327403,0.75,C,low
-585.9528584547123,-590.2782471037798,-594.3459947364781,-581.5775835394489,-585.8709801994875,-589.8588805444657,0.75,C,low
-582.1340187037993,-634.5761964096321,-640.8740375969054,-583.4504012098511,-632.2305515287214,-638.2391169595251,0.35,C,high
-584.5444573523731,-646.5607022290089,-740.8489310915198,-588.2019510280546,-648.2778128388185,-740.2065149917711,0.20,H,low
-584.8751156332659,-606.4101272118609,-608.8666751780773,-584.0110573707386,-602.8347355294454,-605.3080577275683,0.00,C,low
-581.4146609612455,-597.9686303104705,-590.3581095691511,-579.3893362157039,-594.7628614674604,-587.1528515452782,0.75,C,high
-586.3085462879178,-703.7943759588127,-690.9965953961306,-594.6892700736457,-702.3406573784703,-689.8859759367994,0.00,C,high
-584.1111104913274,-589.8555450175338,-590.9314164636573,-583.6390861270016,-587.7539232320814,-588.9263005957879,0.20,C,high
-580.7669253064826,-609.1619515916863,-589.5286610679849,-579.3446849412189,-606.9119777187396,-587.7064561992937,0.55,C,high
-582.8625513902819,-589.6309710880198,-589.6884434968651,-579.9017385657374,-586.2249703874489,-586.2601320027821,0.75,H,low
-581.7940153414248,-606.9781907020199,-599.4743477416301,-580.9462428671563,-605.0052794922271,-597.6575842630882,0.00,C,high
-581.0065033123119,-620.1288255108321,-617.4221211273317,-581.1060612138333,-618.554540629252,-615.7698000748247,0.00,C,high
-582.274400196815,-614.4624043778504,-616.5206299448529,-582.1304410097364,-611.8957449729484,-613.8114454309223,0.55,C,high
