C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1093.9153228582097,-1179.701410686558,-1164.904504530825,-1095.49912665205,-1181.8469877842772,-1167.1630671685293,0.55,H,low
-1094.805868131353,-1144.5712562329138,-1141.5634973342449,-1093.3322341230498,-1144.7216038617723,-1141.9607470034548,0.20,H,high
-1097.9498433166743,-1128.4609809219928,-1138.262919859333,-1097.6773907520792,-1128.075038922216,-1137.3044566090616,0.20,C,low
-1099.2772719782217,-1106.7482650404545,-1107.4182425295367,-1093.6329798601491,-1099.41187079452,-1100.0352406692678,0.75,C,high
-1094.3196916237594,-1108.3410925858334,-1099.9078605981583,-1095.4902261247871,-1107.5562661441702,-1099.1681199661766,0.00,C,high
-1095.9220968982513,-1119.694864675871,-1128.0053676081623,-1096.6037221477447,-1118.101168179887,-1125.9794959325652,0.55,H,low
-1093.0499290195942,-1127.1137933084815,-1122.46117077788,-1094.3973898697973,-1126.249061739377,-1121.7201571447906,0.00,H,low
-1094.1786202355838,-1156.5825601189958,-1175.2968182165562,-1098.2961675551717,-1159.2464212898517,-1177.7052817597053,0.20,H,high
-1098.3460264843518,-1106.5377490222088,-1108.1476278258776,-1094.6114341810764,-1103.4231995361083,-1104.6762429985831,0.55,C,low
-1098.5938752731984,-1104.8878782703714,-1103.038056115895,-1094.763142593492,-1099.8517468742466,-1098.0462851833565,0.55,H,low
-1093.845021268727,-1096.3871288204728,-1096.0549006489252,-1092.4475681197252,-1094.4117039086987,-1094.2001448134183,0.20,C,low
-1097.00718860272,-1175.050935609181,-1141.3420864372608,-1100.185273330589,-1174.0042207108565,-1141.2349047515895,0.00,C,high
-1094.7116973972309,-1100.4243953511868,-1105.36643389644,-1093.4331979817227,-1098.8905469368985,-1103.5398454962426,0.35,C,high
-1093.8821912234553,-1107.7024366311716,-1100.0400059866492,-1093.8224881230528,-1106.6824820331326,-1099.272660497645,0.20,C,low
-1095.7052187399784,-1105.0217873358954,-1099.2509577242188,-1094.4993125283563,-1102.7288403686255,-1096.929422628753,0.55,H,high
-1095.5145614126368,-1106.0150870975829,-1108.1064064432244,-1094.3227399638824,-1103.7434566407194,-1105.994664446439,0.75,C,high
-1094.7413638554497,-1119.1922444574598,-1121.0485178429308,-1098.0029696169638,-1119.4994773878996,-1121.5711425103048,0.00,C,high
-1093.1262601689684,-1117.740082516823,-1124.9944744700963,-1092.786171369148,-1117.7396002907553,-1124.9154301352578,0.35,C,high
-1095.311758034984,-1095.8347048720843,-1096.6706906508468,-1092.3687283437753,-1092.7002942896543,-1093.536430218238,0.35,H,high
-1096.3948935676035,-1124.4790893753368,-1122.4656538382185,-1097.8574904698655,-1124.3424531105754,-1122.53816107329,0.35,C,high
-1094.2644098988367,-1094.4227597060972,-1095.8760749983078,-1092.680480400384,-1092.8606847977574,-1094.088229970004,0.75,C,low
-1094.8208563648561,-1114.068804349727,-1119.1761775798848,-1094.4904666098691,-1112.848243550786,-1117.8740685470475,0.55,C,high
-1093.5899208925284,-1137.7439922722167,-1144.3914479708021,-1095.3672545456652,-1137.557036462845,-1144.2616623736565,0.35,C,high
-1097.0056159117169,-1154.649636949621,-1165.2812480318714,-1095.9080842535855,-1154.0132455862974,-1164.4232002674312,0.35,C,high
-1096.357459939547,-1106.272522287995,-1105.7448888140884,-1097.2733329746384,-1104.802265453297,-1104.5216213615488,0.35,H,high
-1097.1010190930338,-1208.1748242768624,-1205.6399474935592,-1100.2465373443772,-1208.2296729320353,-1205.8368081827653,0.00,H,high
-1095.1410469919865,-1100.5997257793529,-1098.0566635714144,-1093.1172992119066,-1097.5069094501516,-1095.2079119744578,0.55,C,high
-1096.2666360837268,-1117.523979163765,-1122.4902074539955,-1094.5705451046585,-1115.2536752116775,-1120.13226863419,0.55,C,high
-1092.8288049718094,-1109.920919946696,-1117.9992897763595,-1092.2451836357968,-1109.4064149591782,-1117.1539245358651,0.00,C,high
-1093.4490384908183,-1102.5932124369176,-1100.565134617955,-1091.4769184810445,-1100.5851989274433,-1098.6375269742139,0.75,H,high
-1096.9633648587146,-1133.9268409134938,-1125.5814028874138,-1094.289389406914,-1130.4460268591372,-1122.0817806405712,0.75,C,low
-1098.3861691981815,-1100.0213019509258,-1100.7418983503057,-1095.1553772203158,-1096.9336062121295,-1097.5149130233656,0.75,C,low
-1094.9857815140765,-1115.945689634611,-1118.2543720510753,-1096.2871573503837,-1114.3298945105146,-1116.3703052587675,0.35,C,high
-1095.9973741231474,-1118.2083982804033,-1174.4670846041,-1098.72554980287,-1120.4146636954129,-1137.4495818721266,0.20,H,low
-1097.7387009735974,-1107.9109598249797,-1111.1007304654406,-1096.7804627346331,-1105.366705287267,-1108.4325144455524,0.00,C,low
-1094.7406593542196,-1101.107263821774,-1098.5796162987895,-1093.323078265921,-1098.6623882777276,-1096.2145472043617,0.75,C,high
-1098.3518639673277,-1136.317794009845,-1133.4866555557062,-1104.4067042254642,-1135.7320831508262,-1133.168307792495,0.00,C,high
-1096.483780524555,-1096.1051736891727,-1096.9732143253623,-1095.3881319226784,-1094.3775683564422,-1095.1060713830036,0.20,C,high
-1092.793483279596,-1110.2720134167112,-1096.8469995111093,-1091.8912419696276,-1109.0563714620775,-1095.9705772566565,0.55,C,high
-1093.6310561675232,-1097.4207388713164,-1097.7106605852587,-1092.5611466212597,-1096.1263030424843,-1096.3940968278332,0.75,H,low
-1094.713023847603,-1103.5840102400675,-1100.2072546832037,-1094.020078034202,-1102.0993255174785,-1098.8867090611404,0.00,C,high
-1093.8980114394049,-1123.2539057124616,-1120.6405217089236,-1093.906520430999,-1122.2702737720824,-1119.5940760998342,0.00,C,high
-1094.6379039983888,-1106.7492875239727,-1107.3417167660132,-1094.5606959326062,-1105.1344436120855,-1105.685642075231,0.55,C,high
-1099.1188463251187,-1101.0515619450634,-1102.936547013447,-1094.2863280364968,-1095.403044339979,-1097.6107704783833,0.75,H,low
-1094.865747984802,-1103.9631250966404,-1114.1343385038822,-1096.68129507122,-1103.1290538027718,-1113.0892856377495,0.00,H,high
-1094.7490811131088,-1129.6970872975232,-1119.2318610605603,-1095.3698119330431,-1128.2093179679343,-1117.925928382313,0.20,H,high
-1095.9987713409441,-1138.1099130264445,-1146.1751800346894,-1097.094935715277,-1136.8388358602786,-1145.0727622833317,0.20,H,low
-1096.1843298009799,-1102.3358411156055,-1109.270785109747,-1094.9589715997834,-1101.0331756630621,-1107.6769310005632,0.35,H,low
-1093.9709043447897,-1099.5874876092007,-1099.1027423492594,-1093.1715378962801,-1098.3233194694549,-1097.8254986962622,0.20,C,high
-1097.101036393559,-1133.8672683123432,-1136.5596132344779,-1101.3280187264195,-1134.6275963766125,-1136.7031410717523,0.00,H,high
-1098.1020471030574,-1101.8782212894998,-1107.6296710580705,-1093.2501843570867,-1096.2958821228872,-1101.6681154466482,0.75,C,high
-1093.4295117860352,-1097.9505182834237,-1112.9222408242003,-1092.2672069128812,-1096.1639070277224,-1111.029195166319,0.75,H,high
-1096.0710628726438,-1102.2952784039085,-1102.2820815524922,-1094.282971832527,-1099.5876229937296,-1099.561756941415,0.00,H,high
-1097.4645218325932,-1125.4518019913369,-1120.7177080748718,-1095.1422227207984,-1121.4931273151283,-1117.4051181267655,0.55,H,low
-1095.1967690130025,-1185.6608148936768,-1135.9639276996556,-1093.2516751918897,-1184.3008902731815,-1136.1976155278958,0.20,C,high
-1093.7264251167182,-1109.8420072651854,-1117.592327965837,-1094.3283452602984,-1108.7469479035299,-1116.7990120694053,0.20,C,high
-1095.2863613421396,-1117.3248432501684,-1136.966589172037,-1093.2477518542855,-1116.7579000076532,-1135.621450638791,0.55,H,low
-1094.0238268496303,-1099.047178909778,-1099.066218567366,-1094.010137358497,-1098.1703260014838,-1098.360219371135,0.35,H,high
-1095.8004563407892,-1103.3701157702235,-1108.5062976348568,-1095.3131730381795,-1100.4098821992243,-1105.622641021291,0.35,H,high
-1093.518840348306,-1100.538005453505,-1100.8806991896317,-1092.2638743051943,-1098.694623491971,-1099.1476479867824,0.35,H,high
