C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1118.4987230934428,-1146.693211423829,-1133.2812541246344,-1118.7506340068705,-1145.5967539275834,-1132.4463065111463,0.20,C,high
-1122.0306046422604,-1159.9927637516898,-1163.2379158285767,-1122.5449430286483,-1156.9418299298752,-1160.1485109094026,0.55,C,high
-1121.4152220965339,-1246.6106007762796,-1228.8645467234537,-1127.6705086359427,-1245.4116836035053,-1228.1181208267933,0.35,C,high
-1122.122903865852,-1123.5230493951653,-1124.0767617475115,-1119.366127345525,-1120.2582326541356,-1120.6839522556318,0.75,H,high
-1120.3830127142235,-1166.4226693918804,-1147.167060972658,-1120.9562885993673,-1165.5597279515105,-1147.0551971836248,0.00,C,high
-1116.9016945191015,-1153.0078467005362,-1136.2553997415403,-1116.535514610632,-1152.3566722756816,-1136.1096900788302,0.35,C,high
-1119.7293117427698,-1234.9209958934828,-1211.41963158077,-1129.6707331223315,-1234.896982924978,-1282.3143787108784,0.00,C,high
-1120.603074316809,-1131.4389719222024,-1134.0671919026393,-1121.0048231469523,-1129.993694083648,-1132.5395943131145,0.00,H,high
-1117.660482823719,-1124.1900105129673,-1122.7467205511834,-1117.000165199083,-1122.3147311153516,-1120.9999239330386,0.20,H,high
-1121.159135298257,-1140.647591910444,-1141.2051456650643,-1119.8188150007272,-1138.0513210394,-1138.564051512348,0.20,C,high
-1119.0352901456297,-1141.7707414109866,-1138.371425663711,-1119.6239673542066,-1140.6059707388122,-1137.1825185832752,0.35,C,high
-1118.0039680191223,-1140.6061116492456,-1144.231309915912,-1120.2804366346284,-1140.1519059840718,-1143.7598656087657,0.55,C,high
-1117.8117513303985,-1123.1459926968137,-1122.3412277188527,-1116.8532120566094,-1121.6949361074467,-1120.904946842753,0.75,H,high
-1120.0816411201927,-1141.2854549532256,-1137.325917850658,-1121.466717189668,-1140.411294160344,-1136.2989308544654,0.00,H,low
