C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1069.4859926103677,-1098.773088289001,-1085.1372023182746,-1069.7627100843206,-1097.6113085898046,-1084.2614561808268,0.20,C,high
-1073.0433602743935,-1114.2636811829875,-1117.4353907667573,-1073.457601738022,-1111.0608443949884,-1114.1980358595295,0.55,C,high
-1072.3764393360514,-1202.13761034805,-1183.87097800884,-1078.8878944251032,-1200.979504152868,-1183.1552871131494,0.35,C,high
-1073.2553164291173,-1074.7968844315512,-1075.4440181575674,-1070.312028875716,-1071.3109048965023,-1071.825936203202,0.75,H,high
-1071.3796606373767,-1119.1288828438855,-1099.3915339525552,-1072.0656292202327,-1118.2531118151721,-1099.258706493602,0.00,C,high
-1067.7574856756269,-1104.791597574509,-1087.6607533050087,-1067.4010402679398,-1104.1161344043699,-1087.4776454835983,0.35,C,high
-1070.7008834058756,-1195.098101031463,-1233.9145745677079,-1080.8478604662478,-1194.744066768931,-1237.3540666994431,0.00,C,high
-1071.7146425872688,-1083.9050402860148,-1086.5074395698582,-1072.3019985006501,-1082.4427430417709,-1084.9547244228838,0.00,H,high
-1068.5539498516378,-1075.911389993503,-1074.3367608291808,-1067.9044464905405,-1073.9579076362306,-1072.5132692313182,0.20,H,high
-1072.2323585859765,-1092.3831435606749,-1092.9634415934947,-1070.873018753749,-1089.655650875117,-1090.1918460392606,0.20,C,high
-1070.0395501899666,-1094.255475250658,-1091.0187087380477,-1070.550605412996,-1092.9904928793321,-1089.7245398935506,0.35,C,high
-1068.894074415153,-1094.4170803451273,-1097.8315853162596,-1071.2402039383862,-1093.9358697395794,-1097.3298328602993,0.55,C,high
-1068.698531716466,-1074.4330162963388,-1073.649109808374,-1067.686547131274,-1072.9086157288482,-1072.1315382299285,0.75,H,high
-1071.0085986826446,-1094.077051231964,-1090.1424496310904,-1072.5710696096319,-1093.2079762237474,-1089.1128088470132,0.00,H,low
-1068.387968037976,-1069.2277088917908,-1068.9240700847897,-1067.0551408086412,-1067.6925832854552,-1067.3706825395864,0.00,H,high
-1071.4996320880057,-1088.82588829957,-1085.6993825766037,-1069.360445890477,-1085.964202584229,-1082.8177172172745,0.75,H,high
-1069.8348282333013,-1070.918551119164,-1071.8707814671918,-1067.0200781463868,-1067.9454064822064,-1068.8813142571755,0.75,H,high
-1070.988400189551,-1090.973954097015,-1078.8298334671513,-1070.6226638281255,-1089.0639729454904,-1077.1271373157488,0.00,C,low
-1073.3352941659407,-1140.672319277449,-1133.8682890449784,-1079.1966814772886,-1139.156772666407,-1132.513957650605,0.00,C,high
-1068.931990656907,-1098.4079827735636,-1112.17328608959,-1069.6588168027101,-1096.7790218867972,-1110.604221308621,0.35,C,high
-1069.908595360753,-1099.567868174753,-1091.1942052721051,-1069.0122956647936,-1097.8873323326304,-1089.6959090997852,0.00,H,low
-1069.4323210724428,-1073.4008909608983,-1074.0584007959742,-1070.2578876127318,-1073.1373577370227,-1073.4658645833285,0.00,H,low
-1068.8035814259358,-1092.5541027235809,-1106.8813514795122,-1070.1679897881224,-1092.504163308833,-1106.4473642487276,0.00,C,low
