C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-688.5130040613499,-727.9267858426288,-713.242744604944,-689.5325263152491,-726.2772707590077,-712.1631276884547,0.20,C,high
-692.4044528188458,-763.7850683159081,-765.6626982195024,-691.8400984289993,-759.3079528324752,-761.2013924159805,0.55,C,high
-691.305445711104,-856.998452507817,-835.9917185542573,-699.873641382929,-856.0742530046783,-835.3864704996266,0.35,C,high
-693.1440683810512,-696.4678152399831,-698.0288424004948,-688.7855078275866,-691.3745873757719,-692.7803092357162,0.75,H,high
-690.6073719486021,-753.7933569761682,-731.5923647739342,-692.2366089079426,-752.7286277644151,-731.3339420186815,0.00,C,high
-685.8210549885812,-728.649153000463,-710.1583684648116,-685.8986241660639,-727.8384887395724,-709.6506859464757,0.35,C,high
-689.6238158282972,-945.2962225618764,-877.9287611568634,-702.1129384527494,-947.9642765945905,-881.3594557795112,0.00,C,high
-691.8008052040414,-720.7662532027256,-722.8763324285483,-694.9446485349507,-719.2295304687912,-721.1679926408824,0.00,H,high
-686.9955826077984,-703.6211804907996,-700.8231008205515,-686.7169029802155,-701.0436009514218,-698.3965217271434,0.20,H,high
-692.4574298494636,-718.4609670902997,-719.3313953484543,-690.9096845566219,-714.546402704233,-715.3509452795653,0.20,C,high
-689.4048113861425,-726.6618243242725,-725.6861734916529,-689.1891866430819,-724.5372386348499,-723.46648258478,0.35,C,high
-687.306330404935,-742.3818905276015,-743.3298944756907,-689.8674382104311,-741.4399157248193,-742.3251869762864,0.55,C,high
-687.0992482313895,-696.5888835216016,-696.3334194684497,-685.4619720314089,-694.3652745293472,-694.0356088571473,0.75,H,high
-689.5376941040848,-733.0555830496504,-730.2290441088252,-692.6661680241215,-732.1955175686583,-729.1865506339103,0.00,H,low
-686.9339400329242,-688.8363639268679,-688.6892450464562,-685.3184888824537,-686.593275715223,-686.4456960528246,0.00,H,high
-690.3477058425269,-709.668530543247,-706.8786223355402,-687.5309536847109,-705.8450552600676,-702.9982704308667,0.75,H,high
-688.194633704243,-690.6470726269508,-691.6674110931946,-684.8326793102214,-687.1109775667406,-688.0853890169117,0.75,H,high
-689.8469522341762,-720.0953809297649,-707.4344856219564,-689.7336184130306,-717.5378431806963,-705.1095071168608,0.00,C,low
-692.2822015517567,-794.5545712154204,-787.7107178868791,-701.0671011081433,-793.1527610982265,-786.393416250061,0.00,C,high
-687.0325931677995,-729.6876255898903,-740.5630044272685,-687.8021323041577,-727.5122115030448,-738.5977108184334,0.35,C,high
-689.6188088774961,-723.8314421361399,-715.2854736990181,-688.1947972480807,-721.3349734474698,-712.948005293753,0.00,H,low
-688.5820704710121,-700.3906755292421,-701.6896844390724,-690.546003075288,-699.8720541580185,-700.7676557882053,0.00,H,low
-687.9467919400315,-736.0475380939785,-759.1143480151626,-689.4463650911445,-735.4141365493039,-758.1539244558678,0.00,C,low
-687.2552490307744,-712.8601521102734,-696.8131335721428,-684.9492451783873,-710.4478757979341,-695.2509611590285,0.75,C,high
-687.5729728596704,-712.0742444252676,-704.4537927917023,-688.4681152336165,-711.2610561415308,-704.0726094184005,0.00,H,high
-685.7328434130912,-702.0932403678863,-699.8856593739973,-685.1145122231966,-700.2532413102942,-698.1136886186137,0.20,H,low
-692.860293748868,-862.1532170769847,-846.4873009935949,-701.1008336630991,-862.127162703735,-846.5562006856632,0.20,C,high
-689.9030982521747,-744.2075274260718,-728.0519681631881,-692.5438575833159,-742.04820430021,-725.650643597419,0.35,C,high
-687.7097500938288,-706.6424832754838,-712.9646128828923,-687.0526381464751,-705.92593459629,-711.6942155629648,0.55,C,high
-689.2758172316517,-700.7880370648337,-692.7983794377043,-687.5353705169483,-698.0291975230881,-690.44306291954,0.35,H,low
-690.4977905824782,-731.9034516400083,-736.4620808586048,-690.911823669122,-729.1098195288573,-733.3840253791705,0.20,C,high
-687.7211544096432,-699.6115189002609,-703.3702390676634,-689.0570598680238,-698.3188764143083,-702.0668005265672,0.20,C,high
-690.0089545339263,-713.3312233321545,-705.2052055392676,-686.5716535442791,-709.2717212086129,-701.1207049912521,0.35,C,high
-688.2531158962818,-692.6718045575203,-693.5505968855342,-685.9525864892227,-689.5780565662144,-690.4244382749235,0.55,H,high
-687.778156832801,-716.5665957478666,-716.0476270768823,-687.9464102137865,-714.7032634079064,-713.9576743082712,0.00,C,high
-689.5843670372254,-708.537127131715,-704.4708842126596,-686.8070302406115,-704.9367818089208,-700.8977850523432,0.35,H,low
-686.9937607663379,-693.6686058649615,-692.0445615305479,-685.6154029725016,-691.7592771768818,-690.0636603072782,0.35,H,high
-687.295180331736,-694.0727769368584,-692.7743916952392,-686.0386173378121,-692.1354804700171,-690.522433829662,0.55,H,high
-691.1704581449619,-702.2429122863211,-708.416440602722,-689.1600860232963,-698.5016810254982,-704.2422691655358,0.75,H,high
-689.228950197955,-736.0494290176182,-725.5494838543904,-689.4152231755834,-734.2006636264108,-723.6045894718504,0.20,C,high
-688.6949460169617,-704.1487311290982,-707.0921744865846,-688.6831357591976,-701.5366659236655,-704.6442286935383,0.00,H,high
-693.5941648081214,-791.7949606385562,-818.5034913214753,-700.4472144363473,-791.6130996835421,-817.9462914919865,0.00,C,high
-690.3637933771118,-808.1960316107783,-823.4348816980726,-693.2362834960658,-806.110521964848,-821.0003451269367,0.20,C,high
-690.9139048986473,-722.0216410176907,-731.8277802683978,-690.7576373641216,-720.6520859977423,-729.9474079610976,0.00,C,low
-692.3989793530296,-709.6349233505563,-723.5300471844865,-690.0626170546847,-704.8522339375802,-718.7589831555646,0.20,H,high
-691.1835068302579,-694.5371689125452,-693.1582284545331,-686.8506608373468,-689.577737403453,-688.0733099993021,0.55,H,high
-688.6411092590796,-718.8893591396516,-738.4668986758093,-688.0536851045046,-717.1492167452866,-736.4332899907259,0.55,H,low
-688.4778681635808,-697.8960647078078,-691.3696978330507,-686.6128703356923,-695.3356271004861,-688.8814728577034,0.20,H,high
-686.6285632223988,-700.0519283776526,-697.4319949066748,-685.5491195146453,-697.7912043751058,-695.158096489434,0.75,H,high
-690.7499370426553,-703.2242725957407,-697.2602989368461,-687.8375781474144,-700.0251186970243,-694.1382051879078,0.55,H,low
-691.3830453332077,-704.5111163126775,-704.8183771943006,-689.1208613657554,-700.8273130516113,-701.4098941222235,0.35,H,high
-686.3003543374065,-726.909938453345,-714.4042826834869,-687.7520383377736,-725.7942959312946,-713.288433016891,0.00,C,high
-689.9046007417633,-759.1082086725653,-751.9463565166344,-693.4814698071352,-756.7455267699524,-749.7232741850872,0.00,C,high
-690.6628934883806,-750.5283150977615,-746.7997947145182,-688.2331743573019,-748.482950464657,-744.6237758722837,0.55,C,high
-689.556506237149,-734.7111708388377,-739.4850897373063,-687.7855873557232,-732.7072477965821,-737.1861078413376,0.55,C,high
-686.0465658660372,-693.5903056953161,-694.5138439241691,-685.341067067518,-691.6300215564814,-692.5293661934924,0.55,H,low
-690.9196202055522,-722.8593828677143,-717.5536313371811,-688.6521793189257,-720.7277894307849,-715.8718794391966,0.20,H,high
-690.7364682156401,-725.0635453079967,-721.6878879679033,-689.2465624452756,-722.6139371455413,-719.3366753582918,0.55,C,low
-692.9497478620181,-717.610417963225,-719.9826848239389,-688.6566120834872,-711.6132086387048,-714.0638426520288,0.75,H,high
-686.2985369447165,-756.3829029057965,-726.9463495201238,-686.0740687590586,-755.0999610032829,-726.4466476940213,0.55,C,high
-690.0067689180064,-717.3263578929467,-705.6035819136904,-689.4933570562785,-715.2036055447776,-703.6927744925292,0.35,C,low
-688.4381869790778,-706.8458849267389,-712.9880854623519,-685.9119335584966,-704.9664563629984,-710.887992849427,0.55,H,high
-688.3314552325575,-694.6450384678224,-695.6402110436543,-687.3732063565835,-691.968951038135,-693.1304598294392,0.20,H,low
-687.8644781243416,-692.001916754843,-693.4922175803456,-686.7255457551802,-689.5085214606709,-691.1210945513022,0.35,H,high
-689.28871452517,-701.56348292891,-705.3816422908997,-687.828545596845,-698.3086859249012,-702.0899082362464,0.75,H,high
-687.5608950640358,-720.1291072775911,-710.5880992276063,-688.9973807760736,-718.3107177413488,-709.2475209762396,0.00,H,high
-691.6131219879206,-753.4557305526463,-767.8335192022101,-695.4121325865403,-752.9676107937556,-766.6009966544214,0.55,C,high
-687.5057699662575,-770.3557033724728,-770.5441097235745,-690.3163544185664,-770.0162011705355,-769.7168416287684,0.35,C,high
-688.3668645800947,-763.1347483116924,-774.1576356159514,-691.8741448311325,-762.6202780091417,-772.9729308249044,0.35,C,high
-691.0171328924882,-708.2621078362487,-710.616933627646,-691.3732343356838,-704.7494979392773,-707.0331335626224,0.55,C,high
-684.6863139345794,-697.7246735626053,-711.41098448813,-683.4982284010438,-696.2292926262007,-709.6377954326739,0.75,H,high
-689.2148934701175,-712.6336439172228,-715.5705436721895,-686.9863880562931,-710.4251949283387,-713.362656598612,0.55,C,low
-688.2163742213846,-693.2680229169607,-698.0585164543835,-686.4262713444508,-691.1424508191409,-695.7372930193543,0.75,H,high
-691.2909322088448,-710.3744642576003,-724.096365829589,-688.5541392917952,-708.37630089179,-721.7383445152228,0.75,H,high
-693.4275226332637,-702.5550522182708,-700.3130635299586,-684.8781577475767,-693.8949231273688,-691.7342253451498,0.75,H,low
-691.4711903983291,-705.9083521320066,-717.9826926246935,-689.4582882973838,-701.9150981720102,-713.9278967671838,0.35,H,high
-688.1776740720646,-737.715862399419,-727.038437036881,-690.9520551255965,-736.2726126040122,-725.7265989566213,0.35,C,high
-690.8098061420088,-733.9674127684033,-737.0929317039047,-693.1916137782614,-731.9322765524571,-735.9076555137847,0.35,C,high
-688.3279484956704,-771.042574670844,-791.3326526421996,-689.182691188634,-770.8988907463914,-790.7858342873762,0.35,C,high
-685.5257561699161,-755.1439420882199,-755.6676595206078,-687.3100228317174,-756.2897271785525,-756.7926192680343,0.00,C,high
-689.7824982636657,-740.8229632822689,-741.3799333818989,-692.7131441542978,-740.0162272188555,-740.509132203604,0.20,C,high
-689.9444324506054,-722.9966225949274,-717.6320822219539,-691.0712607514333,-722.2041747357281,-716.5523121908365,0.00,H,high
-688.7931599829975,-691.6919961440643,-690.5628099944248,-685.7714674383706,-688.1921123127984,-687.0245718459457,0.75,H,high
-691.9832770666151,-707.3033405648506,-723.5466934672601,-688.6533825634477,-702.8650301497303,-718.73856086573,0.75,C,high
-686.1419847172667,-713.6597664282561,-709.0051481862829,-686.58535155253,-712.3721701697484,-708.0485365151371,0.20,C,high
-695.5852185891823,-711.5100368646321,-711.1865465812136,-690.4453646940271,-704.6210343942028,-704.3205213715322,0.75,H,high
-689.412533776188,-691.1425866857919,-691.4129482297732,-686.6869795932204,-688.0784646467962,-688.3000593947755,0.75,H,high
-692.2925311219637,-707.558134217535,-703.5965633902798,-693.1233259090143,-705.5361111273663,-702.1161446110693,0.20,H,high
-688.5465239777253,-708.5897215097519,-717.1004098704298,-688.1745168521396,-707.6578841328662,-716.0835184177299,0.75,H,low
-688.1149647700761,-698.4310878267494,-709.7286373049889,-686.6754681127833,-696.5615327496256,-707.3536129983432,0.20,C,low
-689.3763582524971,-735.7593484226395,-731.0709889159057,-691.5412100538254,-735.2001618750901,-730.8569256815942,0.20,C,high
-686.4830262852403,-712.6249413063077,-709.5712566176562,-687.7559876843706,-711.5745313550673,-708.412484386214,0.35,C,high
-692.4139878536263,-697.9542364669726,-706.6082679965447,-689.3538348723139,-694.8392831342283,-702.8203541866549,0.75,H,high
-693.4183959569602,-720.6156088023135,-699.6452713980527,-690.1816326875394,-715.9405703489205,-695.4595287870599,0.55,H,high
-694.4807320706894,-785.3702569783056,-745.9664377727827,-695.2238764683632,-782.1173320637951,-744.1804089148563,0.55,C,high
-688.1722256757847,-733.8489386028285,-702.3870966077325,-687.1701345108419,-732.5185387890186,-702.234110762124,0.55,C,low
