C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1041.8085482945403,-1051.919142537376,-1046.309225252169,-1041.145003003568,-1050.6460799127308,-1045.210991129542,0.20,H,low
-1042.3732510827344,-1058.5165950783357,-1058.5599082976778,-1041.6816335499525,-1057.1917058301326,-1057.0924844159715,0.35,C,high
-1043.311532461368,-1052.017586002218,-1055.118371779376,-1041.8575666695806,-1050.1315073186456,-1053.015020685145,0.55,H,low
-1041.5698357572232,-1113.3266319723984,-1112.973870357043,-1042.1958907264868,-1114.0863420156345,-1113.3993690504697,0.00,C,high
-1046.9194636771415,-1048.750423692135,-1048.8914784843203,-1041.5165815855937,-1043.350453461664,-1043.3650747485624,0.75,H,high
-1045.0290198716496,-1047.3506188877047,-1047.566022894986,-1042.6921371319268,-1044.5991003115398,-1044.8500727177159,0.55,H,low
-1044.7135011541732,-1070.6171002468532,-1055.5221489806768,-1043.4414470898018,-1067.7154933748693,-1053.2824790509035,0.35,C,high
-1042.631594932121,-1053.8113717599815,-1051.52097253728,-1042.2539059214457,-1052.3069904624908,-1050.0364653839772,0.35,C,high
-1041.3760052895211,-1096.374622778266,-1090.9028458020825,-1040.3815087145292,-1096.5675561182013,-1091.6973765455677,0.75,C,high
-1043.695456039562,-1083.420079846774,-1067.1844874026058,-1044.441059428136,-1082.841055857864,-1067.084702969186,0.00,H,low
-1043.49055770095,-1053.597062180017,-1058.5319633767347,-1042.973793794528,-1053.0748911975822,-1057.825646619188,0.35,C,low
-1044.0842078802075,-1069.1779018649404,-1067.0282840450602,-1043.7248012346752,-1068.2069239971395,-1065.8103620857478,0.00,H,low
-1043.7984354786543,-1053.351301954556,-1050.5330354837356,-1043.936254260295,-1052.3228789958664,-1049.7039765005102,0.20,C,high
-1047.809146027657,-1054.8200309406338,-1056.359745333681,-1044.4700123700677,-1051.264866556705,-1052.6939938787086,0.75,H,high
-1045.7964637638781,-1050.924978688119,-1049.2416945489397,-1043.6605536344275,-1048.4062362406526,-1046.7248187649686,0.35,C,low
-1042.9975496591064,-1075.8906485608536,-1078.7136724649808,-1044.6979222379018,-1075.0063833133565,-1078.2943754205544,0.35,C,high
-1044.3192094659676,-1113.0239755140124,-1096.9641164270936,-1043.663068286615,-1113.336659682822,-1098.1071010674882,0.20,C,high
-1044.9123342667967,-1076.9996415388127,-1061.4899037876235,-1042.5384025224155,-1075.0647695617517,-1059.9501726783844,0.55,H,low
-1042.9469920009788,-1064.5902022306393,-1072.363457872442,-1043.845293559121,-1064.1755337556913,-1071.3702027067948,0.55,C,high
-1042.331941071848,-1045.7894306750904,-1046.017964316928,-1041.6328798424295,-1044.675050945642,-1044.9208874767578,0.00,H,low
-1043.4175710692273,-1049.62768040227,-1052.8223280502268,-1042.3589597952405,-1048.0987150676374,-1050.7574669489204,0.75,H,low
-1042.1954107665435,-1084.2976156857019,-1085.183916401721,-1043.1272881007903,-1083.5645498119593,-1084.7810531956598,0.35,C,high
-1044.8787063281504,-1088.9633613011436,-1089.1024316837768,-1050.314161550918,-1089.157608441343,-1089.5963810551152,0.20,C,high
-1045.6728091097189,-1050.5232003654005,-1056.7052254168716,-1043.027603649194,-1047.1734387969043,-1053.3092561350445,0.75,H,high
-1041.8142167897283,-1050.1535050027323,-1060.1632036413916,-1042.2041808258687,-1049.9385053799404,-1059.4643742360242,0.20,C,low
-1044.5418017259285,-1055.652381499382,-1045.3772717150664,-1043.2277116038522,-1053.5087773638415,-1043.3439527220817,0.55,H,high
-1045.1341602650416,-1048.6458600324902,-1049.1806324198303,-1043.2205054562046,-1046.368651980031,-1046.8665085627804,0.55,H,high
-1043.1348677231433,-1050.6812139817882,-1045.2939791295767,-1040.7865741693113,-1048.0970208747235,-1042.794751059387,0.75,H,low
-1045.471215765884,-1074.1092618481928,-1080.420094929182,-1049.1309832747281,-1074.0814466347247,-1079.9757791042366,0.00,C,low
-1041.5788837844968,-1046.6601347768224,-1045.2186161398363,-1040.986542063652,-1045.2862080339528,-1044.0989498598744,0.20,C,low
-1045.497099989859,-1054.4704770132141,-1057.5199089232049,-1045.7125244183183,-1052.5479880144753,-1055.1675593127954,0.75,C,low
-1044.4302542483847,-1101.3050374714037,-1105.9586689232758,-1043.9993014002637,-1101.0093332925383,-1105.7996168966793,0.20,H,low
-1043.1022700346157,-1054.5879972675366,-1051.3702852828724,-1041.4173707427194,-1052.9605360948729,-1050.0776912157905,0.20,C,high
-1042.5375293118575,-1089.3784840511526,-1100.297103880188,-1046.9170661211108,-1090.1513606097817,-1100.9470406102582,0.00,C,high
-1046.2349307578766,-1047.003504574298,-1048.9896253471538,-1042.281854280401,-1043.3285343052544,-1045.082081707673,0.75,H,low
-1043.0436999239307,-1063.1316407789927,-1065.011762807954,-1044.0991066677782,-1062.7442254725458,-1064.5333318373957,0.35,C,high
-1045.2962043837583,-1107.988834104333,-1118.1986240462445,-1052.183546029075,-1108.7710840493544,-1118.6238227693536,0.20,C,high
-1045.9634932365807,-1052.059479302648,-1060.0554923111279,-1041.141272614193,-1048.3927339397337,-1055.8331164175609,0.75,H,high
-1042.1244526668652,-1056.2127463710344,-1054.2026500508828,-1042.0968840096457,-1055.5903344239362,-1053.4758260274236,0.20,C,high
-1044.2519725176664,-1058.415285955418,-1052.0953842080187,-1044.1155117411283,-1057.4871377443776,-1051.2243093437894,0.00,C,high
-1044.4610895168018,-1116.1647593750072,-1136.8180666837707,-1046.622515918107,-1115.2349417958546,-1135.5225535416546,0.55,C,high
-1045.1994407651846,-1072.0175348968046,-1065.6246813478892,-1047.108696498854,-1069.679825116396,-1063.5424856942,0.00,C,high
-1043.214221581391,-1062.610154405052,-1076.6901488920582,-1042.9077503975616,-1061.3461906055156,-1075.2769802892424,0.20,H,low
-1049.1338620744143,-1052.6450259465385,-1051.5899251858618,-1045.4285559128045,-1048.6115162627277,-1047.603373179005,0.55,H,high
-1041.5628964447674,-1043.0228418895892,-1045.6977883650623,-1040.1578028771564,-1041.7228547026373,-1044.4661749064867,0.55,C,low
-1044.2713076818302,-1072.6518240068076,-1066.4182894736132,-1044.9457955595049,-1071.4821471791768,-1065.8708330355594,0.20,C,low
-1041.8628170720817,-1041.4241172492948,-1047.2949129936558,-1040.3514254363763,-1039.8794852107155,-1045.6443416639006,0.75,H,low
-1042.600878986326,-1049.6213832828646,-1049.4389517559168,-1041.3439740471476,-1047.7575374891023,-1047.5945817563,0.75,H,low
-1046.1694799462466,-1202.3899129236154,-1131.8969770131412,-1054.0554442782045,-1118.8929291948039,-1128.0703601695075,0.00,C,high
-1042.4132403041626,-1094.3149285950096,-1100.0540222612556,-1044.6295304543953,-1094.248595187096,-1099.9862397545135,0.00,C,high
-1041.6303744361728,-1044.9187902945284,-1044.4197825523604,-1040.8762439114876,-1043.5594304500162,-1043.047260270491,0.75,C,low
