C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-985.7363051302917,-996.1265836328382,-990.3784287586753,-985.0222892353308,-994.7807173672267,-989.2166708295251,0.20,H,low
-986.320472534343,-1002.954178868754,-1003.0477528435523,-985.5906056594152,-1001.5499468764219,-1001.4918603980611,0.35,C,high
-987.2571165776906,-996.3196598601002,-999.671228324045,-985.7300681690966,-994.3511434886502,-997.4766522219563,0.55,H,low
-985.4938337829005,-1059.9270767911698,-1059.512540422738,-986.1353985519695,-1060.6590564081382,-1059.911037229794,0.00,C,high
-990.9122836336952,-992.8289263491304,-992.916500380712,-985.4046144287006,-987.3199201005696,-987.2842766576874,0.75,H,high
-989.0392252171226,-991.8288227760411,-992.0020263403787,-986.5891076415154,-988.9225531588636,-989.1273635722349,0.55,H,low
-988.7310994789552,-1017.5973421932999,-1001.0315387355176,-987.380141944209,-1014.5391952014769,-998.6471015929905,0.35,C,high
-986.6151802451999,-998.6111617284387,-996.459659644709,-986.2482383660697,-997.0064431770156,-994.8836811366949,0.35,C,high
-985.3091535576524,-1041.722884498761,-1036.0028151044771,-984.2656127302618,-1041.906805904717,-1036.7823105212312,0.75,C,high
-987.7873124944856,-1028.4465932904197,-1011.8584752681734,-988.4698448172566,-1027.7337460387648,-1011.6252875636477,0.00,H,low
-987.6118378999494,-999.0582192672557,-1004.3075642275685,-986.905572996505,-998.318351461701,-1003.3824518021747,0.35,C,low
-988.0382030086495,-1014.8415611212502,-1012.55449917186,-987.6717632026682,-1013.8158355129898,-1011.27951218886,0.00,H,low
-987.7935468575785,-998.7104066629556,-995.6992376279037,-987.987677129888,-997.6326723682301,-994.8202524768686,0.20,C,high
-991.8614932020008,-999.1419543295741,-1000.7486285527068,-988.4208305080317,-995.4206748951644,-996.9147102805911,0.75,H,high
-989.855838064972,-995.2155554175359,-993.6514799065355,-987.7050522277972,-992.6388566198762,-991.0477003391005,0.35,C,low
-986.9595464642804,-1023.3042447373863,-1025.3000207048146,-988.6362177778104,-1022.3485794036476,-1024.8175596035958,0.35,C,high
-988.2956867078061,-1059.3493979228663,-1043.0734916529664,-987.6952653377601,-1059.6691580532736,-1044.212538607585,0.20,C,high
-988.9706919672628,-1021.9821809553814,-1006.1225250839337,-986.5218103513666,-1019.98818823198,-1004.5091134114377,0.55,H,low
-987.0036203091519,-1010.3175694635618,-1018.855098483071,-988.0041058716802,-1009.8757935069849,-1017.8098951465142,0.55,C,high
-986.3159232814165,-990.4617878721197,-990.6955154648908,-985.6503493076992,-989.2969082068176,-989.5616661354986,0.00,H,low
-987.4182606119953,-994.6324680242298,-997.8547483021887,-986.3999831637086,-993.0895013056913,-995.7526634087071,0.75,H,low
-986.1558716035601,-1029.6069870463102,-1030.2262030954619,-987.0387529617112,-1028.7899500137796,-1029.743601615707,0.35,C,high
-988.908891697186,-1037.9441706143602,-1037.660675430946,-994.7793721510806,-1038.2158436625382,-1038.244737586974,0.20,C,high
