C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1095.1046832025359,-1111.4749275359468,-1106.6336507449375,-1095.614765974174,-1109.8941459088499,-1105.4937348717247,0.75,H,low
-1095.0037352574552,-1146.167122429364,-1162.6499107686805,-1096.5435729995893,-1145.4627962504646,-1161.6528552513673,0.00,C,high
-1098.003712465942,-1136.533351365897,-1126.7894502176596,-1096.6975867597268,-1134.991509829534,-1125.5379561652467,0.75,C,high
-1095.3859449023057,-1100.8332071715715,-1097.2019950714566,-1093.824588445671,-1098.9335444891294,-1095.6011418492656,0.75,H,high
-1095.0135968463326,-1102.4010652227437,-1103.4705468772127,-1093.0511350674726,-1100.860637086476,-1101.9217009242914,0.75,H,low
-1094.3773077726069,-1119.0376779381863,-1122.1207233373054,-1092.085799138712,-1117.8731300890904,-1120.7710566981546,0.55,C,low
-1096.8630970523961,-1098.5169599967894,-1102.895037289911,-1093.6387906113946,-1094.7797928403158,-1099.1510264022363,0.75,H,high
-1095.7090332299115,-1097.9179010528367,-1097.0721193885574,-1093.2658587689616,-1095.3777208863035,-1094.4547194970005,0.55,H,high
-1096.2524545528054,-1146.5869405077854,-1122.5586260243922,-1100.6472133695165,-1146.067754074046,-1122.266016176476,0.00,C,high
-1094.4775215114978,-1109.4454503440954,-1101.5410256833213,-1092.4498830624048,-1107.2792728881316,-1099.6083116282828,0.75,C,low
-1094.5642494180754,-1114.4681096673455,-1099.39030083223,-1093.4824329124833,-1112.8515955558394,-1098.4449140160132,0.20,C,low
-1093.5199087903538,-1110.5982401649392,-1100.500115969973,-1091.6328552741797,-1108.9358653796328,-1099.2367766318728,0.35,C,high
-1092.0757830510208,-1111.5273439801356,-1107.9211156366787,-1092.116140683338,-1111.2305647064584,-1107.632610306934,0.20,H,low
-1092.8818538691387,-1143.3669401043912,-1134.814828743693,-1092.9214829319355,-1142.8759503825245,-1134.6805851482902,0.00,C,low
-1097.1376066151045,-1164.7422799464691,-1176.7983761312776,-1104.3234921444623,-1164.23289787029,-1177.349059862572,0.00,C,high
-1093.780196475109,-1104.0884668533752,-1104.8332318973653,-1095.0748378286626,-1102.8646649675004,-1103.465630275864,0.20,H,low
-1095.7308146054424,-1095.9151589265616,-1103.5944123779389,-1094.7353733596076,-1095.028868916608,-1102.4629912368414,0.00,H,low
-1093.2494027386483,-1095.3731588242274,-1099.044134850022,-1091.874450900566,-1093.5449470780793,-1097.1642686057614,0.55,H,low
-1093.7087883448814,-1100.7967054358933,-1100.2356006076861,-1092.7856463972953,-1099.115286759137,-1098.3621763525216,0.20,H,low
-1094.7340536642203,-1140.4713106962736,-1131.0726746589366,-1097.238582941533,-1139.8692121562135,-1130.597270356918,0.20,C,high
-1093.6416071068068,-1145.1413218166847,-1158.6736786653396,-1093.6331380993602,-1146.4733906596891,-1159.3407287803893,0.20,C,high
-1095.632377533899,-1112.1600334341683,-1105.2648446361252,-1094.4316078187896,-1111.6714456638563,-1104.4604116303212,0.55,H,low
-1096.1339581821446,-1130.0937361815736,-1142.5763132244574,-1099.931445747967,-1129.6950250834484,-1141.966119462951,0.00,H,low
-1097.6004200538528,-1217.7956144912007,-1216.2046715668082,-1105.4015803255813,-1202.2556047797952,-1210.093533694871,0.20,C,high
-1095.6126470059298,-1128.376702333203,-1145.8766470826797,-1094.00771341652,-1126.7937250559728,-1143.8883412808875,0.55,H,low
-1093.640133177811,-1148.5810040123836,-1160.1767112838481,-1096.2304968511294,-1148.1195395199818,-1159.6406294865124,0.55,C,high
-1093.9293237366967,-1102.2664461035565,-1111.6318380262305,-1093.9375828747325,-1101.745292628276,-1111.2999634144926,0.00,H,high
-1092.9570017704718,-1106.925977422085,-1109.536329537984,-1091.5485451748998,-1105.9044084983218,-1108.5428558707365,0.75,H,low
-1094.5441009941376,-1114.6021492008445,-1135.6911065017052,-1093.788716844552,-1113.0654856638698,-1133.9196461880827,0.55,H,low
-1093.1461294162089,-1136.9509741007196,-1154.4226368759798,-1093.1384440418813,-1136.6505047271135,-1153.7456318959598,0.00,C,low
-1094.4870708241797,-1119.6516146944582,-1111.0267710213714,-1093.999101728706,-1118.0437799917468,-1109.5890376549153,0.75,C,low
-1096.1280208997987,-1163.1584231385236,-1143.3788879316794,-1093.9272008079001,-1160.4167991622442,-1140.8392465085856,0.55,C,high
-1099.573498433015,-1132.573131865446,-1137.79125843701,-1096.473640548931,-1128.4058704236093,-1133.3439655488899,0.55,C,high
-1095.1686284663667,-1201.4822671569482,-1228.2307333543044,-1100.1282942581158,-1202.5285572117716,-1228.4433882191338,0.20,C,low
-1094.023854676244,-1189.6373575342193,-1193.4825331867603,-1093.986707996131,-1188.3393738472196,-1192.0410850239782,0.55,C,low
-1092.222217734371,-1096.9979888708942,-1102.053576083042,-1091.4790342531207,-1096.1963130513072,-1100.9696462542527,0.75,H,low
-1095.1735762638477,-1104.309899128684,-1102.8507683490132,-1093.848421784116,-1101.0876646094262,-1099.700265211685,0.20,H,low
-1094.330273429009,-1154.9316023559916,-1153.9646851295236,-1097.097059608304,-1153.8143263649067,-1153.3360768181315,0.20,C,high
-1093.5830304166404,-1111.5561388536275,-1099.2176931070521,-1094.1445481099695,-1110.873848896346,-1098.8849540343476,0.00,H,low
-1093.6749824934545,-1174.1864957598748,-1203.9984572224596,-1096.9059808720292,-1176.5736507992913,-1145.326490198853,0.20,C,high
-1093.8031109097305,-1107.2190540548158,-1117.26520028217,-1094.108353235219,-1106.6962404691194,-1116.393793425482,0.00,H,low
-1095.648657029395,-1111.6361047654932,-1107.1298587986955,-1095.8497595178706,-1110.4614757717286,-1106.2492096361918,0.35,C,low
-1094.4035459967245,-1113.1671060094936,-1107.3576605032965,-1092.9903447864494,-1111.4176120544457,-1105.74590160807,0.55,H,low
-1092.9633445482025,-1102.7512420622352,-1098.1332941420083,-1091.50994078489,-1101.2896733719926,-1096.7656803556745,0.75,H,low
-1094.7174418620943,-1115.8671325427188,-1115.1467885517948,-1093.6583917262303,-1115.0186629531695,-1114.010593667393,0.35,H,low
-1094.3165266472379,-1093.7370845477867,-1094.0173960924901,-1092.7362421008634,-1092.2994219516158,-1092.5023695445875,0.00,H,low
-1095.7609758207525,-1130.3265173069187,-1118.149003619891,-1099.0268472548996,-1129.8957216807,-1119.3170289201196,0.00,C,high
-1095.7865352030237,-1142.2600253064932,-1140.339908076902,-1099.92971731094,-1145.9897181329961,-1144.7401803246125,0.00,C,high
-1094.4388816437463,-1254.7188430003878,-1209.119854446451,-1101.4572443742295,-1257.1284535456175,-1286.0765441526974,0.20,C,high
-1093.1158042121822,-1098.31877063262,-1097.9586070853143,-1093.3453860287696,-1097.2488881004983,-1097.1153812613568,0.55,H,low
-1094.662605864928,-1185.8730102044776,-1175.1791617537126,-1101.2759490487463,-1185.9753429893747,-1175.8171526442447,0.20,C,low
-1095.9259711637908,-1196.7467762489537,-1179.0819224241404,-1100.8970734109807,-1196.8986652484587,-1179.1278367826533,0.00,C,low
-1093.9707642895366,-1109.7131925805575,-1103.3127848243846,-1093.6980560726404,-1108.1459824862056,-1101.9644360018094,0.20,C,low
-1096.9226631240629,-1120.4449343404965,-1113.6846313156493,-1096.7087320869077,-1118.2490602670725,-1111.728392319079,0.20,H,low
-1093.8737431889026,-1099.121215907218,-1109.8118349759875,-1091.8168288435404,-1097.99645608151,-1108.2822381708884,0.75,H,low
-1094.9941907292614,-1095.445301570017,-1097.6211277843556,-1093.2350147874909,-1093.7343765927578,-1095.780729413348,0.35,H,low
-1099.778786136109,-1109.7041942358892,-1107.907795926519,-1096.3640442293122,-1106.4660803570387,-1104.4177936948759,0.20,H,low
-1092.8581930201565,-1096.8823360155668,-1095.2484079607311,-1091.5478833817554,-1095.4847615029205,-1093.6694608958926,0.75,H,low
-1092.9762899309774,-1110.5368400214365,-1119.6483846610324,-1092.546728255483,-1109.7100408631547,-1118.8767145541656,0.35,H,low
-1094.7022883043483,-1109.579674998489,-1104.120468197689,-1095.0240819795602,-1108.3799144540505,-1102.753537688814,0.00,H,low
-1094.5834441565391,-1104.0498312262966,-1096.1406967088935,-1091.9136052553627,-1101.4738504937322,-1094.0306615951192,0.20,C,low
-1095.568055572997,-1099.52341599355,-1099.6549776743054,-1094.71136131233,-1097.3100440978026,-1097.3432591054104,0.75,H,low
-1092.782374592825,-1103.9808945723637,-1103.1414049541509,-1091.9244285832501,-1103.182203884347,-1102.2939268466123,0.75,H,low
-1094.6708968223124,-1108.3674384310161,-1108.8789418151262,-1093.6887480386881,-1106.2482605939754,-1106.6146119741825,0.75,H,low
-1093.4916700189742,-1093.9180900061453,-1092.6830880659031,-1092.2814353369138,-1092.5811369398027,-1091.516995533821,0.75,H,low
-1093.8683570954208,-1096.1984261345096,-1098.3355637833736,-1092.6436170218697,-1094.8108291562978,-1096.7486308321859,0.35,H,low
-1093.7573304188572,-1124.565031551082,-1166.5760817771445,-1095.0689583265457,-1125.484675949119,-1166.6069809678713,0.20,H,low
-1094.679964417392,-1132.5764178731768,-1145.1721026619384,-1096.915487334824,-1132.4135035136228,-1144.479375787237,0.35,C,high
-1096.434192120385,-1112.6362425396956,-1116.1327259775305,-1098.0720633557137,-1111.9885743765672,-1115.4255436053934,0.35,C,low
-1093.9714156953821,-1114.6142138038608,-1108.2956472958456,-1092.201666371229,-1112.500565446403,-1106.483680776145,0.35,C,low
-1093.5700117876058,-1109.5607425612702,-1126.688317942742,-1094.1751424851104,-1109.0763909889745,-1125.7921690730532,0.55,C,low
-1094.1762252115836,-1112.5704064392535,-1123.9341013038536,-1093.2828825788179,-1111.9201454167141,-1122.6538094390337,0.55,H,low
-1095.4845304683463,-1111.8079941530086,-1109.8459386373916,-1095.7440485933134,-1109.7572629025465,-1107.967371642827,0.35,C,low
-1095.7854612032675,-1175.9031952149544,-1199.0886932660455,-1098.4526439319748,-1176.6636382613547,-1199.4132301170407,0.00,C,low
-1095.9007867636267,-1147.163315705044,-1161.4738046820096,-1098.4912232979225,-1146.699640647681,-1160.8712839575796,0.20,C,low
-1093.9026359171198,-1142.7997520055035,-1155.570271886945,-1094.2866848960712,-1143.0556000839993,-1155.706773211813,0.55,C,low
-1102.2848314333473,-1112.7594794135844,-1107.929076366296,-1098.4764883787718,-1108.9199470727,-1104.0592594057405,0.35,C,low
-1094.7092663606115,-1098.5324613682355,-1098.7176631304299,-1093.193780386216,-1096.3800959012278,-1096.4985191219691,0.75,H,low
-1095.3726415850197,-1112.7485520270645,-1115.1515704435906,-1095.203642677218,-1111.189560839047,-1113.4941930084249,0.35,H,low
-1095.982006005746,-1114.6769603623338,-1112.0746778481516,-1095.8266863306467,-1111.9967130540556,-1109.6852265192385,0.35,C,low
-1095.8104950981594,-1107.0441547882276,-1104.8654924179248,-1095.067166089877,-1105.221183422478,-1103.054731089428,0.35,H,low
