C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1185.8060211285754,-1198.6301282907425,-1194.8615967514372,-1186.3349481298756,-1197.1889957584924,-1193.8428720876618,0.75,H,low
-1185.6531622956584,-1233.3949398387451,-1249.245517669346,-1187.091668441682,-1232.855202168931,-1248.3802403494012,0.00,C,high
-1188.4093356019828,-1224.2062559216952,-1214.7348343277035,-1187.318955017165,-1222.9177239228666,-1213.7546325344167,0.75,C,high
-1186.0055074985798,-1190.876024883592,-1187.4364676727866,-1184.5162004154893,-1189.1388569433864,-1185.9708134569553,0.75,H,high
-1185.6895407589323,-1192.0665685500496,-1192.9757346043723,-1183.8221174436242,-1190.6561098560321,-1191.505056785831,0.75,H,low
-1185.297368746586,-1208.5079525773926,-1211.5254326012414,-1183.11540878059,-1207.4131525955743,-1210.242296108552,0.55,C,low
-1187.501016208891,-1188.8872118918146,-1193.1260129584475,-1184.3933423300437,-1185.3461530423804,-1189.5810101298646,0.75,H,high
-1186.4167351426356,-1188.4888694427495,-1187.5770087754715,-1184.1393105691177,-1186.102120590703,-1185.1293673228818,0.55,H,high
-1186.8917517136476,-1232.0939096560332,-1209.1996005066376,-1190.6086208023185,-1231.5617253318603,-1208.9112042514248,0.00,C,high
-1185.3108185894696,-1198.7921566176904,-1191.8309835524713,-1183.336686505708,-1196.7585622150802,-1189.9906970132681,0.75,C,low
-1185.3156683901716,-1204.193292593965,-1189.7192358103039,-1184.274954826398,-1202.6713248915203,-1188.8639788753994,0.20,C,low
-1184.2995904132247,-1200.46574135584,-1190.8622179936951,-1182.522069536309,-1198.892752601192,-1189.7010067889842,0.35,C,high
-1183.0483717142718,-1200.8714855174576,-1197.5319740224484,-1183.1192484750889,-1200.6153863701857,-1197.2892484355862,0.20,H,low
-1183.7495070241919,-1230.3879206286024,-1222.7695484015505,-1183.7539005672477,-1229.925543511646,-1222.607614820005,0.00,C,low
-1187.8529914646638,-1243.1393087533347,-1257.6229534398606,-1194.6270737418129,-1242.54919738492,-1258.0175135709721,0.00,C,high
-1184.6636364024664,-1192.9194150348728,-1193.3375624050361,-1185.6586989086884,-1191.720308609209,-1192.0207616193059,0.20,H,low
-1186.3494729439253,-1186.5073877910002,-1193.1798206226233,-1185.3930951620582,-1185.7030066466518,-1192.1707226651786,0.00,H,low
-1184.116295886075,-1185.7337272069215,-1189.3505591010771,-1182.8022460270433,-1184.043265100602,-1187.6085053021184,0.55,H,low
-1184.5610243895946,-1190.5615196468184,-1189.749802707525,-1183.7326138831259,-1188.9992994206564,-1188.0183691169168,0.20,H,low
-1185.4928650052052,-1227.019095284094,-1217.788072978416,-1187.9822117337017,-1226.4847127368093,-1217.3901445432457,0.20,C,high
-1184.5149776096766,-1233.286624209049,-1246.1361947697544,-1184.4750038484385,-1234.5887806487133,-1246.8081198318162,0.20,C,high
-1186.2101834595971,-1200.7695429974567,-1193.82726956288,-1185.0954633103713,-1200.3423968562909,-1193.13627839041,0.55,H,low
-1186.805890394487,-1216.9873961984226,-1229.1582299090196,-1190.2064729625415,-1216.6327418407832,-1228.5795033141728,0.00,H,low
-1188.0743645017362,-1282.1596449930912,-1288.956124335048,-1195.2983558299413,-1275.1715417540468,-1284.0767850255297,0.20,C,high
-1186.2650402868026,-1216.7629197581562,-1233.4096579401144,-1184.6351950667358,-1215.1743648329257,-1231.3846829179001,0.55,H,low
-1184.5124436952826,-1235.0764793976111,-1246.5596243485213,-1187.0691986863562,-1234.6892585482824,-1246.0956522596996,0.55,C,high
-1184.6840546856445,-1192.265883856099,-1201.5774953612229,-1184.7577702038664,-1191.853236903074,-1201.3371376304035,0.00,H,high
-1183.8862057915683,-1196.9037207283686,-1199.1849724581891,-1182.5174549262372,-1195.9372569809161,-1198.2483297486008,0.75,H,low
-1185.3372543922735,-1204.3434676494496,-1224.2658363285143,-1184.6765441294592,-1202.9423894184097,-1222.6396103772377,0.55,H,low
-1183.9282668416358,-1224.9598310139907,-1241.562556365503,-1183.9683742421366,-1224.7344143101282,-1240.9091897586281,0.00,C,low
-1185.1323549291376,-1208.852690529725,-1200.6533257554472,-1184.7699278332204,-1207.4263049362269,-1199.3817721174098,0.75,C,low
-1186.9048213428105,-1250.7073759174182,-1231.9264010014306,-1184.9071867152834,-1248.1819075242643,-1229.590795763065,0.55,C,high
-1190.2747703598152,-1220.5513835537733,-1225.4884500126584,-1187.0726579605425,-1216.4840075897412,-1221.0714505557412,0.55,C,high
-1185.956296783721,-1286.3384439129861,-1311.62052622675,-1190.8604755997735,-1287.4540824028825,-1311.9249408755118,0.20,C,low
-1184.8972931249239,-1275.8716362224636,-1279.5016303706927,-1184.900874947816,-1274.721419078425,-1278.2133028263327,0.55,C,low
-1183.1974378903285,-1186.9807355706268,-1191.4285742321429,-1182.520510235968,-1186.2661343263676,-1190.4395959243807,0.75,H,low
-1186.0356103378117,-1193.636628827357,-1192.323256742909,-1184.5460787557527,-1190.5451480661955,-1189.3060433302749,0.20,H,low
-1185.1438144695883,-1241.8054674217856,-1241.3930034147552,-1187.7906647937732,-1240.7561317396658,-1240.798525179719,0.20,C,high
-1184.4005575044607,-1200.6251411478584,-1189.058256673655,-1184.7826745489444,-1199.9647961554767,-1188.75490431953,0.00,H,low
-1184.4692832172104,-1259.4214870206874,-1232.329621611588,-1187.372490148176,-1261.6644883626327,-1219.3558943042096,0.20,C,high
-1184.6599832956404,-1197.088501017032,-1206.6270806613852,-1184.911912365647,-1196.6412586163608,-1205.8328218351598,0.00,H,low
-1186.4328606398085,-1200.2609146767156,-1195.9627360724214,-1186.4151231703825,-1199.1136577734787,-1195.0859450712842,0.35,C,low
-1185.1997310127822,-1202.5354001976955,-1197.1722998654234,-1183.818354528688,-1200.9207847088046,-1195.68100017401,0.55,H,low
-1183.8752652653882,-1193.1026010397302,-1188.6264333698748,-1182.5085739847602,-1191.7262001896966,-1187.3663329973144,0.75,H,low
-1185.4887159747077,-1203.8270743961066,-1202.8807134654598,-1184.5619892043876,-1203.1285042323625,-1201.9027299786953,0.35,H,low
-1185.0896198011005,-1184.5032673017529,-1184.7397146523192,-1183.636003275492,-1183.181113489343,-1183.3622574269018,0.00,H,low
-1186.4170424024755,-1213.1068190797137,-1204.517254596978,-1189.437268538094,-1212.7313255034924,-1205.6369939649378,0.00,C,high
-1186.4267063568852,-1230.4526047500844,-1228.6195293563933,-1190.3869563760122,-1234.1181327299773,-1232.9768844434464,0.00,C,high
-1185.333663162045,-1268.6680229638162,-1267.3193979769862,-1192.3527251758992,-1339.9410883141516,-1285.8942176969113,0.20,C,high
-1183.9811141252642,-1187.9051555829446,-1187.981576365799,-1184.026566221722,-1186.888837754869,-1187.1505960725983,0.55,H,low
-1185.528167258321,-1260.9696370063823,-1251.60702090799,-1191.6995648938855,-1260.8703778144838,-1252.040293623163,0.20,C,low
-1186.632288590578,-1281.1708076783204,-1263.615840493649,-1191.4367734611285,-1281.4094635467989,-1263.7575346374695,0.00,C,low
-1184.8235551189707,-1199.0093013444243,-1192.9953059536867,-1184.6041933573608,-1197.5482266127403,-1191.7440724954192,0.20,C,low
-1187.2932832842996,-1206.6577283528777,-1201.2518307209543,-1187.2528283188763,-1204.7406042323225,-1199.5497808577204,0.20,H,low
-1184.7400712570743,-1189.741142972393,-1199.8295764165848,-1182.799710106829,-1188.7121899366114,-1198.4219072205444,0.75,H,low
-1185.7541175005233,-1186.0356542547509,-1187.9787817556241,-1184.1215309683682,-1184.4836702652033,-1186.2962194796235,0.35,H,low
-1190.4996176527034,-1198.177238439906,-1196.986239949301,-1187.0779696838053,-1194.9553874057726,-1193.5000026223267,0.20,H,low
-1183.8036651776226,-1187.4882231346362,-1185.627036111215,-1182.5363624076047,-1186.1648165010722,-1184.1357539716535,0.75,H,low
-1183.8127339149885,-1199.6934205445536,-1208.5624177037646,-1183.4234418004783,-1198.9599451966553,-1207.8644654207928,0.35,H,low
-1185.5185929099312,-1197.76087981516,-1192.9979768835494,-1185.8146129461052,-1196.6251920884624,-1191.7013508496689,0.00,H,low
-1185.4233764735957,-1194.3547081120898,-1186.788882575083,-1182.751753491696,-1191.829326520054,-1184.7362291421161,0.20,C,low
-1186.2795162695677,-1189.379088943101,-1189.2769641015832,-1185.3577931739155,-1187.3736445188995,-1187.1955880522212,0.75,H,low
-1183.635586766969,-1193.5278167760196,-1192.3950977726195,-1182.8754970199172,-1192.8013943504593,-1191.6323842022643,0.75,H,low
-1185.5356086115537,-1198.3100481270124,-1198.7230889362424,-1184.4986517319494,-1196.2480272974442,-1196.5307898273863,0.75,H,low
-1184.3610358532228,-1184.6079067917738,-1183.6260282362157,-1183.2369100215142,-1183.3820410957742,-1182.552538262387,0.75,H,low
-1184.6249701911477,-1186.4644931224682,-1188.2330472029787,-1183.552218834396,-1185.2508808346945,-1186.8258986198455,0.35,H,low
-1184.5116326506068,-1213.0551792086894,-1252.6796963193085,-1185.6091477595878,-1214.0171971551795,-1252.7479127368383,0.20,H,low
-1185.4928592630063,-1220.2013094124723,-1231.8809469363564,-1187.5709248588173,-1220.0970253593578,-1231.2247582577204,0.35,C,high
-1186.9657649122087,-1199.2435420951444,-1202.2762124696922,-1188.446958262213,-1198.6988614026868,-1201.6647335699115,0.35,C,low
-1184.9219541916475,-1202.7049863934415,-1197.0513312013375,-1183.1983121852065,-1200.632048352316,-1195.2725895087035,0.35,C,low
-1184.4417090099994,-1199.2904853401499,-1215.6975664058368,-1185.0278229632436,-1198.8911332805321,-1214.8769784283777,0.55,C,low
-1184.867142962706,-1200.3414064654776,-1210.7065629018243,-1184.0715739435084,-1199.7378991169128,-1209.4956925941235,0.55,H,low
-1186.1213294532042,-1199.068374519363,-1197.5202123780382,-1186.2994732322622,-1197.1271414962353,-1195.7698211114125,0.35,C,low
-1186.5422834698477,-1262.1453813274632,-1284.4354217305633,-1189.057051718935,-1263.0316840808048,-1284.8906208904384,0.00,C,low
-1186.6124218471955,-1234.4778786686118,-1248.3253552958843,-1189.0614018499798,-1234.102606344486,-1247.741514728939,0.20,C,low
-1184.8029914024603,-1230.9095416232326,-1243.0450063790497,-1185.185382882826,-1231.1925244459005,-1243.2597607418365,0.55,C,low
-1192.5512506010282,-1202.1142534400265,-1197.3477344775827,-1189.0784925433318,-1198.6744352598985,-1193.9039455053237,0.35,C,low
-1185.4089342670052,-1188.7577163165622,-1188.8653122933897,-1184.043153281414,-1186.8604548125693,-1186.8958728885505,0.75,H,low
-1186.094606300368,-1201.8090706070934,-1204.2174695080612,-1185.8839652822608,-1200.3488088165004,-1202.6446647436562,0.35,H,low
-1186.7387058243144,-1201.709219826755,-1199.6771630750823,-1186.5996828607574,-1199.166179176733,-1197.4166193781004,0.35,C,low
-1186.4067383411757,-1195.9381586873292,-1194.242329150764,-1185.6290449172295,-1194.2288662292988,-1192.5542826239143,0.35,H,low
-1186.8151167398044,-1191.833277736095,-1191.9040066398497,-1185.337276995213,-1189.4899502475419,-1189.677184559682,0.20,C,low
-1184.8210831344275,-1246.822418687458,-1239.0762030097158,-1189.095147091036,-1248.117415315696,-1241.2891813759861,0.00,C,low
-1188.3544958381738,-1205.9235111814316,-1209.182940831714,-1185.845008144117,-1203.8695982020604,-1207.1605138805226,0.75,H,low
-1186.8476721675243,-1208.6295131564755,-1192.1556503786333,-1185.957218131624,-1206.3634601228005,-1190.4215056056048,0.00,C,low
-1187.1609512489679,-1214.6764323434104,-1214.4116140140152,-1189.702725820045,-1214.5198447825553,-1213.0760124088824,0.00,C,low
-1184.425993206208,-1215.2821099631608,-1238.6090441879903,-1185.9091364281094,-1216.0653786096318,-1238.2997564961163,0.35,C,low
-1185.1770581691333,-1211.6685823691123,-1199.455841928436,-1185.6155721832197,-1210.686441550758,-1198.969154259903,0.35,C,low
-1183.830801211263,-1195.424894194727,-1201.0171369274215,-1183.4456931274965,-1194.5636770136916,-1200.1428306286632,0.35,C,low
-1188.7190695413622,-1209.018546666248,-1219.2665123794948,-1188.2868565887186,-1207.5737477346277,-1217.460578801438,0.55,H,low
-1185.716128538761,-1188.2446535132244,-1193.4236655227567,-1185.629835099713,-1187.1185883928058,-1192.239819666765,0.55,C,low
-1185.0718491776938,-1188.2260231995826,-1201.8036162341136,-1184.5152590411114,-1186.9363951463629,-1200.303180141728,0.35,C,low
-1184.607441018928,-1198.0572899226258,-1193.717302931859,-1186.1858917632617,-1197.761094133442,-1193.1314396299733,0.00,C,low
-1187.0597132270013,-1193.8984688093926,-1189.0435490866,-1183.6342069360576,-1190.4190865323264,-1185.6900610938824,0.55,H,low
-1187.7191112596431,-1193.590791438862,-1200.4784516220745,-1187.097049559182,-1192.2057122985395,-1198.9393492641418,0.35,C,low
-1183.9998129426726,-1194.1466158711064,-1196.1423604434156,-1183.9598400322534,-1193.0104884286782,-1195.0203443527305,0.75,C,low
-1186.1048908786233,-1186.6285424399043,-1186.1919487582509,-1183.5315941284164,-1184.1133012186028,-1183.6738747478514,0.55,H,low
-1188.1298900972624,-1205.8044131753625,-1213.5664669045414,-1186.3236345269038,-1201.7268559339727,-1209.292458417867,0.55,H,low
-1187.9376960125182,-1190.5005919817581,-1188.9952679534251,-1184.0881332184174,-1186.325992789425,-1184.892275377592,0.75,C,low
-1185.2537927688654,-1195.0046548387886,-1194.8545447642343,-1185.9577705135487,-1193.577527248074,-1193.430445689435,0.35,H,low
