C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-453.27469482545837,-505.68361749848225,-490.8212727415129,-453.28267123184753,-502.86301895461486,-488.4448385178379,0.75,H,low
-454.79959012014916,-536.6308364289092,-553.455032648892,-456.7983048571184,-534.5653449023342,-551.2297377259151,0.00,C,high
-458.14482461585663,-514.9061050569691,-506.2161185125217,-455.43334615849005,-511.3461339557127,-502.84335972983945,0.75,C,high
-454.3466714341828,-469.3023353539405,-463.76417024702096,-451.8644317487643,-465.52003874910116,-460.46865357594106,0.75,H,high
-454.1482713569353,-476.2926217686033,-476.45039129610296,-451.540984413804,-473.24206340340794,-473.8057130545237,0.75,H,low
-451.3467816554956,-483.64770326004555,-486.20801097074036,-448.07866977629516,-481.5282108376414,-483.95530478281853,0.55,C,low
-456.0023987412999,-463.1074081686195,-466.9436735299628,-451.69345573905514,-457.28593118510304,-461.00508315838937,0.75,H,high
-453.5930573421229,-457.99515925607176,-458.9207874408681,-449.8965680134789,-454.05528604604433,-454.76259349585,0.55,H,high
-454.64412558484815,-569.0966625736831,-546.7061479573698,-462.6516068437409,-568.2668878993574,-545.9791860807777,0.00,C,high
-451.69182384020877,-481.53976534300415,-465.524061413911,-449.3835816429394,-478.3404616457461,-462.8367376020272,0.75,C,low
-453.6191310152925,-480.91344492581976,-464.58066253453234,-452.74987320318604,-478.3963430361285,-462.73060992761305,0.20,C,low
-451.7236978133309,-475.55916518676906,-463.9047298517108,-449.40138833503624,-473.19154272870594,-461.8647316597269,0.35,C,high
-448.31040871825326,-480.2626016504576,-475.33340950724437,-447.98046605779774,-479.14667398907466,-474.15978032815804,0.20,H,low
-450.56058147195586,-534.3570020233045,-516.6719348200473,-451.7636157924761,-533.9921154236015,-517.0670600632166,0.00,C,low
-456.5480364704444,-655.8551115343784,-632.3764656680572,-466.2140916480956,-655.5818336430511,-633.3134257470293,0.00,C,high
-450.6501316457084,-495.2421246039584,-499.90680777041894,-453.79648854078545,-493.9433980196953,-498.15865754380565,0.20,H,low
-455.11971595975155,-458.6785348508275,-476.4621116784262,-454.8159197240451,-456.84637483056014,-474.1612662536114,0.00,H,low
-450.6348628240545,-460.1198908343839,-463.9562502315311,-448.72880727198464,-457.01682692219515,-460.7304282247023,0.55,H,low
-451.08825544552843,-470.6499075068938,-474.1764529035669,-449.2003636900087,-467.619669081855,-470.85062988571906,0.20,H,low
-453.581273274959,-531.2494872336058,-523.8710171487096,-456.0412916212111,-529.6975278424084,-522.4382264266785,0.20,C,high
-451.09939268199474,-519.5207253590127,-536.4165348983503,-451.9807010075037,-521.2162582873727,-537.2379046236805,0.20,C,high
-456.0938884187054,-489.6257209023453,-486.12569824363186,-453.814996708223,-487.66627248170704,-483.7411633170352,0.55,H,low
