I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-743.5371412933205,-917.8550886242278,-795.1631938729971,-918.3330702819192,-788.3200389036275,-799.165468179059,-920.2207855860391,-792.7353706336743,I,H,high
-744.5624026388505,-824.2801498724116,-742.8995221120034,-813.2597836337751,-802.2701017870039,-750.9350046648213,-812.9933202660835,-802.7720940084284,I,H,high
-748.6684522312232,-809.8295852546008,-739.9286891832066,-807.1782077080333,-793.4364254101442,-747.8022827404587,-806.297547216048,-793.1149548037847,C,I,high
-746.4146700224294,-941.3310865791157,-810.6849874940432,-893.6900031701406,-854.9028897486135,-815.5506641381986,-896.6230999050092,-858.5797080851586,I,H,high
-744.8405382786187,-728.4520425581845,-737.0591996633743,-736.7042955779987,-738.3138499502568,-731.3922370045701,-730.998856991373,-732.7335847669976,G,G,high
-742.4081571538719,-847.777311484471,-734.0914516755646,-803.942578449744,-852.3402914388946,-737.0018333504341,-805.0863353103254,-852.7289847041029,C,C,high
-742.5773478902877,-995.012105942582,-735.9067956980922,-962.703867567445,-924.565246455855,-741.9836670558024,-963.8530009909346,-926.4691983368899,C,C,high
-742.3930581397738,-728.7178688688452,-735.8994159259215,-735.9669201186788,-737.3528033041473,-732.3747212229747,-732.4540215128618,-733.8128519605999,G,G,high
-742.2140162206432,-741.4458718128503,-737.3462378243238,-746.3658837208394,-743.2053374869023,-737.2015384170942,-744.4999982054198,-741.6449528189578,C,H,high
-739.6413060403092,-727.5573879833521,-733.8862736812624,-734.3689614133696,-734.0387091909815,-731.2874519617236,-731.7078918979015,-731.4242328314655,G,G,high
-738.9895621374714,-727.2051891002718,-734.2780136004935,-736.1571201831383,-734.2503615124426,-731.9167101722185,-734.0188630930412,-732.2611765379992,G,G,high
-744.3290350174794,-868.9280355819205,-799.9004024415701,-868.1165544592202,-759.1114289848243,-801.1151872904109,-866.1222355899603,-762.0483579896636,I,I,high
-741.0354856301547,-727.6195327995066,-733.5725119082525,-737.0733911761754,-734.3744309160123,-730.605643551328,-734.1315829009444,-731.3196022513013,G,G,high
-744.3490730438514,-729.6151787720572,-738.1444348492022,-739.1718642291509,-739.4104943368761,-733.5161930293905,-734.7080818280089,-734.6529930771445,G,G,high
-740.0702527904906,-727.4051993450374,-734.6906255724738,-735.3089064907302,-735.2959705881659,-732.0971063437718,-732.852193999648,-732.7157587299516,G,G,high
-744.6372007468905,-729.1399293414805,-737.4597602090782,-737.8857609132727,-738.0508176557552,-732.6972245985773,-733.0135980301748,-733.2401434660861,G,G,high
-739.6448406353102,-727.5587981999856,-733.8888096764695,-734.3714633482044,-734.0412383848491,-731.2894141883002,-731.7098244191873,-731.4261848325024,G,G,high
-738.5558991767534,-755.0174472219578,-745.5300906717356,-736.3237701454815,-762.1690810815944,-744.8976861648134,-735.7777954591439,-761.0599380674888,I,I,high
-740.8476512535378,-823.5979695781963,-764.5535092825835,-824.1186951872187,-758.7844962661693,-768.8297657361131,-823.5902540468392,-764.1364523885184,I,C,low
-741.8434983995194,-737.5253416237057,-737.6673223540731,-742.1311919830493,-743.8335234979088,-735.0906303176585,-739.5100996492293,-741.1235099772756,H,C,low
-741.0347869744633,-727.6157665591304,-733.5696866871207,-737.0725395484978,-734.3708643940721,-730.6007833496191,-734.1285649752431,-731.3137213603048,G,G,high
-741.6978874570518,-842.4051257330907,-779.6873107320304,-814.6548742603211,-810.8051760484564,-781.8392692424147,-817.7138335688759,-816.8249785657094,I,I,high
-739.635830124782,-778.3045097143076,-734.0712662695012,-782.2632071558622,-768.5180134202004,-736.743202425705,-781.7886846972262,-768.3558751282224,C,H,high
-744.7296270282343,-863.457759783439,-735.9882839571266,-834.2132984194081,-836.404154567343,-742.3559528817414,-834.7137668979077,-836.9749253817498,C,I,high
-744.8957537411186,-770.3268939170838,-735.585221337185,-772.5224175739843,-776.3825253369814,-733.9335379512238,-770.1195813913669,-773.6325570143581,H,I,high
-738.6129920200243,-821.3153875806398,-808.854253798412,-752.0994648323305,-784.9461018349504,-808.7205062579624,-754.6151093866192,-785.9962692085527,I,I,high
-743.6319740977746,-846.5095680071603,-745.0670753659401,-954.4706404069497,-957.7901599450648,-750.9705586274671,-960.083442793008,-963.0103295961485,I,C,high
