C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-520.3407646805545,-549.2789918625413,-541.2839570961083,-519.6691177790523,-546.9596409960806,-539.1918974832101,0.55,C,high
-520.0101227922714,-578.4159088746768,-562.8489395668781,-520.2500010296503,-576.7956602268871,-561.4975424039701,0.35,C,low
-519.2473491360843,-596.3178456182592,-607.7761987403765,-520.7487890744698,-595.3817640008848,-606.9055806999803,0.00,C,high
-519.4197333722708,-690.9854940109622,-656.9459137266035,-520.6747559263144,-692.562930173379,-659.4634670599387,0.35,C,high
-523.6520797613936,-541.7791992006448,-543.7360211733233,-521.034551186563,-538.1903477578948,-540.4459179938508,0.75,H,high
-521.2515192357464,-538.822502992472,-544.9554181330369,-520.8585249037525,-536.2869217112469,-542.4728303839106,0.55,C,low
-526.5558657378194,-529.2882573578148,-535.7109937248473,-522.9935339839539,-525.6769041890842,-531.7167229507115,0.55,C,low
-521.77793214682,-545.4088500628999,-564.8926913325637,-522.2920388571775,-544.4926537520585,-563.1780557400213,0.55,C,high
-521.0565391466637,-553.466875884238,-559.0558053001828,-521.677356433842,-551.2408150676675,-556.7044934703808,0.35,C,high
-524.6156524986661,-545.3319323301555,-545.6060664688953,-521.848931493619,-540.1606371728974,-540.3562087870912,0.55,H,high
-529.1973981569258,-825.6604078203792,-934.5144139350515,-549.1915120047759,-829.4018974907201,-935.506197951162,0.00,C,high
-520.1187090261923,-547.8262575460976,-535.7967936747252,-520.033876823234,-545.9194114227732,-534.6499278574865,0.00,C,low
-522.3515162785334,-529.2605389890709,-525.0892544811093,-518.5899407066236,-524.5986261939872,-520.7805952691425,0.75,H,high
-520.4864548795027,-523.2256181565433,-522.4103997283418,-517.3947277262167,-520.0761906576286,-519.121264767754,0.55,H,high
-518.7263660845534,-553.1170687425338,-554.5704858756918,-519.2168966966441,-552.3110309973034,-553.6312973510795,0.20,C,high
-520.7556441518684,-562.6099058186896,-560.023714829205,-521.711830466997,-561.3490521401799,-559.1598451186121,0.20,C,high
-519.7792759672751,-604.2072314193238,-600.0674086327014,-519.0402936363762,-603.1145544842949,-598.8446951946289,0.35,H,low
