C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-1117.953781628918,-1135.3537148189596,-1131.208177937366,-1117.8482447843903,-1134.2520506238172,-1130.4273471164158,0.55,C,high
-1118.1478033079395,-1166.0769225709853,-1147.549901028563,-1118.4672162297593,-1165.118999207613,-1146.8706397065778,0.35,C,low
-1117.0828374399912,-1175.2974841607481,-1187.202774860122,-1118.3420442858937,-1175.087951858807,-1187.0474834791482,0.00,C,high
-1117.9794938997122,-1177.2762975202595,-1219.7371982957866,-1119.1759204516284,-1167.3537135869249,-1170.754455211952,0.35,C,high
-1120.4407243337287,-1126.2791640842572,-1127.3101814521135,-1118.888004966303,-1124.2230839444755,-1125.3945186841459,0.75,H,high
-1118.5738848513572,-1129.7290542178441,-1136.060630530869,-1117.3702937987364,-1127.8517341080353,-1134.1654560361858,0.55,C,low
-1121.3986926764433,-1123.6895706742182,-1128.5810021585205,-1119.48868884588,-1122.081465023374,-1126.5730231376506,0.55,C,low
-1118.1435305104828,-1131.9209488186227,-1148.3644932439863,-1117.7036567200983,-1131.7072106316443,-1147.625327148196,0.55,C,high
-1118.5901692748662,-1129.5569504300386,-1130.8414932591409,-1118.7276853146557,-1128.3098208575734,-1129.2243285846052,0.35,C,high
-1120.295308861726,-1126.360281937247,-1128.9633895499494,-1119.6152709252135,-1124.6139357407017,-1127.1485126902612,0.55,H,high
-1124.7169741402981,-1182.2428639898092,-1220.4138312626812,-1139.0791055456875,-1215.0330285487707,-1216.009674656893,0.00,C,high
-1118.441039501721,-1130.3680475665683,-1125.662948292177,-1118.3118641200467,-1129.1755065288062,-1124.8734897908867,0.00,C,low
-1120.0670171272761,-1123.4417198791475,-1120.3469826272362,-1116.926888726459,-1119.932042595912,-1117.1953354007785,0.75,H,high
-1117.643893568369,-1118.8065980380122,-1118.8594064137824,-1115.8463377425082,-1117.105966951453,-1117.0014273340857,0.55,H,high
-1116.5163730622091,-1135.2996688774547,-1135.7240596001448,-1116.4143864190985,-1135.3838607739547,-1135.7105670163,0.20,C,high
-1117.5150540749362,-1129.2158796830872,-1129.4641577945765,-1117.9045685509786,-1128.5989617722985,-1128.8950261417551,0.20,C,high
-1118.4048188240095,-1187.7642522241354,-1184.3561304316968,-1117.6412223053,-1187.338620508353,-1183.72771322361,0.35,H,low
-1119.1815564190897,-1150.9033056750645,-1154.3306396189153,-1120.5268608906838,-1151.326944412205,-1154.3497840379518,0.00,C,high
-1121.0831210831113,-1123.1503219657534,-1128.4597752975212,-1118.4044653895007,-1120.9414845036729,-1125.906590691671,0.75,H,high
-1122.3911042787024,-1159.1082615293317,-1140.4882454891047,-1117.2381021411816,-1152.3509759847068,-1133.9271565154904,0.55,H,low
-1122.5553472167953,-1125.3825790936473,-1123.7610389516944,-1119.5000030259332,-1121.6599450984133,-1120.2006471161615,0.75,H,high
-1117.7213069926527,-1147.524644651456,-1134.0820692207415,-1117.880301474561,-1146.6904160098045,-1133.273124128103,0.35,C,high
-1117.8065205400455,-1118.4301925450573,-1117.96786256302,-1115.1116118675168,-1115.7331274504568,-1115.305640288545,0.55,H,high
-1119.0528316140833,-1127.3174920985152,-1131.09798394888,-1118.366505392479,-1125.943021165847,-1129.092099767529,0.35,H,high
-1119.676398562684,-1121.917528888532,-1131.9271809942463,-1118.998483305582,-1120.3043068245395,-1130.2000992655248,0.20,H,low
-1120.301776945583,-1165.1164474088932,-1156.3065992167476,-1125.1910717922146,-1164.7676528340703,-1156.2290004739061,0.00,C,high
-1118.5503610899875,-1120.0473547495021,-1120.5029845638405,-1116.850649523019,-1117.6878033379933,-1118.1751827740052,0.75,H,high
-1117.421109899512,-1132.8246526921994,-1131.5681592199462,-1116.3312702527553,-1131.5673366748163,-1130.3720509079485,0.00,C,low
-1122.4153993435968,-1185.3174982938672,-1176.2324178763627,-1121.115665923713,-1181.7814117413127,-1172.7711716363974,0.55,C,low
-1117.893651257395,-1120.9854959340064,-1121.2087770747207,-1116.7706117101168,-1119.6959978695043,-1119.958114280613,0.35,H,high
-1119.9781449060122,-1170.93082793184,-1143.2122189827537,-1122.491083158327,-1170.1008395967494,-1142.6808855999757,0.20,C,low
-1118.1994590694583,-1123.1960906760198,-1124.9523234146664,-1117.1786036336302,-1121.6043292223649,-1123.3376686366264,0.20,H,low
-1124.4363514739134,-1130.7823679276855,-1123.9466137828433,-1118.0036744494405,-1124.1393120875916,-1117.8822920775874,0.75,H,high
-1119.5925363089736,-1129.0255119785247,-1140.9143237332698,-1118.0455759029,-1127.6605719668,-1138.7913913464508,0.35,C,high
-1118.594629080214,-1131.3075793021073,-1136.0497598580864,-1117.0022378937574,-1129.677005700237,-1134.0619444497283,0.75,H,low
-1118.452929848778,-1130.2052042162054,-1126.4689778203133,-1116.1749345418257,-1128.5946603332761,-1125.0471459357652,0.75,C,low
-1119.8550493549585,-1129.1997467077297,-1128.768544026555,-1118.701203883726,-1126.3385306853818,-1125.769336477368,0.55,H,high
-1119.8896994996992,-1135.7519183399381,-1153.6335045054625,-1119.966711226487,-1133.9437165810673,-1152.0870275555435,0.35,C,high
-1120.4396194878443,-1142.348250456103,-1138.0298397793388,-1121.6501189266464,-1141.6038019782343,-1137.8116459222247,0.00,C,high
-1125.0423581835591,-1128.4353544203036,-1129.5569911696646,-1120.654621732739,-1122.711100770335,-1123.84736560465,0.55,H,high
-1119.4063061654012,-1147.1074959320667,-1151.0425099999923,-1121.1961086613608,-1146.7762146031641,-1150.904320384953,0.20,C,low
-1118.1522120452528,-1129.4224089144116,-1128.0090336700407,-1118.5359463889806,-1128.4049157922766,-1126.957880873785,0.20,C,high
-1118.5443253212452,-1151.3902231973234,-1156.9309643371464,-1120.1342709826704,-1150.6383599765543,-1156.1163232191404,0.20,C,high
-1120.9172421654423,-1121.2409107108006,-1129.3594769405197,-1116.577086578803,-1117.9934478840207,-1125.3201125042085,0.75,H,high
-1117.3262606028125,-1170.2623769016716,-1194.5722515391647,-1118.1691180535124,-1170.7714693715207,-1194.5627986850538,0.20,C,high
-1121.186279574087,-1145.9878462768622,-1164.1180411908722,-1121.9807531110873,-1144.8375610624603,-1161.9074499470998,0.20,H,low
-1121.5653833712297,-1171.1564099012442,-1156.8982297680188,-1118.9907551121034,-1167.942387028178,-1154.2453007137108,0.55,H,low
-1118.1353658883772,-1162.1482061890451,-1154.7378038925926,-1120.7082621481227,-1161.1905281353972,-1153.9366634485016,0.20,C,high
-1117.2751544519206,-1119.1921806944422,-1119.5744976943597,-1116.8707003390514,-1118.0875447182973,-1118.4347299943993,0.00,H,low
-1118.6260584077772,-1163.8081204185391,-1190.4845672358495,-1117.7461088129583,-1164.66798227486,-1190.2766399282466,0.35,C,low
-1118.5217072180196,-1149.2512744400533,-1136.5165190998043,-1117.615747597146,-1148.8192151095361,-1136.2830643196473,0.35,C,low
-1119.6283578859636,-1121.1530215764321,-1122.7049875148396,-1117.21040457086,-1118.6374061313275,-1120.175449369752,0.75,H,high
-1118.2218131343916,-1118.8141039437223,-1121.4413157128085,-1116.7202086903,-1117.3508042335466,-1119.872668842438,0.75,H,high
-1117.5469988187428,-1120.9258366520562,-1117.554226460453,-1116.315538625404,-1119.4164644032285,-1116.0663492820695,0.75,H,high
-1117.696316699129,-1127.8654123504625,-1135.6497594509017,-1116.998534157347,-1127.4702522792184,-1134.968352535378,0.75,H,low
-1119.0585869912754,-1123.8466495444009,-1136.9655821579156,-1116.9396888690458,-1123.0940316457086,-1134.887898936432,0.35,C,low
-1121.1350626269411,-1133.8664752091365,-1127.174500168813,-1121.6747415922816,-1132.483572870083,-1125.6961327356375,0.20,H,low
-1120.9976570601668,-1133.4207044315867,-1130.4476835900975,-1119.1473548869967,-1130.6634761995315,-1127.4612449432814,0.55,H,high
-1116.6445704172256,-1120.8342145038741,-1127.422782114942,-1116.6432644729312,-1120.140560964986,-1126.3338561604426,0.35,H,high
-1123.2146070229103,-1206.3499924260707,-1219.0838324125198,-1129.3251523024621,-1206.9557559553775,-1218.4417050214304,0.00,C,high
-1120.1530263790526,-1184.1361496417944,-1198.5470533547154,-1118.6435245727137,-1184.3917332401884,-1198.208280452421,0.55,C,high
-1117.4069220205915,-1121.6126657196278,-1120.1986201878283,-1115.851474946152,-1119.880441755009,-1118.6963680743115,0.75,C,low
-1117.164997822373,-1121.3893947952408,-1132.356101895182,-1116.38326505651,-1120.200849770807,-1130.895509435669,0.55,C,high
-1120.4306402856992,-1122.9519041899398,-1128.2339981423843,-1119.4663540674972,-1120.768277534358,-1125.9433003693734,0.55,C,low
-1120.215211183784,-1146.0940010701913,-1134.3999090204672,-1119.316773368463,-1144.0269541372973,-1132.4631865378133,0.00,H,low
-1119.241803723406,-1132.78915918081,-1123.8620318976423,-1118.1755971409766,-1131.1366963000155,-1122.7166472939712,0.55,H,high
-1117.5941011963641,-1153.4435504588387,-1165.1536007440527,-1118.7571573711962,-1153.6605632470607,-1165.2320364449872,0.20,C,high
-1117.6104784504162,-1167.2278619282615,-1178.6910589426036,-1120.5285821005018,-1167.3460798505737,-1178.5684091090761,0.00,C,high
-1121.4587879477922,-1134.1664541446391,-1139.9255226731964,-1118.3010401107804,-1129.4431305913147,-1135.1605719701079,0.75,H,high
-1118.3520829169756,-1134.8484896384791,-1160.9163058546515,-1117.8237120945896,-1134.1621372300478,-1159.6582462188323,0.35,H,low
-1125.4461172099334,-1156.8310172179806,-1152.928778130836,-1129.5370609903412,-1154.7394576514594,-1150.914846161237,0.35,C,high
-1119.6972559144426,-1122.0243704511704,-1123.206489080243,-1118.3782370829308,-1119.8753893940886,-1121.1930552169947,0.20,C,low
-1124.7789158618252,-1132.376332315779,-1136.8989978651093,-1118.1292393082358,-1125.4355394950042,-1129.776150475404,0.75,H,low
-1123.0075380225335,-1147.4768769402829,-1141.0672808008194,-1120.8540314630318,-1143.8521364648605,-1137.8390452414721,0.55,H,low
-1116.735817605696,-1132.9338495408676,-1132.1051703568755,-1116.4859349013266,-1133.1267071364473,-1132.0930472425343,0.00,C,high
-1121.0229854262848,-1128.2422673701271,-1125.7810240159276,-1119.6156649575362,-1125.80529142432,-1123.8030404550211,0.75,C,low
-1119.1165232377027,-1176.800137110421,-1172.008160016582,-1121.6560305932162,-1175.7436861831113,-1171.1333161524396,0.00,C,high
-1119.9531267905104,-1126.8556670572573,-1128.2713438235562,-1118.5435319612159,-1124.2509054866002,-1125.5925424783854,0.35,C,high
-1116.8255911340675,-1119.674331487274,-1120.5814094627121,-1115.6883721247113,-1118.1779813340418,-1119.1023183716952,0.35,C,low
-1121.2937415341326,-1129.2005403271992,-1126.4987296054696,-1121.9387169385122,-1127.8070226142759,-1125.1859151658273,0.20,C,high
-1119.2103615445435,-1127.4770712983145,-1133.0207933153329,-1117.8819876887908,-1125.4047309327764,-1130.761163063492,0.75,H,high
-1119.8474184876293,-1215.226744789653,-1252.9537676978277,-1125.3252714061605,-1216.7618719102975,-1253.454025957252,0.35,C,low
-1118.2876307478855,-1128.3275715556672,-1124.845407612641,-1118.8062838224328,-1126.921009851096,-1123.4784643311255,0.20,H,high
-1123.0065225086744,-1236.6848217130926,-1217.7195339898074,-1128.9740655567348,-1237.067275608816,-1218.1741034098357,0.20,C,low
-1120.0164296917847,-1139.126065096408,-1171.7702762171555,-1123.5057369815627,-1139.2235395316145,-1171.5758998273886,0.00,H,low
-1116.915932901706,-1130.886063852439,-1139.0542870821691,-1116.179558840107,-1130.176205353033,-1138.044701665958,0.20,C,low
-1118.2518554811188,-1141.4122831715072,-1132.2917660953108,-1116.5658997240673,-1139.6050526117417,-1130.9162592559283,0.20,H,high
-1121.384410488313,-1146.531812503508,-1147.5397732370593,-1120.6501628110477,-1144.7838194021567,-1145.9830851994925,0.55,H,low
-1117.761807916873,-1122.1527138693386,-1121.197794873856,-1119.525821769145,-1123.0458874355522,-1121.7832514637864,0.00,H,high
-1119.5078987090146,-1122.331262309564,-1121.8301613982894,-1116.925561601596,-1119.9318733721252,-1119.5264662081006,0.75,H,high
-1117.7391285290817,-1181.8597801826959,-1180.266811756904,-1118.9312065256806,-1181.932110801605,-1180.4077318916952,0.00,C,low
-1117.9280487030612,-1145.3404871361029,-1138.4967611736092,-1118.2339674665916,-1144.5129391761996,-1137.6666407512548,0.00,H,high
-1120.348579241062,-1128.4818968596344,-1136.0989235440184,-1116.4367666399687,-1124.1177234322377,-1131.3626049877748,0.55,H,high
-1117.010800177654,-1144.1055788645374,-1152.282097185428,-1118.0802057383578,-1143.3460534280139,-1151.4635320503546,0.35,C,high
-1120.7029015199878,-1122.2653210867347,-1123.9109492324467,-1118.5902676227993,-1120.1428644567573,-1121.5506148460245,0.35,H,high
-1123.2058995821858,-1131.0509434408034,-1127.8142922613322,-1119.227100921544,-1127.0719032941397,-1123.8711978218282,0.75,H,high
-1120.219123307142,-1129.1820294119834,-1126.3065375473689,-1118.8329306918101,-1127.0032600650873,-1124.3990756300834,0.20,H,low
-1118.638398917277,-1147.9066000156088,-1161.8607180872718,-1118.5853122741903,-1146.4252044299687,-1160.2282279588426,0.00,C,high
-1117.2298248965556,-1131.8088883401804,-1129.4745990171182,-1117.4902728419302,-1130.7786916303644,-1128.6878705516178,0.00,C,high
-1117.860156425128,-1198.7678328781844,-1161.20694141254,-1120.9715335013982,-1198.9985861396945,-1162.0385727602895,0.00,C,high
